,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_log_FAC,FARE_per_UPT_2018_log_FAC,POP_EMP_log_FAC,WEIGHTED_POP_DENSITY_log_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_2018_log_FAC_cumsum,POP_EMP_log_FAC_cumsum,WEIGHTED_POP_DENSITY_log_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_2018_log_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_WEIGHTED_POP_DENSITY_log_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum
4142,"York-Hanover, PA Metro Area-Bus",2005,0,32,1053970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1053970.0,1053970.0,1053970.0,1053970.0,1053970.0,1053970.0,1053970.0,1053970.0,1053970.0,1053970.0,1053970.0,1053970.0,1053970.0
4143,"York-Hanover, PA Metro Area-Bus",2006,0,32,1718006.0,516762.3158,210811.6613,4313.013282,173.5908388,19221.9661,-5322.337509,3266.6827399999997,-371.6953826,0.0,0.0,0.0,0.0,-204980.0571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1718006.0,1718006.0,1718006.0,1718006.0,1718006.0,1718006.0,1718006.0,1718006.0,1718006.0,1718006.0,1718006.0,1718006.0,1718006.0
4144,"York-Hanover, PA Metro Area-Bus",2007,0,32,1865383.0,139334.4018,-180275.0908,2827.367077,-607.3303718,10283.37969,-15319.681019999998,2280.039996,-363.5511135,0.0,0.0,0.0,0.0,203908.8693,516762.3158,210811.6613,4313.013282,173.5908388,19221.9661,-5322.337509,3266.6827399999997,-371.6953826,0.0,0.0,0.0,0.0,-204980.0571,1348620.6842,1654571.3387,1861069.986718,1865209.4091612,1846161.0339,1870705.337509,1862116.31726,1865754.6953826,1865383.0,1865383.0,1865383.0,1865383.0,2070363.0571
4145,"York-Hanover, PA Metro Area-Bus",2008,0,32,1394812.0,-169497.3769,69728.98318,1942.032875,798.6491543999999,43927.01295,9526.261033,3852.399981,987.2102957000001,0.0,0.0,0.0,0.0,-422455.5845,656096.7176,30536.5705,7140.380359,-433.73953299999994,29505.34579,-20642.018528999997,5546.722736,-735.2464961000001,0.0,0.0,0.0,0.0,-1071.1878000000142,738715.2824,1364275.4295,1387671.619641,1395245.739533,1365306.65421,1415454.018529,1389265.277264,1395547.2464961,1394812.0,1394812.0,1394812.0,1394812.0,1395883.1878
4146,"York-Hanover, PA Metro Area-Bus",2009,0,32,1326777.0,99109.96521000001,93935.63038999999,-1644.687944,638.8018312999999,-79508.74573,10133.09656,-7073.241929000001,-590.2561493,0.0,0.0,0.0,0.0,-178380.395,486599.34069999994,100265.55368,9082.413234,364.9096214,73432.35874,-11115.757495999997,9399.122717,251.96379960000002,0.0,0.0,0.0,0.0,-423526.7723,840177.6593,1226511.44632,1317694.586766,1326412.0903786,1253344.64126,1337892.757496,1317377.877283,1326525.0362004,1326777.0,1326777.0,1326777.0,1326777.0,1750303.7723
4147,"York-Hanover, PA Metro Area-Bus",2010,0,32,1441708.0,45555.08948,43383.32273,2502.5537059999997,-996.7350323,35074.29146,6529.69183,9418.100073,93.60062665,0.0,0.0,0.0,0.0,-32270.546210000004,585709.30591,194201.18407,7437.725289999999,1003.7114526999999,-6076.386989999999,-982.6609359999966,2325.8807879999995,-338.29234969999993,0.0,0.0,0.0,0.0,-601907.1673,855998.69409,1247506.81593,1434270.27471,1440704.2885473,1447784.38699,1442690.660936,1439382.119212,1442046.2923497,1441708.0,1441708.0,1441708.0,1441708.0,2043615.1672999999
4148,"York-Hanover, PA Metro Area-Bus",2011,0,32,1582223.0,76832.55351,7782.829843,1037.264116,10442.57087,58171.49537999999,22611.64832,6707.852217000001,-50.85166259,0.0,0.0,0.0,0.0,-51391.4418,631264.39539,237584.50679999997,9940.278996,6.976420399999938,28997.90447,5547.030894000003,11743.980861,-244.69172304999995,0.0,0.0,0.0,0.0,-634177.71351,950958.60461,1344638.4932,1572282.721004,1582216.0235796,1553225.09553,1576675.969106,1570479.019139,1582467.69172305,1582223.0,1582223.0,1582223.0,1582223.0,2216400.71351
4149,"York-Hanover, PA Metro Area-Bus",2012,0,32,1812077.0,224951.5481,-3750.5340380000002,1140.331051,-16386.78417,3233.7562629999998,3140.7053170000004,-12656.35506,167.43545780000002,0.0,0.0,0.0,0.0,33523.53891,708096.9489,245367.336643,10977.543112,10449.5472904,87169.39984999999,28158.679214000003,18451.833078,-295.54338563999994,0.0,0.0,0.0,0.0,-685569.1553100001,1103980.0511,1566709.663357,1801099.456888,1801627.4527096,1724907.60015,1783918.320786,1793625.166922,1812372.54338564,1812077.0,1812077.0,1812077.0,1812077.0,2497646.1553100003
4150,"York-Hanover, PA Metro Area-Bus",2013,0,32,1742646.0,-84786.62081000001,7423.366492,620.6141142999999,-862.1196526000001,-14282.869069999999,20770.645940000002,-2535.032597,-255.6474765,0.0,0.0,0.0,0.0,5138.634428,933048.497,241616.80260499998,12117.874162999999,-5937.236879599999,90403.15611299999,31299.384531000003,5795.478018,-128.10792783999992,0.0,0.0,0.0,0.0,-652045.6164,809597.503,1501029.1973950001,1730528.125837,1748583.2368796,1652242.843887,1711346.615469,1736850.521982,1742774.10792784,1742646.0,1742646.0,1742646.0,1742646.0,2394691.6164
4151,"York-Hanover, PA Metro Area-Bus",2014,0,32,1646423.0,-96298.02358,-2630.782342,1218.579935,-8546.55356,-16128.967530000002,-21390.18373,4499.814236,184.41188799999998,0.0,0.0,0.0,0.0,40229.84242,848261.87619,249040.16909699998,12738.488277299999,-6799.3565321999995,76120.28704299999,52070.030471000005,3260.445421,-383.7554043399999,0.0,0.0,0.0,0.0,-646906.9819720001,798161.12381,1397382.830903,1633684.5117227,1653222.3565322,1570302.712957,1594352.969529,1643162.554579,1646806.75540434,1646423.0,1646423.0,1646423.0,1646423.0,2293329.981972
