,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_log_FAC,FARE_per_UPT_2018_log_FAC,POP_EMP_log_FAC,WEIGHTED_POP_DENSITY_log_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,YEARS_SINCE_TNC_BUS_SQRD_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_2018_log_FAC_cumsum,POP_EMP_log_FAC_cumsum,WEIGHTED_POP_DENSITY_log_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,YEARS_SINCE_TNC_BUS_SQRD_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_2018_log_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_WEIGHTED_POP_DENSITY_log_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_SQRD_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum
68,"Albuquerque, NM Metro Area-Rail",2009,1,22,1351087.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1351087.0,1351087.0,1351087.0,1351087.0,1351087.0,1351087.0,1351087.0,1351087.0,1351087.0,1351087.0,1351087.0,1351087.0,1351087.0,1351087.0
69,"Albuquerque, NM Metro Area-Rail",2010,1,22,1165687.0,758384.3648,-117910.3017,6932.9271069999995,-1153.17064,38730.48085,-3715.174983,-5244.4527880000005,409.9492454,0.0,0.0,0.0,0.0,0.0,-810777.9038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1165687.0,1165687.0,1165687.0,1165687.0,1165687.0,1165687.0,1165687.0,1165687.0,1165687.0,1165687.0,1165687.0,1165687.0,1165687.0,1165687.0
70,"Albuquerque, NM Metro Area-Rail",2011,1,22,1242174.0,-29589.78014,49074.797210000004,640.8530366,5407.372725,47201.05309,27167.647530000002,17841.86201,-265.2007248,0.0,0.0,0.0,0.0,0.0,-44047.50429,758384.3648,-117910.3017,6932.9271069999995,-1153.17064,38730.48085,-3715.174983,-5244.4527880000005,409.9492454,0.0,0.0,0.0,0.0,0.0,-810777.9038,483789.6352,1360084.3017,1235241.072893,1243327.17064,1203443.51915,1245889.174983,1247418.452788,1241764.0507546,1242174.0,1242174.0,1242174.0,1242174.0,1242174.0,2052951.9038
71,"Albuquerque, NM Metro Area-Rail",2012,1,22,1129303.0,39315.27906,11478.932840000001,227.3328026,-4561.0965,-1653.188533,-104.254716,-6908.294081999999,282.6662805,0.0,0.0,0.0,0.0,0.0,-150825.8231,728794.5846599999,-68835.50448999999,7573.780143599999,4254.202085,85931.53394,23452.472547,12597.409222,144.7485206,0.0,0.0,0.0,0.0,0.0,-854825.4080899999,400508.41534000007,1198138.50449,1121729.2198564,1125048.797915,1043371.46606,1105850.527453,1116705.590778,1129158.2514794,1129303.0,1129303.0,1129303.0,1129303.0,1129303.0,1984128.40809
72,"Albuquerque, NM Metro Area-Rail",2013,1,22,1082588.0,-23158.7315,-88845.56866,-124.0040751,4716.579199,-9557.303138,2132.538129,-4878.743065,256.9816133,0.0,0.0,0.0,0.0,0.0,70228.55174,768109.8637199999,-57356.57164999999,7801.112946199999,-306.89441499999975,84278.345407,23348.217831,5689.115140000001,427.41480110000003,0.0,0.0,0.0,0.0,0.0,-1005651.23119,314478.1362800001,1139944.57165,1074786.8870538,1082894.894415,998309.654593,1059239.782169,1076898.88486,1082160.5851989,1082588.0,1082588.0,1082588.0,1082588.0,1082588.0,2088239.23119
73,"Albuquerque, NM Metro Area-Rail",2014,1,22,1063217.0,-1654.922722,29903.04388,551.9909277,9574.3039,-13131.110779999999,8040.723520999999,3740.2054409999996,-328.38115830000004,0.0,0.0,0.0,0.0,0.0,-56111.02935,744951.1322199999,-146202.14031,7677.108871099999,4409.684784,74721.042269,25480.755960000002,810.3720750000011,684.3964144,0.0,0.0,0.0,0.0,0.0,-935422.6794499999,318265.8677800001,1209419.14031,1055539.8911289,1058807.315216,988495.957731,1037736.24404,1062406.627925,1062532.6035856,1063217.0,1063217.0,1063217.0,1063217.0,1063217.0,1998639.67945
74,"Albuquerque, NM Metro Area-Rail",2015,1,22,931324.0,7434.797072,-19829.70664,330.3395584,-1846.4958420000003,-66614.42082999999,-4156.6876520000005,4378.121715,-241.8881904,0.0,-11205.319790000001,0.0,5828.450647,0.0,-47060.35611,743296.2094979999,-116299.09642999999,8229.0997988,13983.988684,61589.931488999995,33521.479481,4550.577516000001,356.0152561,0.0,0.0,0.0,0.0,0.0,-991533.7087999999,188027.79050200013,1047623.09643,923094.9002012,917340.011316,869734.068511,897802.520519,926773.422484,930967.9847439,931324.0,931324.0,931324.0,931324.0,931324.0,1922857.7088
75,"Albuquerque, NM Metro Area-Rail",2016,1,22,851409.0,1214.590576,16945.26395,1074.929265,-6069.624387,-17517.34658,-9415.620357,-8706.788437000001,-211.8817486,0.0,-9815.290056,0.0,0.0,0.0,-47509.00894,750731.0065699999,-136128.80307,8559.4393572,12137.492842,-5024.489340999993,29364.791829,8928.699231000002,114.12706569999997,0.0,-11205.319790000001,0.0,5828.450647,0.0,-1038594.06491,100677.99343000015,987537.80307,842849.5606428,839271.507158,856433.489341,822044.208171,842480.300769,851294.8729343,851409.0,862614.31979,851409.0,845580.549353,851409.0,1890003.06491
76,"Albuquerque, NM Metro Area-Rail",2017,1,22,811421.0,-24577.72712,19570.24538,280.451104,-2941.39712,13871.7909,5534.111517,-312.3300876,-387.3571536,0.0,-8973.060172,0.0,0.0,0.0,-41287.86438,751945.5971459999,-119183.53912,9634.368622200001,6067.868455,-22541.835920999994,19949.171472,221.91079400000126,-97.75468290000003,0.0,-21020.609846,0.0,5828.450647,0.0,-1086103.07385,59475.4028540001,930604.53912,801786.6313778,805353.131545,833962.835921,791471.828528,811199.089206,811518.7546829,811421.0,832441.609846,811421.0,805592.549353,811421.0,1897524.07385
77,"Albuquerque, NM Metro Area-Rail",2018,1,22,771602.0,-6157.493367,29598.825660000002,1008.027272,-961.2373838999999,13490.62006,769.5349611,-2081.334822,-323.0278684,0.0,-8551.623787999999,0.0,0.0,0.0,-66323.84993,727367.8700259998,-99613.29374,9914.819726200001,3126.4713349999997,-8670.045020999994,25483.282989000003,-90.41929359999875,-485.11183650000004,0.0,-29993.670017999997,0.0,5828.450647,0.0,-1127390.93823,44234.129974000156,871215.29374,761687.1802738,768475.528665,780272.045021,746118.717011,771692.4192936,772087.1118365,771602.0,801595.670018,771602.0,765773.549353,771602.0,1898992.93823
