,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_log_FAC,FARE_per_UPT_2018_log_FAC,POP_EMP_log_FAC,WEIGHTED_POP_DENSITY_log_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,YEARS_SINCE_TNC_BUS_SQRD_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_2018_log_FAC_cumsum,POP_EMP_log_FAC_cumsum,WEIGHTED_POP_DENSITY_log_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,YEARS_SINCE_TNC_BUS_SQRD_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_2018_log_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_WEIGHTED_POP_DENSITY_log_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_SQRD_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum
145,"Ann Arbor, MI Metro Area-Bus",2002,0,23,7531419.852999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7531419.852999999,7531419.852999999,7531419.852999999,7531419.852999999,7531419.852999999,7531419.852999999,7531419.852999999,7531419.852999999,7531419.852999999,7531419.852999999,7531419.852999999,7531419.852999999,7531419.852999999,7531419.852999999
146,"Ann Arbor, MI Metro Area-Bus",2003,0,23,7608958.342,-224059.7015,-206031.8958,37879.80208,398.5472355,135061.9636,133174.8297,-63289.07784,0.0,0.0,0.0,0.0,0.0,0.0,270873.2267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7608958.342,7608958.342,7608958.342,7608958.342,7608958.342,7608958.342,7608958.342,7608958.342,7608958.342,7608958.342,7608958.342,7608958.342,7608958.342,7608958.342
147,"Ann Arbor, MI Metro Area-Bus",2004,0,23,8369267.311000001,37436.38067,211221.4666,46859.22516,910.4365167000001,177897.3655,161110.3051,-62279.4882,0.0,0.0,0.0,0.0,0.0,0.0,172665.9513,-224059.7015,-206031.8958,37879.80208,398.5472355,135061.9636,133174.8297,-63289.07784,0.0,0.0,0.0,0.0,0.0,0.0,270873.2267,8593327.012500001,8575299.2068,8331387.508920001,8368868.763764501,8234205.3474,8236092.481300001,8432556.388840001,8369267.311000001,8369267.311000001,8369267.311000001,8369267.311000001,8369267.311000001,8369267.311000001,8098394.0843
148,"Ann Arbor, MI Metro Area-Bus",2005,0,23,9216741.797,137226.8594,295196.3685,44113.06426,-4757.448976,265273.1875,172007.8243,-66065.79312,0.0,0.0,0.0,0.0,0.0,0.0,-25688.967819999998,-186623.32082999998,5189.570800000016,84739.02724,1308.9837522,312959.3291,294285.1348,-125568.56604,0.0,0.0,0.0,0.0,0.0,0.0,443539.17799999996,9403365.11783,9211552.2262,9132002.76976,9215432.8132478,8903782.4679,8922456.6622,9342310.36304,9216741.797,9216741.797,9216741.797,9216741.797,9216741.797,9216741.797,8773202.619
149,"Ann Arbor, MI Metro Area-Bus",2006,0,23,9855037.423,-102586.0769,-27845.895010000004,51390.64974,11407.2905,153007.7562,243493.9719,-70071.2515,-2096.863571,0.0,0.0,0.0,0.0,0.0,383592.2895,-49396.461429999996,300385.93929999997,128852.0915,-3448.4652238,578232.5166,466292.9591,-191634.35916,0.0,0.0,0.0,0.0,0.0,0.0,417850.21017999994,9904433.88443,9554651.4837,9726185.331500001,9858485.8882238,9276804.9064,9388744.4639,10046671.78216,9855037.423,9855037.423,9855037.423,9855037.423,9855037.423,9855037.423,9437187.212820001
150,"Ann Arbor, MI Metro Area-Bus",2007,0,23,10032619.59,-83006.45817,-36674.47152,9102.236937,-13965.5107,133740.7244,60491.97017000001,-78511.68906,2990.233164,0.0,0.0,0.0,0.0,0.0,185245.3313,-151982.53833,272540.04429,180242.74124,7958.825276199999,731240.2727999999,709786.931,-261705.61066,-2096.863571,0.0,0.0,0.0,0.0,0.0,801442.4996799999,10184602.12833,9760079.54571,9852376.84876,10024660.7647238,9301379.3172,9322832.659,10294325.20066,10034716.453571,10032619.59,10032619.59,10032619.59,10032619.59,10032619.59,9231177.09032
151,"Ann Arbor, MI Metro Area-Bus",2008,0,23,10570068.26,208390.0895,250741.6683,-13302.13315,-6698.677389,197403.7615,-3875.1059130000003,88734.88518,-10647.13442,0.0,0.0,0.0,0.0,0.0,-190987.9198,-234988.9965,235865.57277,189344.978177,-6006.685423800001,864980.9971999999,770278.90117,-340217.29972,893.3695930000004,0.0,0.0,0.0,0.0,0.0,986687.8309799999,10805057.2565,10334202.68723,10380723.281823,10576074.9454238,9705087.2628,9799789.35883,10910285.55972,10569174.890407,10570068.26,10570068.26,10570068.26,10570068.26,10570068.26,9583380.42902
152,"Ann Arbor, MI Metro Area-Bus",2009,0,23,10683339.15,101143.6931,-82585.16182000001,-15593.2462,85496.9359,-622644.3547,250787.3459,45083.2866,3207.189105,0.0,0.0,0.0,0.0,0.0,368521.0259,-26598.907000000007,486607.24107,176042.845027,-12705.362812800002,1062384.7587,766403.795257,-251482.41454000003,-9753.764826999999,0.0,0.0,0.0,0.0,0.0,795699.9111799998,10709938.057,10196731.90893,10507296.304973,10696044.5128128,9620954.3913,9916935.354743,10934821.56454,10693092.914827,10683339.15,10683339.15,10683339.15,10683339.15,10683339.15,9887639.238820001
153,"Ann Arbor, MI Metro Area-Bus",2010,0,23,10683729.75,178424.1823,-297648.7607,-9038.520017,-200108.181,314682.9513,-216607.8496,154765.8911,2431.076275,0.0,0.0,0.0,0.0,0.0,88606.021,74544.7861,404022.07924999995,160449.598827,72791.5730872,439740.40399999986,1017191.141157,-206399.12794000003,-6546.575722,0.0,0.0,0.0,0.0,0.0,1164220.9370799998,10609184.9639,10279707.67075,10523280.151173,10610938.1769128,10243989.346,9666538.608843,10890128.87794,10690276.325722,10683729.75,10683729.75,10683729.75,10683729.75,10683729.75,9519508.81292
154,"Ann Arbor, MI Metro Area-Bus",2011,0,23,11480953.52,-184153.539,-91475.78203999999,7875.671865,339949.6329,440801.1666,179427.0118,9411.971872,4052.2492740000002,0.0,0.0,0.0,0.0,0.0,86327.88531,252968.96839999998,106373.31854999997,151411.07881,-127316.60791280001,754423.3552999999,800583.291557,-51633.23684000003,-4115.499447,0.0,0.0,0.0,0.0,0.0,1252826.9580799998,11227984.5516,11374580.20145,11329542.441189999,11608270.127912799,10726530.1647,10680370.228443,11532586.75684,11485069.019446999,11480953.52,11480953.52,11480953.52,11480953.52,11480953.52,10228126.56192
