,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_log_FAC,FARE_per_UPT_2018_log_FAC,POP_EMP_log_FAC,WEIGHTED_POP_DENSITY_log_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,YEARS_SINCE_TNC_BUS_SQRD_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_2018_log_FAC_cumsum,POP_EMP_log_FAC_cumsum,WEIGHTED_POP_DENSITY_log_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,YEARS_SINCE_TNC_BUS_SQRD_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_2018_log_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_WEIGHTED_POP_DENSITY_log_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_SQRD_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum
463,"Bloomington-Normal, IL Metro Area-Bus",2006,0,31,1208833.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1208833.0,1208833.0,1208833.0,1208833.0,1208833.0,1208833.0,1208833.0,1208833.0,1208833.0,1208833.0,1208833.0,1208833.0,1208833.0,1208833.0
464,"Bloomington-Normal, IL Metro Area-Bus",2007,0,31,1344070.0,18423.983480000003,19190.53829,2532.161971,3386.7051420000003,16404.82874,16666.991980000003,5779.643792,-733.2388243,0.0,0.0,0.0,0.0,0.0,51337.115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1344070.0,1344070.0,1344070.0,1344070.0,1344070.0,1344070.0,1344070.0,1344070.0,1344070.0,1344070.0,1344070.0,1344070.0,1344070.0,1344070.0
465,"Bloomington-Normal, IL Metro Area-Bus",2008,0,31,1441656.0,73768.63919,54563.892210000005,58.01110131,6848.599520999999,26446.18101,-53131.741239999996,5633.659324,713.7664388999999,0.0,0.0,0.0,0.0,0.0,-17588.28175,18423.983480000003,19190.53829,2532.161971,3386.7051420000003,16404.82874,16666.991980000003,5779.643792,-733.2388243,0.0,0.0,0.0,0.0,0.0,51337.115,1423232.01652,1422465.46171,1439123.838029,1438269.294858,1425251.17126,1424989.00802,1435876.356208,1442389.2388243,1441656.0,1441656.0,1441656.0,1441656.0,1441656.0,1390318.885
466,"Bloomington-Normal, IL Metro Area-Bus",2009,0,31,1420513.0,108177.1504,-2001.0284510000001,747.5000784,-35974.32241,-84922.72214,48489.956060000004,5724.023462,437.4298541,0.0,0.0,0.0,0.0,0.0,-54462.73891,92192.62267000001,73754.4305,2590.17307231,10235.304662999999,42851.00975,-36464.74926,11413.303116,-19.47238540000012,0.0,0.0,0.0,0.0,0.0,33748.833249999996,1328320.37733,1346758.5695,1417922.82692769,1410277.695337,1377661.99025,1456977.74926,1409099.696884,1420532.4723854,1420513.0,1420513.0,1420513.0,1420513.0,1420513.0,1386764.16675
467,"Bloomington-Normal, IL Metro Area-Bus",2010,0,31,1701283.0,229412.178,71972.95007,4405.0751740000005,89891.09014,41841.90139,-19211.94482,-7589.106067000001,431.014607,0.0,0.0,0.0,0.0,0.0,-166907.2199,200369.77307,71753.402049,3337.67315071,-25739.017747,-42071.71239,12025.206800000007,17137.326578,417.9574686999999,0.0,0.0,0.0,0.0,0.0,-20713.905660000004,1500913.22693,1629529.597951,1697945.32684929,1727022.017747,1743354.71239,1689257.7932,1684145.673422,1700865.0425313,1701283.0,1701283.0,1701283.0,1701283.0,1701283.0,1721996.90566
468,"Bloomington-Normal, IL Metro Area-Bus",2011,0,31,1926507.0,48605.320530000005,53009.11074,303.13806769999997,-116894.4041,70193.42015,-14607.38499,14165.8326,-1934.379634,0.0,0.0,0.0,0.0,0.0,178999.0819,429781.95107,143726.352119,7742.748324710001,64152.072392999995,-229.8110000000015,-7186.738019999993,9548.220511,848.9720756999999,0.0,0.0,0.0,0.0,0.0,-187621.12556000001,1496725.04893,1782780.647881,1918764.25167529,1862354.927607,1926736.811,1933693.73802,1916958.779489,1925658.0279243,1926507.0,1926507.0,1926507.0,1926507.0,1926507.0,2114128.12556
469,"Bloomington-Normal, IL Metro Area-Bus",2012,0,31,2055793.0,16485.90294,-18706.26783,1095.5133970000002,-34736.07649,-1776.574543,13062.06626,-6914.668514,1023.068769,0.0,0.0,0.0,0.0,0.0,160041.3562,478387.27160000004,196735.462859,8045.886392410001,-52742.331707000005,69963.60915,-21794.123009999996,23714.053111,-1085.4075583,0.0,0.0,0.0,0.0,0.0,-8622.043660000025,1577405.7284,1859057.537141,2047747.11360759,2108535.331707,1985829.39085,2077587.12301,2032078.946889,2056878.4075583,2055793.0,2055793.0,2055793.0,2055793.0,2055793.0,2064415.04366
470,"Bloomington-Normal, IL Metro Area-Bus",2013,0,31,2247444.0,-27915.232369999998,-23262.31079,16114.525569999998,-77574.45073,-13686.28548,-4003.1344719999997,-1960.202122,1091.725914,0.0,0.0,0.0,0.0,0.0,320566.1631,494873.17454000004,178029.195029,9141.399789410001,-87478.40819700001,68187.03460700001,-8732.056749999996,16799.384597,-62.33878929999992,0.0,0.0,0.0,0.0,0.0,151419.31253999998,1752570.82546,2069414.804971,2238302.60021059,2334922.408197,2179256.965393,2256176.05675,2230644.615403,2247506.3387893,2247444.0,2247444.0,2247444.0,2247444.0,2247444.0,2096024.68746
471,"Bloomington-Normal, IL Metro Area-Bus",2014,0,31,2650400.0,-46128.629089999995,95905.37181,-3563.649299,3321.673709,-27935.677089999997,-16918.37172,-1978.172577,-681.7166493,0.0,0.0,0.0,0.0,0.0,403650.2409,466957.94217000005,154766.884239,25255.92535941,-165052.85892700002,54500.74912700001,-12735.191221999996,14839.182475,1029.3871247000002,0.0,0.0,0.0,0.0,0.0,471985.47563999996,2183442.05783,2495633.115761,2625144.0746405898,2815452.858927,2595899.250873,2663135.191222,2635560.817525,2649370.6128753,2650400.0,2650400.0,2650400.0,2650400.0,2650400.0,2178414.52436
472,"Bloomington-Normal, IL Metro Area-Bus",2015,0,31,2531088.0,27682.688469999997,-50433.91906,556.9504347,20553.380930000003,-158270.6443,-29696.45814,3503.1282200000005,201.02441090000002,0.0,0.0,0.0,0.0,0.0,65624.50659,420829.31308000005,250672.25604900002,21692.27606041,-161731.18521800003,26565.072037000013,-29653.562941999997,12861.009898,347.6704754000002,0.0,0.0,0.0,0.0,0.0,875635.7165399999,2110258.68692,2280415.743951,2509395.72393959,2692819.185218,2504522.927963,2560741.562942,2518226.990102,2530740.3295246,2531088.0,2531088.0,2531088.0,2531088.0,2531088.0,1655452.28346
