,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_log_FAC,FARE_per_UPT_2018_log_FAC,POP_EMP_log_FAC,WEIGHTED_POP_DENSITY_log_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,YEARS_SINCE_TNC_BUS_SQRD_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_2018_log_FAC_cumsum,POP_EMP_log_FAC_cumsum,WEIGHTED_POP_DENSITY_log_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,YEARS_SINCE_TNC_BUS_SQRD_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_2018_log_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_WEIGHTED_POP_DENSITY_log_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_SQRD_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum
492,"Boston-Cambridge-Quincy, MA-NH Metro Area-Bus",2002,0,10,103394445.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103394445.6,103394445.6,103394445.6,103394445.6,103394445.6,103394445.6,103394445.6,103394445.6,103394445.6,103394445.6,103394445.6,103394445.6,103394445.6,103394445.6
493,"Boston-Cambridge-Quincy, MA-NH Metro Area-Bus",2003,0,10,110984341.3,-441477.13899999997,4985281.088,259228.4908,-2234.939173,2237342.268,1297219.997,205057.9111,0.0,0.0,0.0,0.0,0.0,0.0,-1150508.976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110984341.3,110984341.3,110984341.3,110984341.3,110984341.3,110984341.3,110984341.3,110984341.3,110984341.3,110984341.3,110984341.3,110984341.3,110984341.3,110984341.3
494,"Boston-Cambridge-Quincy, MA-NH Metro Area-Bus",2004,0,10,122473837.0,-643409.7651,596334.5621,318930.7754,1807.4316039999999,2471555.897,1756509.64,228271.26,0.0,0.0,0.0,0.0,0.0,0.0,6704240.289,-441477.13899999997,4985281.088,259228.4908,-2234.939173,2237342.268,1297219.997,205057.9111,0.0,0.0,0.0,0.0,0.0,0.0,-1150508.976,122915314.139,117488555.912,122214608.5092,122476071.939173,120236494.732,121176617.003,122268779.0889,122473837.0,122473837.0,122473837.0,122473837.0,122473837.0,122473837.0,123624345.976
495,"Boston-Cambridge-Quincy, MA-NH Metro Area-Bus",2005,0,10,118518766.0,1274392.358,-1781797.369,340947.5564,4911.734131,3531389.392,1824543.3969999999,233892.4959,0.0,0.0,0.0,0.0,0.0,0.0,-9417896.301,-1084886.9041,5581615.6501,578159.2662,-427.50756900000033,4708898.165,3053729.637,433329.17110000004,0.0,0.0,0.0,0.0,0.0,0.0,5553731.313,119603652.9041,112937150.3499,117940606.7338,118519193.507569,113809867.835,115465036.363,118085436.8289,118518766.0,118518766.0,118518766.0,118518766.0,118518766.0,118518766.0,112965034.687
496,"Boston-Cambridge-Quincy, MA-NH Metro Area-Bus",2006,0,10,104294757.5,-1903177.7619999999,-4507779.983,441692.7842,-20728.19409,2247899.562,2456264.818,252483.2401,-8988.589719,0.0,0.0,0.0,0.0,0.0,-13036999.68,189505.45390000008,3799818.2811000003,919106.8226,4484.226562,8240287.557,4878273.034,667221.667,0.0,0.0,0.0,0.0,0.0,0.0,-3864164.988000001,104105252.0461,100494939.2189,103375650.6774,104290273.273438,96054469.943,99416484.466,103627535.833,104294757.5,104294757.5,104294757.5,104294757.5,104294757.5,104294757.5,108158922.488
497,"Boston-Cambridge-Quincy, MA-NH Metro Area-Bus",2007,0,10,103410790.3,1950729.25,-3078412.361,98734.40925,39794.73403,723122.8393,-32892.12309,145513.7803,-39543.13022,0.0,0.0,0.0,0.0,0.0,-624309.5517,-1713672.3080999998,-707961.7018999998,1360799.6068,-16243.967528000001,10488187.118999999,7334537.852,919704.9071,-8988.589719,0.0,0.0,0.0,0.0,0.0,-16901164.668,105124462.6081,104118752.0019,102049990.69319999,103427034.267528,92922603.181,96076252.448,102491085.39289999,103419778.889719,103410790.3,103410790.3,103410790.3,103410790.3,103410790.3,120311954.968
498,"Boston-Cambridge-Quincy, MA-NH Metro Area-Bus",2008,0,10,106380788.0,-1022352.684,954827.4684,80086.79198,-42393.63206,2393543.9590000003,108489.8399,-15175.7176,7843.379566,0.0,0.0,0.0,0.0,0.0,513246.2856,237056.9419000002,-3786374.0629,1459534.01605,23550.766502,11211309.958299998,7301645.72891,1065218.6874,-48531.719939,0.0,0.0,0.0,0.0,0.0,-17525474.2197,106143731.0581,110167162.0629,104921253.98395,106357237.233498,95169478.0417,99079142.27109,105315569.3126,106429319.719939,106380788.0,106380788.0,106380788.0,106380788.0,106380788.0,123906262.21970001
499,"Boston-Cambridge-Quincy, MA-NH Metro Area-Bus",2009,0,10,105305496.3,-3607094.525,205131.7097,31689.793210000003,22299.31159,-6209196.2020000005,771714.8688,-70234.02561,-16135.453130000002,0.0,0.0,0.0,0.0,0.0,7670218.2870000005,-785295.7420999998,-2831546.5944999997,1539620.80803,-18842.865558000005,13604853.917299999,7410135.56881,1050042.9697999998,-40688.340373,0.0,0.0,0.0,0.0,0.0,-17012227.934100002,106090792.0421,108137042.8945,103765875.49197,105324339.165558,91700642.3827,97895360.73119,104255453.3302,105346184.64037299,105305496.3,105305496.3,105305496.3,105305496.3,105305496.3,122317724.2341
500,"Boston-Cambridge-Quincy, MA-NH Metro Area-Bus",2010,0,10,106906194.4,69118.85177000001,-1430716.8480000002,-8796.63717,414768.6976,3100280.671,466297.1664,674438.8617,-7986.4812409999995,0.0,0.0,0.0,0.0,0.0,-1667818.226,-4392390.2671,-2626414.8847999997,1571310.60124,3456.446031999996,7395657.715299998,8181850.43761,979808.9441899998,-56823.793503,0.0,0.0,0.0,0.0,0.0,-9342009.647100002,111298584.66710001,109532609.28480001,105334883.79876001,106902737.953968,99510536.68470001,98724343.96239,105926385.45581001,106963018.193503,106906194.4,106906194.4,106906194.4,106906194.4,106906194.4,116248204.04710001
501,"Boston-Cambridge-Quincy, MA-NH Metro Area-Bus",2011,0,10,111159913.1,-1925655.42,1413956.0559999999,99664.18601,-625040.1599,4608859.22,1093084.767,-47059.11645,-24321.795,0.0,0.0,0.0,586049.2053,0.0,-914404.4439,-4323271.41533,-4057131.7328,1562513.96407,418225.143632,10495938.386299998,8648147.60401,1654247.80589,-64810.274744,0.0,0.0,0.0,0.0,0.0,-11009827.873100001,115483184.51532999,115217044.8328,109597399.13592999,110741687.956368,100663974.7137,102511765.49599,109505665.29411,111224723.374744,111159913.1,111159913.1,111159913.1,111159913.1,111159913.1,122169740.97309999
502,"Boston-Cambridge-Quincy, MA-NH Metro Area-Bus",2012,0,10,114604860.8,-1782193.0980000002,466495.7962,154453.9742,1056216.48,169232.4968,484897.2116,-252581.3427,25295.296130000002,0.0,0.0,0.0,0.0,0.0,3144710.625,-6248926.83533,-2643175.6768,1662178.15008,-206815.01626799995,15104797.606299996,9741232.371010002,1607188.6894399999,-89132.06974400001,0.0,0.0,0.0,586049.2053,0.0,-11924232.317000002,120853787.63532999,117248036.4768,112942682.64992,114811675.816268,99500063.1937,104863628.42898999,112997672.11056,114693992.869744,114604860.8,114604860.8,114604860.8,114018811.5947,114604860.8,126529093.117
503,"Boston-Cambridge-Quincy, MA-NH Metro Area-Bus",2013,0,10,113438261.6,-1000198.1579999999,-5471194.525,129470.1456,1149166.2759999998,-803602.1964,-898953.5475,-159675.8255,-8691.754970999998,-1838979.96,0.0,-219163.5876,0.0,0.0,7755485.237000001,-8031119.93333,-2176679.8806,1816632.12428,849401.463732,15274030.103099996,10226129.582610002,1354607.34674,-63836.773614000005,0.0,0.0,0.0,586049.2053,0.0,-8779521.692000002,121469381.53333,115614941.4806,111621629.47571999,112588860.13626799,98164231.49689999,103212132.01739,112083654.25325999,113502098.373614,113438261.6,113438261.6,113438261.6,112852212.39469999,113438261.6,122217783.292
