,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_log_FAC,FARE_per_UPT_2018_log_FAC,POP_EMP_log_FAC,WEIGHTED_POP_DENSITY_log_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,YEARS_SINCE_TNC_BUS_SQRD_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_2018_log_FAC_cumsum,POP_EMP_log_FAC_cumsum,WEIGHTED_POP_DENSITY_log_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,YEARS_SINCE_TNC_BUS_SQRD_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_2018_log_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_WEIGHTED_POP_DENSITY_log_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_SQRD_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum
509,"Boston-Cambridge-Quincy, MA-NH Metro Area-Rail",2002,1,10,221967818.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,221967818.4,221967818.4,221967818.4,221967818.4,221967818.4,221967818.4,221967818.4,221967818.4,221967818.4,221967818.4,221967818.4,221967818.4,221967818.4,221967818.4
510,"Boston-Cambridge-Quincy, MA-NH Metro Area-Rail",2003,1,10,218205873.9,233119.7379,2039973.2319999998,556513.285,-4797.980875,4803139.853,2784879.7010000004,440219.5583,0.0,0.0,0.0,0.0,0.0,0.0,-14801620.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218205873.9,218205873.9,218205873.9,218205873.9,218205873.9,218205873.9,218205873.9,218205873.9,218205873.9,218205873.9,218205873.9,218205873.9,218205873.9,218205873.9
511,"Boston-Cambridge-Quincy, MA-NH Metro Area-Rail",2004,1,10,251323663.2,848332.6855,8688170.507000001,627048.5344,3553.5841179999998,4859316.261,3453466.647,448803.2202,0.0,0.0,0.0,0.0,0.0,0.0,13618370.21,233119.7379,2039973.2319999998,556513.285,-4797.980875,4803139.853,2784879.7010000004,440219.5583,0.0,0.0,0.0,0.0,0.0,0.0,-14801620.96,251090543.4621,249283689.968,250767149.915,251328461.18087497,246520523.347,248538783.49899998,250883443.6417,251323663.2,251323663.2,251323663.2,251323663.2,251323663.2,251323663.2,266125284.16
512,"Boston-Cambridge-Quincy, MA-NH Metro Area-Rail",2005,1,10,246394340.2,-3472024.952,-6441634.754,699644.8459999999,10079.173190000001,7246622.9520000005,3744072.541,479961.4375,0.0,0.0,0.0,0.0,0.0,0.0,-6964490.916,1081452.4234,10728143.739,1183561.8194,-1244.3967570000004,9662456.114,6238346.348,889022.7785,0.0,0.0,0.0,0.0,0.0,0.0,-1183250.75,245312887.77659997,235666196.461,245210778.38059998,246395584.596757,236731884.086,240155993.852,245505317.4215,246394340.2,246394340.2,246394340.2,246394340.2,246394340.2,246394340.2,247577590.95
513,"Boston-Cambridge-Quincy, MA-NH Metro Area-Rail",2006,1,10,258604258.3,-193261.2171,3463414.295,918256.2881,-43092.835660000004,4673266.083000001,5106446.597,524899.5028,-18686.80976,0.0,0.0,0.0,0.0,0.0,-2522539.981,-2390572.5286,4286508.985,1883206.6653999998,8834.776433,16909079.066,9982418.889,1368984.216,0.0,0.0,0.0,0.0,0.0,0.0,-8147741.666,260994830.82860002,254317749.315,256721051.6346,258595423.52356702,241695179.23400003,248621839.411,257235274.08400002,258604258.3,258604258.3,258604258.3,258604258.3,258604258.3,258604258.3,266751999.96600002
514,"Boston-Cambridge-Quincy, MA-NH Metro Area-Rail",2007,1,10,245441567.9,7978039.06,-15991541.32,244817.0865,98673.10614,1793020.57,-81557.72447999999,360808.9622,-98049.24145,0.0,0.0,0.0,0.0,0.0,-6900943.591,-2583833.7457,7749923.28,2801462.9535,-34258.059227000005,21582345.149,15088865.486000001,1893883.7188,-18686.80976,0.0,0.0,0.0,0.0,0.0,-10670281.647,248025401.6457,237691644.62,242640104.9465,245475825.959227,223859222.75100002,230352702.414,243547684.1812,245460254.70976,245441567.9,245441567.9,245441567.9,245441567.9,245441567.9,256111849.547
515,"Boston-Cambridge-Quincy, MA-NH Metro Area-Rail",2008,1,10,258539309.7,5464680.643999999,-6805213.703,190082.9472,-100619.6693,5680985.325,257496.4984,-36018.9871,18615.962340000002,0.0,0.0,0.0,0.0,0.0,8608217.207999999,5394205.3143,-8241618.04,3046280.04,64415.046913,23375365.719,15007307.761520002,2254692.681,-116736.05121,0.0,0.0,0.0,0.0,0.0,-17571225.237999998,253145104.3857,266780927.73999998,255493029.66,258474894.653087,235163943.98099998,243532001.93848,256284617.019,258656045.75120997,258539309.7,258539309.7,258539309.7,258539309.7,258539309.7,276110534.93799996
516,"Boston-Cambridge-Quincy, MA-NH Metro Area-Rail",2009,1,10,246583390.5,7720228.172,-6751156.147999999,77016.32423,54194.4531,-15090330.97,1875513.739,-170691.1261,-39214.30733,0.0,0.0,0.0,0.0,0.0,715366.4449,10858885.958299998,-15046831.743,3236362.9872,-36204.622386999996,29056351.044,15264804.259920003,2218673.6939,-98120.08887,0.0,0.0,0.0,0.0,0.0,-8963008.03,235724504.5417,261630222.243,243347027.5128,246619595.122387,217527039.456,231318586.24008,244364716.8061,246681510.58887,246583390.5,246583390.5,246583390.5,246583390.5,246583390.5,255546398.53
517,"Boston-Cambridge-Quincy, MA-NH Metro Area-Rail",2010,1,10,237334052.4,3962113.93,2590618.36,-20598.20897,971222.5412,7259618.408,1091881.623,1579266.2969999998,-18701.14754,0.0,0.0,0.0,0.0,0.0,-27123726.34,18579114.1303,-21797987.891,3313379.31143,17989.830713000003,13966020.074,17140317.99892,2047982.5677999998,-137334.39620000002,0.0,0.0,0.0,0.0,0.0,-8247641.585099999,218754938.2697,259132040.291,234020673.08857,237316062.569287,223368032.326,220193734.40108,235286069.83220002,237471386.7962,237334052.4,237334052.4,237334052.4,237334052.4,237334052.4,245581693.9851
518,"Boston-Cambridge-Quincy, MA-NH Metro Area-Rail",2011,1,10,258259834.2,-1706598.3069999998,8783975.55,221256.6379,-1387602.6069999998,10231766.66,2426671.7090000003,-104472.2513,-53994.908339999994,0.0,0.0,0.0,1301041.8490000002,0.0,805514.5822,22541228.0603,-19207369.531,3292781.1024599997,989212.371913,21225638.482,18232199.62192,3627248.8647999996,-156035.54374000002,0.0,0.0,0.0,0.0,0.0,-35371367.9251,235718606.1397,277467203.731,254967053.09754,257270621.828087,237034195.718,240027634.57808,254632585.33519998,258415869.74374,258259834.2,258259834.2,258259834.2,258259834.2,258259834.2,293631202.1251
