,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_log_FAC,FARE_per_UPT_2018_log_FAC,POP_EMP_log_FAC,WEIGHTED_POP_DENSITY_log_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,YEARS_SINCE_TNC_BUS_SQRD_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_2018_log_FAC_cumsum,POP_EMP_log_FAC_cumsum,WEIGHTED_POP_DENSITY_log_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,YEARS_SINCE_TNC_BUS_SQRD_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_2018_log_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_WEIGHTED_POP_DENSITY_log_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_SQRD_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum
879,"College Station-Bryan, TX Metro Area-Bus",2002,0,32,253531.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253531.0,253531.0,253531.0,253531.0,253531.0,253531.0,253531.0,253531.0,253531.0,253531.0,253531.0,253531.0,253531.0,253531.0
880,"College Station-Bryan, TX Metro Area-Bus",2003,0,32,236688.0,-6225.784539,-147152.9343,2047.1872329999999,5.881321721,4376.530720000001,-1479.149342,1548.879573,0.0,0.0,0.0,0.0,0.0,0.0,130250.9777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236688.0,236688.0,236688.0,236688.0,236688.0,236688.0,236688.0,236688.0,236688.0,236688.0,236688.0,236688.0,236688.0,236688.0
881,"College Station-Bryan, TX Metro Area-Bus",2004,0,32,569949.0,138063.6295,97940.50632,1740.2149960000002,27.54337325,5921.720173,-434.3264913,1533.370693,0.0,0.0,0.0,0.0,0.0,0.0,20278.80419,-6225.784539,-147152.9343,2047.1872329999999,5.881321721,4376.530720000001,-1479.149342,1548.879573,0.0,0.0,0.0,0.0,0.0,0.0,130250.9777,576174.784539,717101.9343,567901.812767,569943.118678279,565572.46928,571428.149342,568400.120427,569949.0,569949.0,569949.0,569949.0,569949.0,569949.0,439698.0223
882,"College Station-Bryan, TX Metro Area-Bus",2005,0,32,608668.0,-5386.2170289999995,11833.322970000001,3767.307282,-248.99930730000003,19354.7431,-2092.8394510000003,2809.079967,0.0,0.0,0.0,0.0,0.0,0.0,8394.710571,131837.84496100002,-49212.42797999999,3787.4022290000003,33.424694971,10298.250893,-1913.4758333,3082.250266,0.0,0.0,0.0,0.0,0.0,0.0,150529.78189,476830.155039,657880.42798,604880.597771,608634.575305029,598369.749107,610581.4758333,605585.749734,608668.0,608668.0,608668.0,608668.0,608668.0,608668.0,458138.21811
883,"College Station-Bryan, TX Metro Area-Bus",2006,0,32,647197.0,-9962.386314,115890.2682,3772.245714,528.3013469,10199.19603,4443.9210539999995,6827.0583,46.16553205,0.0,0.0,0.0,0.0,0.0,-96198.11606,126451.62793200003,-37379.10500999999,7554.709511000001,-215.57461232900002,29652.993993,-4006.3152843000003,5891.330233000001,0.0,0.0,0.0,0.0,0.0,0.0,158924.49246100002,520745.37206799997,684576.1050099999,639642.290489,647412.574612329,617544.006007,651203.3152843,641305.669767,647197.0,647197.0,647197.0,647197.0,647197.0,647197.0,488272.507539
884,"College Station-Bryan, TX Metro Area-Bus",2007,0,32,749708.0,52934.71106,-65457.27329,2951.690231,-527.9132275000001,5303.742583,-19426.24682,-8867.217213,-245.38333340000003,0.0,0.0,0.0,0.0,0.0,140666.6935,116489.24161800003,78511.16319000002,11326.955225000002,312.72673457099995,39852.190023,437.6057696999992,12718.388533000001,46.16553205,0.0,0.0,0.0,0.0,0.0,62726.376401000016,633218.758382,671196.83681,738381.044775,749395.273265429,709855.809977,749270.3942303,736989.611467,749661.83446795,749708.0,749708.0,749708.0,749708.0,749708.0,686981.623599
885,"College Station-Bryan, TX Metro Area-Bus",2008,0,32,800605.0,52000.91883,-170916.9281,2137.825761,-716.7265896,18109.023559999998,43089.21825,9076.891225,170.6018414,0.0,0.0,0.0,0.0,0.0,120730.9226,169423.95267800003,13053.889900000024,14278.645456000002,-215.1864929290001,45155.932606,-18988.6410503,3851.1713200000013,-199.21780135000003,0.0,0.0,0.0,0.0,0.0,203393.069901,631181.0473219999,787551.1100999999,786326.354544,800820.186492929,755449.067394,819593.6410503,796753.82868,800804.21780135,800605.0,800605.0,800605.0,800605.0,800605.0,597211.930099
886,"College Station-Bryan, TX Metro Area-Bus",2009,0,32,1263115.0,698492.1304,115993.4703,1560.160858,5703.895729999999,-48845.84152,35464.06061,-3868.0869729999995,242.92100770000002,0.0,0.0,0.0,0.0,0.0,-427452.0024,221424.87150800004,-157863.03819999995,16416.471217000002,-931.9130825290001,63264.956166,24100.577199699997,12928.062545,-28.61595995000002,0.0,0.0,0.0,0.0,0.0,324123.992501,1041690.1284919999,1420978.0381999998,1246698.528783,1264046.913082529,1199850.043834,1239014.4228003,1250186.937455,1263143.61595995,1263115.0,1263115.0,1263115.0,1263115.0,1263115.0,938991.007499
887,"College Station-Bryan, TX Metro Area-Bus",2010,0,32,1266627.0,-12019.824270000001,49967.43546,8669.512378,-14411.706569999998,36208.66112,-39225.33453,8556.236391,287.4315666,0.0,0.0,0.0,0.0,0.0,-32737.703339999996,919917.0019080001,-41869.56789999995,17976.632075,4771.982647470999,14419.114646000002,59564.6378097,9059.975572000001,214.30504775,0.0,0.0,0.0,0.0,0.0,-103328.009899,346709.9980919999,1308496.5679,1248650.367925,1261855.017352529,1252207.885354,1207062.3621903,1257567.024428,1266412.69495225,1266627.0,1266627.0,1266627.0,1266627.0,1266627.0,1369955.009899
888,"College Station-Bryan, TX Metro Area-Bus",2011,0,32,1339219.0,-67004.97399,254.07645219999998,-979.4294156999999,26779.04194,51288.32034,35336.866760000004,-9168.380392000001,-96.06234366,0.0,0.0,0.0,0.0,0.0,39400.48537,907897.1776380001,8097.86756000005,26646.144453,-9639.723922529,50627.775766,20339.303279699998,17616.211963,501.73661434999997,0.0,0.0,0.0,0.0,0.0,-136065.713239,431321.8223619999,1331121.1324399998,1312572.855547,1348858.723922529,1288591.224234,1318879.6967203,1321602.788037,1338717.26338565,1339219.0,1339219.0,1339219.0,1339219.0,1339219.0,1475284.713239
