,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_log_FAC,FARE_per_UPT_2018_log_FAC,POP_EMP_log_FAC,WEIGHTED_POP_DENSITY_log_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,YEARS_SINCE_TNC_BUS_SQRD_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_2018_log_FAC_cumsum,POP_EMP_log_FAC_cumsum,WEIGHTED_POP_DENSITY_log_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,YEARS_SINCE_TNC_BUS_SQRD_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_2018_log_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_WEIGHTED_POP_DENSITY_log_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_SQRD_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum
1087,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area-Bus",2002,0,24,1926273.794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1926273.794,1926273.794,1926273.794,1926273.794,1926273.794,1926273.794,1926273.794,1926273.794,1926273.794,1926273.794,1926273.794,1926273.794,1926273.794,1926273.794
1088,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area-Bus",2003,0,24,2034604.03,69713.89542,-168832.4074,8848.678954,1.0311868240000002,37299.927910000006,-6055.129604,-16607.580140000002,0.0,0.0,0.0,0.0,0.0,0.0,191657.7807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2034604.03,2034604.03,2034604.03,2034604.03,2034604.03,2034604.03,2034604.03,2034604.03,2034604.03,2034604.03,2034604.03,2034604.03,2034604.03,2034604.03
1089,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area-Bus",2004,0,24,2090096.74,30287.25725,7487.844647,9645.927189,188.1887283,55980.40512999999,-91.16959161,-17689.5703,0.0,0.0,0.0,0.0,0.0,0.0,-31011.21355,69713.89542,-168832.4074,8848.678954,1.0311868240000002,37299.927910000006,-6055.129604,-16607.580140000002,0.0,0.0,0.0,0.0,0.0,0.0,191657.7807,2020382.84458,2258929.1474,2081248.061046,2090095.708813176,2052796.81209,2096151.869604,2106704.32014,2090096.74,2090096.74,2090096.74,2090096.74,2090096.74,2090096.74,1898438.9593
1090,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area-Bus",2005,0,24,2195542.543,5397.275016,167183.584,10576.40703,-579.7337444,70816.54819,1756.004766,-16651.0809,0.0,0.0,0.0,0.0,0.0,0.0,-138663.1064,100001.15267,-161344.562753,18494.606143,189.219915124,93280.33304,-6146.2991956099995,-34297.15044,0.0,0.0,0.0,0.0,0.0,0.0,160646.56715000002,2095541.39033,2356887.105753,2177047.936857,2195353.323084876,2102262.20996,2201688.84219561,2229839.69344,2195542.543,2195542.543,2195542.543,2195542.543,2195542.543,2195542.543,2034895.97585
1091,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area-Bus",2006,0,24,2275751.636,-12227.58322,1297.545871,10046.17078,1035.784391,35613.49788,1034.7259960000001,-23396.75347,2499.200417,0.0,0.0,0.0,0.0,0.0,64722.83093,105398.427686,5839.021246999997,29071.013173,-390.51382927599997,164096.88123,-4390.2944296099995,-50948.23134,0.0,0.0,0.0,0.0,0.0,0.0,21983.460750000027,2170353.208314,2269912.614753,2246680.622827,2276142.149829276,2111654.75477,2280141.93042961,2326699.86734,2275751.636,2275751.636,2275751.636,2275751.636,2275751.636,2275751.636,2253768.17525
1092,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area-Bus",2007,0,24,2189531.6119999997,-16286.66195,-154942.249,1420.481392,-658.4138315,17911.36415,11423.83103,1336.37267,-3277.075833,0.0,0.0,0.0,0.0,0.0,57782.03073,93170.844466,7136.567117999997,39117.183953,645.2705617239999,199710.37911,-3355.5684336099994,-74344.98481,2499.200417,0.0,0.0,0.0,0.0,0.0,86706.29168000002,2096360.7675339996,2182395.044882,2150414.4280469995,2188886.3414382758,1989821.2328899996,2192887.1804336095,2263876.5968099996,2187032.411583,2189531.6119999997,2189531.6119999997,2189531.6119999997,2189531.6119999997,2189531.6119999997,2102825.32032
1093,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area-Bus",2008,0,24,2274400.289,-79723.90892,79072.67207,-2471.8957960000002,-2156.963537,56877.19305,-30125.89713,7887.031558,0.0,0.0,0.0,0.0,0.0,0.0,59195.07758,76884.182516,-147805.681882,40537.665345,-13.143269776000125,217621.74326000002,8068.26259639,-73008.61214,-777.8754159999999,0.0,0.0,0.0,0.0,0.0,144488.32241000002,2197516.1064839996,2422205.970882,2233862.623655,2274413.432269776,2056778.54574,2266332.0264036097,2347408.9011399997,2275178.164416,2274400.289,2274400.289,2274400.289,2274400.289,2274400.289,2129911.96659
1094,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area-Bus",2009,0,24,2370216.235,-6771.687148999999,58028.037520000005,-5329.835375,10391.95457,-137949.4421,85191.2732,16751.22541,2588.964704,0.0,0.0,0.0,0.0,0.0,79606.25201,-2839.726404000001,-68733.009812,38065.769549000004,-2170.106806776,274498.93631,-22057.634533610002,-65121.580581999995,-777.8754159999999,0.0,0.0,0.0,0.0,0.0,203683.39999,2373055.961404,2438949.244812,2332150.465451,2372386.341806776,2095717.2986899999,2392273.86953361,2435337.8155819997,2370994.110416,2370216.235,2370216.235,2370216.235,2370216.235,2370216.235,2166532.83501
1095,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area-Bus",2010,0,24,2432422.6980000003,-16517.98648,-39802.36391,-6980.512715999999,-16852.225609999998,65867.11995,2708.938038,2088.073085,-2156.217189,0.0,0.0,0.0,0.0,0.0,75184.33258999999,-9611.413553,-10704.972291999999,32735.934174000005,8221.847763224,136549.49421000003,63133.63866638999,-48370.355171999996,1811.0892880000001,0.0,0.0,0.0,0.0,0.0,283289.652,2442034.1115530003,2443127.6702920003,2399686.7638260005,2424200.8502367763,2295873.20379,2369289.0593336103,2480793.053172,2430611.6087120003,2432422.6980000003,2432422.6980000003,2432422.6980000003,2432422.6980000003,2432422.6980000003,2149133.046
1096,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area-Bus",2011,0,24,2591914.848,-76597.39462,49128.70263,1000.7202050000001,22802.899709999998,98669.58365,36852.26944,29449.914160000004,0.0,0.0,0.0,0.0,0.0,0.0,-2767.406637,-26129.400032999998,-50507.336202,25755.421458000004,-8630.377846775998,202416.61416000003,65842.57670438998,-46282.282087,-345.12790099999984,0.0,0.0,0.0,0.0,0.0,358473.98459,2618044.248033,2642422.184202,2566159.4265420004,2600545.2258467763,2389498.2338400004,2526072.2712956103,2638197.1300870003,2592259.975901,2591914.848,2591914.848,2591914.848,2591914.848,2591914.848,2233440.86341
