,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_log_FAC,FARE_per_UPT_2018_log_FAC,POP_EMP_log_FAC,WEIGHTED_POP_DENSITY_log_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,YEARS_SINCE_TNC_BUS_SQRD_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_2018_log_FAC_cumsum,POP_EMP_log_FAC_cumsum,WEIGHTED_POP_DENSITY_log_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,YEARS_SINCE_TNC_BUS_SQRD_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_2018_log_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_WEIGHTED_POP_DENSITY_log_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_SQRD_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum
1121,"Denver-Aurora-Broomfield, CO Metro Area-Rail",2002,1,10,10423313.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10423313.26,10423313.26,10423313.26,10423313.26,10423313.26,10423313.26,10423313.26,10423313.26,10423313.26,10423313.26,10423313.26,10423313.26,10423313.26,10423313.26
1122,"Denver-Aurora-Broomfield, CO Metro Area-Rail",2003,1,10,10629595.41,1748646.38,307741.5478,36458.84468,-346.8477357,217032.5697,81232.21474,13776.864940000001,0.0,0.0,0.0,0.0,0.0,0.0,-2324115.1569999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10629595.41,10629595.41,10629595.41,10629595.41,10629595.41,10629595.41,10629595.41,10629595.41,10629595.41,10629595.41,10629595.41,10629595.41,10629595.41,10629595.41
1123,"Denver-Aurora-Broomfield, CO Metro Area-Rail",2004,1,10,10023114.52,614757.9088,-360786.9559,37139.22073,789.202084,230502.1231,115893.30900000001,14049.51541,0.0,0.0,0.0,0.0,0.0,0.0,-1251063.206,1748646.38,307741.5478,36458.84468,-346.8477357,217032.5697,81232.21474,13776.864940000001,0.0,0.0,0.0,0.0,0.0,0.0,-2324115.1569999997,8274468.14,9715372.972199999,9986655.67532,10023461.367735699,9806081.950299999,9941882.305259999,10009337.655059999,10023114.52,10023114.52,10023114.52,10023114.52,10023114.52,10023114.52,12347229.677
1124,"Denver-Aurora-Broomfield, CO Metro Area-Rail",2005,1,10,10443359.22,58518.11474,184715.3318,32102.10787,-882.0192105000001,310663.8584,103089.2575,10302.41602,0.0,0.0,0.0,0.0,0.0,0.0,-295513.8461,2363404.2887999997,-53045.4081,73598.06541000001,442.3543483,447534.69279999996,197125.52374,27826.38035,0.0,0.0,0.0,0.0,0.0,0.0,-3575178.363,8079954.931200001,10496404.6281,10369761.154590001,10442916.8656517,9995824.5272,10246233.696260002,10415532.839650001,10443359.22,10443359.22,10443359.22,10443359.22,10443359.22,10443359.22,14018537.583
1125,"Denver-Aurora-Broomfield, CO Metro Area-Rail",2006,1,10,11524345.24,1156616.106,22042.532619999998,39412.67386,-271.0270705,177027.9374,150666.0913,18408.53365,792.0955837,0.0,0.0,0.0,0.0,0.0,-534788.8692,2421922.40354,131669.9237,105700.17328000002,-439.6648622000001,758198.5512,300214.78124000004,38128.79637,0.0,0.0,0.0,0.0,0.0,0.0,-3870692.2091,9102422.83646,11392675.316300001,11418645.06672,11524784.9048622,10766146.6888,11224130.45876,11486216.44363,11524345.24,11524345.24,11524345.24,11524345.24,11524345.24,11524345.24,15395037.4491
1126,"Denver-Aurora-Broomfield, CO Metro Area-Rail",2007,1,10,18791012.62,8240821.191000001,-538835.8559,31460.577210000003,5095.0609380000005,129041.5177,-1899.8982,-16901.01769,-5243.117665999999,0.0,0.0,0.0,0.0,0.0,-281576.4082,3578538.50954,153712.45632,145112.84714000003,-710.6919327,935226.4886,450880.87254,56537.330019999994,792.0955837,0.0,0.0,0.0,0.0,0.0,-4405481.0783,15212474.110460002,18637300.163680002,18645899.77286,18791723.3119327,17855786.1314,18340131.74746,18734475.28998,18790220.5244163,18791012.62,18791012.62,18791012.62,18791012.62,18791012.62,23196493.6983
1127,"Denver-Aurora-Broomfield, CO Metro Area-Rail",2008,1,10,20622681.96,-181807.5336,-484825.8253,31732.742019999998,-22499.24678,376988.4686,202023.0272,125900.565,0.0,0.0,0.0,0.0,0.0,0.0,1796644.129,11819359.70054,-385123.39957999997,176573.42435000004,4384.369005300001,1064268.0063,448980.97434,39636.31232999999,-4451.022082299999,0.0,0.0,0.0,0.0,0.0,-4687057.486500001,8803322.25946,21007805.359580003,20446108.53565,20618297.5909947,19558413.953700002,20173700.98566,20583045.64767,20627132.9820823,20622681.96,20622681.96,20622681.96,20622681.96,20622681.96,25309739.446500003
1128,"Denver-Aurora-Broomfield, CO Metro Area-Rail",2009,1,10,19747534.37,-729136.3968,-583105.436,10017.02317,44443.03642,-1275735.522,273336.8265,-119206.3161,-6255.473171,0.0,0.0,0.0,0.0,0.0,1435454.031,11637552.16694,-869949.22488,208306.16637000005,-18114.8777747,1441256.4749,651004.0015400001,165536.87733,-4451.022082299999,0.0,0.0,0.0,0.0,0.0,-2890413.357500001,8109982.203060001,20617483.59488,19539228.20363,19765649.2477747,18306277.8951,19096530.36846,19581997.49267,19751985.3920823,19747534.37,19747534.37,19747534.37,19747534.37,19747534.37,22637947.727500003
1129,"Denver-Aurora-Broomfield, CO Metro Area-Rail",2010,1,10,19819826.96,-445555.5318,313575.5186,10630.18836,5018.384262,637943.6303,63107.264110000004,56595.81691,0.0,0.0,0.0,0.0,108254.0342,0.0,-672856.0626,10908415.77014,-1453054.6608799999,218323.18954000005,26328.158645299998,165520.95289999992,924340.82804,46330.56122999999,-10706.4952533,0.0,0.0,0.0,0.0,0.0,-1454959.326500001,8911411.189860001,21272881.62088,19601503.770460002,19793498.801354703,19654306.0071,18895486.13196,19773496.39877,19830533.4552533,19819826.96,19819826.96,19819826.96,19819826.96,19819826.96,21274786.286500003
1130,"Denver-Aurora-Broomfield, CO Metro Area-Rail",2011,1,10,20682298.17,-33825.033189999995,-807832.4906,32178.80025,-93209.08114,696579.9436,39723.24505,-23256.81111,4510.154589,0.0,0.0,0.0,0.0,0.0,1075662.423,10462860.23834,-1139479.1422799998,228953.37790000005,31346.542907299998,803464.5831999999,987448.09215,102926.37813999999,-10706.4952533,0.0,0.0,0.0,108254.0342,0.0,-2127815.3891000007,10219437.931660002,21821777.312280003,20453344.7921,20650951.6270927,19878833.5868,19694850.077850003,20579371.791860003,20693004.6652533,20682298.17,20682298.17,20682298.17,20574044.1358,20682298.17,22810113.559100002
