,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_log_FAC,FARE_per_UPT_2018_log_FAC,POP_EMP_log_FAC,WEIGHTED_POP_DENSITY_log_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,YEARS_SINCE_TNC_BUS_SQRD_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_2018_log_FAC_cumsum,POP_EMP_log_FAC_cumsum,WEIGHTED_POP_DENSITY_log_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,YEARS_SINCE_TNC_BUS_SQRD_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_2018_log_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_WEIGHTED_POP_DENSITY_log_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_SQRD_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum
1305,"Eugene-Springfield, OR Metro Area-Bus",2002,0,23,8365005.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8365005.0,8365005.0,8365005.0,8365005.0,8365005.0,8365005.0,8365005.0,8365005.0,8365005.0,8365005.0,8365005.0,8365005.0,8365005.0,8365005.0
1306,"Eugene-Springfield, OR Metro Area-Bus",2003,0,23,8103040.0,-516469.9413,-187893.9433,17326.171459999998,-349.6957733,247373.15600000002,11801.05241,36294.76141,0.0,0.0,0.0,0.0,0.0,0.0,142323.4115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8103040.0,8103040.0,8103040.0,8103040.0,8103040.0,8103040.0,8103040.0,8103040.0,8103040.0,8103040.0,8103040.0,8103040.0,8103040.0,8103040.0
1307,"Eugene-Springfield, OR Metro Area-Bus",2004,0,23,8396793.0,195481.3966,83596.98527,21198.59591,238.92709190000002,164281.5859,38314.499469999995,35755.33971,0.0,0.0,0.0,0.0,0.0,0.0,-258533.2066,-516469.9413,-187893.9433,17326.171459999998,-349.6957733,247373.15600000002,11801.05241,36294.76141,0.0,0.0,0.0,0.0,0.0,0.0,142323.4115,8913262.9413,8584686.9433,8379466.82854,8397142.6957733,8149419.844,8384991.94759,8360498.23859,8396793.0,8396793.0,8396793.0,8396793.0,8396793.0,8396793.0,8254469.5885
1308,"Eugene-Springfield, OR Metro Area-Bus",2005,0,23,8626363.0,389092.6684,158024.9161,25494.66069,674.3690945000001,210990.5187,31618.047510000004,33339.049080000004,0.0,0.0,0.0,0.0,0.0,0.0,-649737.7583,-320988.54469999997,-104296.95803000001,38524.76737,-110.76868139999996,411654.7419,50115.55188,72050.10112,0.0,0.0,0.0,0.0,0.0,0.0,-116209.79510000002,8947351.5447,8730659.95803,8587838.23263,8626473.7686814,8214708.2581,8576247.44812,8554312.89888,8626363.0,8626363.0,8626363.0,8626363.0,8626363.0,8626363.0,8742572.7951
1309,"Eugene-Springfield, OR Metro Area-Bus",2006,0,23,9443294.0,-462442.2732,-59080.97904,31079.86775,-3042.444733,146815.0723,83852.95665,46333.97741,1308.614023,0.0,0.0,0.0,0.0,0.0,1043946.561,68104.12370000005,53727.95806999999,64019.428060000006,563.6004131000001,622645.2606,81733.59939,105389.1502,0.0,0.0,0.0,0.0,0.0,0.0,-765947.5534,9375189.8763,9389566.04193,9379274.57194,9442730.3995869,8820648.7394,9361560.40061,9337904.8498,9443294.0,9443294.0,9443294.0,9443294.0,9443294.0,9443294.0,10209241.5534
1310,"Eugene-Springfield, OR Metro Area-Bus",2007,0,23,10299753.0,-250335.0481,227385.1979,22131.4521,7048.334881999999,95993.33564,-104330.0752,-4156.850541,-9306.227941,0.0,0.0,0.0,0.0,0.0,879173.1399,-394338.14949999994,-5353.020970000005,95099.29581000001,-2478.8443199,769460.3329,165586.55604,151723.12761,1308.614023,0.0,0.0,0.0,0.0,0.0,277999.0076,10694091.1495,10305106.02097,10204653.70419,10302231.8443199,9530292.6671,10134166.44396,10148029.87239,10298444.385977,10299753.0,10299753.0,10299753.0,10299753.0,10299753.0,10021753.9924
1311,"Eugene-Springfield, OR Metro Area-Bus",2008,0,23,11933051.0,1412080.23,51309.05193,5741.476398,-8291.566761,215824.5151,86273.97376000001,128527.0345,9378.353711,0.0,0.0,0.0,0.0,0.0,-343753.7448,-644673.1976,222032.17693,117230.74791,4569.4905621,865453.66854,61256.48083999999,147566.277069,-7997.613917999999,0.0,0.0,0.0,0.0,0.0,1157172.1475,12577724.1976,11711018.82307,11815820.25209,11928481.5094379,11067597.33146,11871794.51916,11785484.722931,11941048.613918,11933051.0,11933051.0,11933051.0,11933051.0,11933051.0,10775878.8525
1312,"Eugene-Springfield, OR Metro Area-Bus",2009,0,23,11257192.0,-246686.4676,-418818.6102,-15775.949980000001,-2963.369876,-621978.8584,636011.8162,-134958.7149,-17183.559230000003,0.0,0.0,0.0,0.0,0.0,159857.9991,767407.0324,273341.22886,122972.224308,-3722.0761989000002,1081278.18364,147530.4546,276093.311569,1380.7397930000006,0.0,0.0,0.0,0.0,0.0,813418.4027,10489784.9676,10983850.77114,11134219.775692,11260914.0761989,10175913.81636,11109661.5454,10981098.688431,11255811.260207,11257192.0,11257192.0,11257192.0,11257192.0,11257192.0,10443773.5973
1313,"Eugene-Springfield, OR Metro Area-Bus",2010,0,23,11196693.0,-214126.283,-152097.3359,-4544.218112,64354.630860000005,284334.0751,-144879.8304,38063.2925,4269.758704999999,0.0,0.0,0.0,0.0,0.0,71171.42364,520720.56480000005,-145477.38134000002,107196.274328,-6685.446074900001,459299.3252399999,783542.2708,141134.59666900002,-15802.819437000002,0.0,0.0,0.0,0.0,0.0,973276.4018,10675972.4352,11342170.38134,11089496.725672,11203378.4460749,10737393.67476,10413150.7292,11055558.403331,11212495.819437,11196693.0,11196693.0,11196693.0,11196693.0,11196693.0,10223416.5982
1314,"Eugene-Springfield, OR Metro Area-Bus",2011,0,23,11395477.0,-591968.1063,-20726.13832,8095.700098,-137918.1145,399920.3104,217939.6151,37034.35525,7645.421226,0.0,0.0,0.0,0.0,0.0,304494.5626,306594.28180000006,-297574.71724,102652.056216,57669.184785100006,743633.4003399999,638662.4404000001,179197.88916900003,-11533.060732000002,0.0,0.0,0.0,0.0,0.0,1044447.82544,11088882.7182,11693051.71724,11292824.943784,11337807.8152149,10651843.59966,10756814.5596,11216279.110831,11407010.060732,11395477.0,11395477.0,11395477.0,11395477.0,11395477.0,10351029.17456
1315,"Eugene-Springfield, OR Metro Area-Bus",2012,0,23,11548218.0,38370.32657,410407.9783,-6074.870825999999,213897.585,54868.09642,13853.93505,-15041.926980000002,-13820.059580000001,0.0,0.0,0.0,0.0,0.0,-555428.684,-285373.82449999993,-318300.85556000005,110747.756314,-80248.92971489999,1143553.71074,856602.0555,216232.24441900002,-3887.6395060000013,0.0,0.0,0.0,0.0,0.0,1348942.38804,11833591.8245,11866518.855560001,11437470.243686,11628466.9297149,10404664.28926,10691615.9445,11331985.755581,11552105.639506,11548218.0,11548218.0,11548218.0,11548218.0,11548218.0,10199275.61196
1316,"Eugene-Springfield, OR Metro Area-Bus",2013,0,23,11346125.0,373174.7566,-102113.3978,-3010.098441,93939.58367,-113738.3305,-69487.29217999999,-40604.748960000004,-4378.48171,0.0,0.0,0.0,0.0,0.0,-328983.7742,-247003.49792999992,92107.12273999996,104672.885488,133648.6552851,1198421.80716,870455.99055,201190.31743900003,-17707.699086,0.0,0.0,0.0,0.0,0.0,793513.7040400001,11593128.49793,11254017.87726,11241452.114512,11212476.3447149,10147703.19284,10475669.00945,11144934.682561,11363832.699086,11346125.0,11346125.0,11346125.0,11346125.0,11346125.0,10552611.29596
1317,"Eugene-Springfield, OR Metro Area-Bus",2014,0,23,11040476.0,-142420.2038,-91311.45771,14285.18296,75941.70555,-111502.1936,86.67097997,33352.649919999996,13776.915280000001,0.0,0.0,0.0,0.0,0.0,-97646.86817999999,126171.2586700001,-10006.275060000044,101662.787047,227588.2389551,1084683.4766600002,800968.69837,160585.56847900004,-22086.180796,0.0,0.0,0.0,0.0,0.0,464529.9298400001,10914304.74133,11050482.27506,10938813.212953,10812887.7610449,9955792.52334,10239507.30163,10879890.431521,11062562.180796,11040476.0,11040476.0,11040476.0,11040476.0,11040476.0,10575946.07016
1318,"Eugene-Springfield, OR Metro Area-Bus",2015,0,23,10209902.0,147174.2422,-320629.0117,24583.49895,236911.0822,-417358.8924,-242178.2168,14592.59095,7538.751804,0.0,0.0,0.0,0.0,0.0,-276537.9824,-16248.945129999891,-101317.73277000005,115947.97000700001,303529.9445051,973181.2830600002,801055.36934997,193938.21839900003,-8309.265516,0.0,0.0,0.0,0.0,0.0,366883.0616600001,10226150.94513,10311219.73277,10093954.029993,9906372.0554949,9236720.71694,9408846.63065003,10015963.781601,10218211.265516,10209902.0,10209902.0,10209902.0,10209902.0,10209902.0,9843018.93834
