,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_log_FAC,FARE_per_UPT_2018_log_FAC,POP_EMP_log_FAC,WEIGHTED_POP_DENSITY_log_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,YEARS_SINCE_TNC_BUS_SQRD_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_2018_log_FAC_cumsum,POP_EMP_log_FAC_cumsum,WEIGHTED_POP_DENSITY_log_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,YEARS_SINCE_TNC_BUS_SQRD_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_2018_log_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_WEIGHTED_POP_DENSITY_log_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_SQRD_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum
1588,"Hartford-West Hartford-East Hartford, CT Metro Area-Bus",2002,0,23,15341472.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15341472.64,15341472.64,15341472.64,15341472.64,15341472.64,15341472.64,15341472.64,15341472.64,15341472.64,15341472.64,15341472.64,15341472.64,15341472.64,15341472.64
1589,"Hartford-West Hartford-East Hartford, CT Metro Area-Bus",2003,0,23,14676362.28,-290059.1857,220957.9412,38344.715580000004,-73.50030984,331972.6218,283483.233,-21374.85523,0.0,0.0,0.0,0.0,0.0,0.0,-1227894.185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14676362.28,14676362.28,14676362.28,14676362.28,14676362.28,14676362.28,14676362.28,14676362.28,14676362.28,14676362.28,14676362.28,14676362.28,14676362.28,14676362.28
1590,"Hartford-West Hartford-East Hartford, CT Metro Area-Bus",2004,0,23,13599351.32,-135526.3945,-355307.0922,41738.02175,540.7486243,326833.9418,325861.2123,-20448.17511,0.0,0.0,0.0,0.0,0.0,0.0,-1249483.097,-290059.1857,220957.9412,38344.715580000004,-73.50030984,331972.6218,283483.233,-21374.85523,0.0,0.0,0.0,0.0,0.0,0.0,-1227894.185,13889410.5057,13378393.378800001,13561006.60442,13599424.82030984,13267378.6982,13315868.087000001,13620726.17523,13599351.32,13599351.32,13599351.32,13599351.32,13599351.32,13599351.32,14827245.505
1591,"Hartford-West Hartford-East Hartford, CT Metro Area-Bus",2005,0,23,13853439.79,175.9609315,-4369.941879999999,44146.53895,-1215.408738,392121.3393,284062.7844,-13963.954230000001,0.0,0.0,0.0,0.0,0.0,0.0,-456246.3391,-425585.58019999997,-134349.151,80082.73733,467.24831445999996,658806.5636,609344.4453,-41823.03034,0.0,0.0,0.0,0.0,0.0,0.0,-2477377.282,14279025.370199999,13987788.941,13773357.052669998,13852972.541685538,13194633.2264,13244095.3447,13895262.820339998,13853439.79,13853439.79,13853439.79,13853439.79,13853439.79,13853439.79,16330817.071999999
1592,"Hartford-West Hartford-East Hartford, CT Metro Area-Bus",2006,0,23,14629419.48,43166.33395,-60846.9943,59731.220720000005,1782.7492960000002,262752.8305,415165.9611,-33506.65545,0.0,0.0,0.0,0.0,0.0,0.0,79733.50279,-425409.61926849996,-138719.09288,124229.27628,-748.1604235400001,1050927.9029,893407.2297,-55786.98457,0.0,0.0,0.0,0.0,0.0,0.0,-2933623.6211,15054829.0992685,14768138.57288,14505190.20372,14630167.64042354,13578491.577100001,13736012.250300001,14685206.46457,14629419.48,14629419.48,14629419.48,14629419.48,14629419.48,14629419.48,17563043.1011
1593,"Hartford-West Hartford-East Hartford, CT Metro Area-Bus",2007,0,23,14780113.1,223281.7736,130135.7187,9031.503942,-236.1772544,101432.398,-39047.33334,46234.500089999994,-7764.808667,0.0,0.0,0.0,0.0,0.0,-316950.6265,-382243.28531849995,-199566.08718,183960.497,1034.58887246,1313680.7334,1308573.1908,-89293.64001999999,0.0,0.0,0.0,0.0,0.0,0.0,-2853890.1183100003,15162356.385318499,14979679.18718,14596152.603,14779078.511127539,13466432.3666,13471539.9092,14869406.74002,14780113.1,14780113.1,14780113.1,14780113.1,14780113.1,14780113.1,17634003.21831
1594,"Hartford-West Hartford-East Hartford, CT Metro Area-Bus",2008,0,23,15380996.87,144054.8892,226339.9288,4205.998357,-6433.843511,342100.1843,9991.345304,59772.633910000004,-2241.7940940000003,0.0,0.0,0.0,0.0,0.0,-190949.9783,-158961.51171849997,-69430.36848,192992.000942,798.4116180599999,1415113.1314,1269525.85746,-43059.13993,-7764.808667,0.0,0.0,0.0,0.0,0.0,-3170840.74481,15539958.3817185,15450427.23848,15188004.869058,15380198.45838194,13965883.738599999,14111471.01254,15424056.00993,15388761.678667,15380996.87,15380996.87,15380996.87,15380996.87,15380996.87,18551837.614809997
1595,"Hartford-West Hartford-East Hartford, CT Metro Area-Bus",2009,0,23,14498772.04,27515.412389999998,-447758.5896,-2731.457247,27471.945519999997,-897752.5844,155851.0846,-25937.68007,-1166.5112199999999,0.0,0.0,0.0,0.0,0.0,271489.2902,-14906.622518499964,156909.56032,197197.99929900002,-5635.43189294,1757213.3157000002,1279517.202764,16713.493980000007,-10006.602761,0.0,0.0,0.0,0.0,0.0,-3361790.72311,14513678.6625185,14341862.47968,14301574.040700998,14504407.47189294,12741558.724299999,13219254.837235998,14482058.54602,14508778.642761,14498772.04,14498772.04,14498772.04,14498772.04,14498772.04,17860562.76311
1596,"Hartford-West Hartford-East Hartford, CT Metro Area-Bus",2010,0,23,15036099.85,-97024.35573,349943.3597,18714.10099,-19833.85271,426855.80799999996,141912.4589,70390.25096,8799.821758,0.0,0.0,0.0,0.0,0.0,-378667.2707,12608.789871500034,-290849.02928,194466.542052,21836.513627059998,859460.7313000001,1435368.287364,-9224.186089999992,-11173.113981,0.0,0.0,0.0,0.0,0.0,-3090301.43291,15023491.060128499,15326948.879279999,14841633.307947999,15014263.33637294,14176639.1187,13600731.562636,15045324.03609,15047272.963980999,15036099.85,15036099.85,15036099.85,15036099.85,15036099.85,18126401.28291
1597,"Hartford-West Hartford-East Hartford, CT Metro Area-Bus",2011,0,23,15655976.32,-514548.3292,125999.2139,3099.2516539999997,28435.538239999998,648224.9959,140209.4518,-25356.06442,-7980.661064,0.0,0.0,0.0,0.0,0.0,240915.78,-84415.56585849996,59094.330419999955,213180.643042,2002.6609170599986,1286316.5393,1577280.746264,61166.06487000002,-2373.2922230000004,0.0,0.0,0.0,0.0,0.0,-3468968.70361,15740391.8858585,15596881.98958,15442795.676958,15653973.65908294,14369659.7807,14078695.573736,15594810.25513,15658349.612223001,15655976.32,15655976.32,15655976.32,15655976.32,15655976.32,19124945.02361
