,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_log_FAC,FARE_per_UPT_2018_log_FAC,POP_EMP_log_FAC,WEIGHTED_POP_DENSITY_log_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,YEARS_SINCE_TNC_BUS_SQRD_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_2018_log_FAC_cumsum,POP_EMP_log_FAC_cumsum,WEIGHTED_POP_DENSITY_log_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,YEARS_SINCE_TNC_BUS_SQRD_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_2018_log_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_WEIGHTED_POP_DENSITY_log_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_SQRD_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum
1817,"Johnstown, PA Metro Area-Bus",2002,0,33,1053093.393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1053093.393,1053093.393,1053093.393,1053093.393,1053093.393,1053093.393,1053093.393,1053093.393,1053093.393,1053093.393,1053093.393,1053093.393,1053093.393,1053093.393
1818,"Johnstown, PA Metro Area-Bus",2003,0,33,1002294.81,-59536.91812,-1859.3584460000002,4446.5279869999995,40.13133127,22787.78465,16215.919080000001,5501.0087109999995,0.0,0.0,0.0,0.0,0.0,0.0,-36352.487069999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1002294.81,1002294.81,1002294.81,1002294.81,1002294.81,1002294.81,1002294.81,1002294.81,1002294.81,1002294.81,1002294.81,1002294.81,1002294.81,1002294.81
1819,"Johnstown, PA Metro Area-Bus",2004,0,33,978611.1390000001,-74626.40839,2091.900248,4024.0559450000005,43.21469094,23254.63319,18880.748480000002,5605.391027000001,0.0,0.0,0.0,0.0,0.0,0.0,146.38412409999998,-59536.91812,-1859.3584460000002,4446.5279869999995,40.13133127,22787.78465,16215.919080000001,5501.0087109999995,0.0,0.0,0.0,0.0,0.0,0.0,-36352.487069999996,1038148.0571200001,980470.4974460001,974164.6110130001,978571.0076687301,955823.35435,962395.2199200001,973110.1302890001,978611.1390000001,978611.1390000001,978611.1390000001,978611.1390000001,978611.1390000001,978611.1390000001,1014963.6260700001
1820,"Johnstown, PA Metro Area-Bus",2005,0,33,1070936.5590000001,9961.861201,5786.829667,3606.7380740000003,-275.4213327,29669.661139999997,17429.67036,5978.562003,0.0,0.0,0.0,0.0,0.0,0.0,18179.34662,-134163.32650999998,232.54180199999973,8470.583932,83.34602221,46042.41784,35096.66756,11106.399738,0.0,0.0,0.0,0.0,0.0,0.0,-36206.1029459,1205099.8855100002,1070704.017198,1062465.9750680001,1070853.21297779,1024894.1411600001,1035839.8914400002,1059830.1592620001,1070936.5590000001,1070936.5590000001,1070936.5590000001,1070936.5590000001,1070936.5590000001,1070936.5590000001,1107142.6619459002
1821,"Johnstown, PA Metro Area-Bus",2006,0,33,1032494.3640000001,-7563.966625,-18041.827409999998,5759.006357,721.1142032,20049.149419999998,26408.79035,6384.477382,-487.2334415,0.0,0.0,0.0,0.0,0.0,-71449.17704,-124201.46530899999,6019.371469,12077.322006,-192.07531049,75712.07897999999,52526.337920000005,17084.961741,0.0,0.0,0.0,0.0,0.0,0.0,-18026.756325899998,1156695.8293090002,1026474.992531,1020417.0419940001,1032686.43931049,956782.2850200001,979968.0260800001,1015409.4022590001,1032494.3640000001,1032494.3640000001,1032494.3640000001,1032494.3640000001,1032494.3640000001,1032494.3640000001,1050521.1203259001
1822,"Johnstown, PA Metro Area-Bus",2007,0,33,1004077.7009999999,-2974.848889,-2342.4824949999997,-896.7428476,-919.8146784,6342.963522999999,9.666521715,8979.178018999999,391.6164705,0.0,0.0,0.0,0.0,0.0,-36975.43466,-131765.431934,-12022.455940999998,17836.328363,529.03889271,95761.22839999999,78935.12827,23469.439123,-487.2334415,0.0,0.0,0.0,0.0,0.0,-89475.9333659,1135843.1329339999,1016100.1569409999,986241.3726369999,1003548.6621072899,908316.4725999999,925142.5727299999,980608.2618769999,1004564.9344414999,1004077.7009999999,1004077.7009999999,1004077.7009999999,1004077.7009999999,1004077.7009999999,1093553.6343659
1823,"Johnstown, PA Metro Area-Bus",2008,0,33,1005375.8879999999,-28595.06485,9070.451173000001,-37.356682299999996,-11.88821835,24273.002819999998,-10713.313559999999,-2281.499569,-989.5038697000001,0.0,0.0,0.0,0.0,0.0,11338.03953,-134740.28082299998,-14364.938435999999,16939.585515400002,-390.77578569,102104.19192299999,78944.794791715,32448.617142,-95.61697100000004,0.0,0.0,0.0,0.0,0.0,-126451.3680259,1140116.1688229998,1019740.826436,988436.3024845999,1005766.66378569,903271.6960769999,926431.0932082849,972927.2708579999,1005471.5049709999,1005375.8879999999,1005375.8879999999,1005375.8879999999,1005375.8879999999,1005375.8879999999,1131827.2560259
1824,"Johnstown, PA Metro Area-Bus",2009,0,33,841815.0179999999,-43081.767889999996,-52508.68463,-1420.887328,3690.346361,-58769.978520000004,4630.401524,-1032.330334,686.4993221,0.0,0.0,0.0,0.0,0.0,-22506.44156,-163335.34567299997,-5294.487262999997,16902.2288331,-402.66400404,126377.19474299999,68231.481231715,30167.117573,-1085.1208407000001,0.0,0.0,0.0,0.0,0.0,-115113.3284959,1005150.3636729999,847109.5052629999,824912.7891668999,842217.6820040399,715437.823257,773583.5367682849,811647.9004269999,842900.1388406999,841815.0179999999,841815.0179999999,841815.0179999999,841815.0179999999,841815.0179999999,956928.3464959
1825,"Johnstown, PA Metro Area-Bus",2010,0,33,1022663.9609999999,403272.4256,43136.4552,-1573.313526,-8895.000286,22846.32585,-16634.52645,-6645.166746,0.0,0.0,0.0,0.0,0.0,0.0,-268545.8878,-206417.11356299996,-57803.171893,15481.341505100001,3287.68235696,67607.21622299998,72861.882755715,29134.787239,-398.6215186000002,0.0,0.0,0.0,0.0,0.0,-137619.7700559,1229081.074563,1080467.1328929998,1007182.6194948999,1019376.2786430399,955056.7447769999,949802.0782442848,993529.1737609999,1023062.5825185999,1022663.9609999999,1022663.9609999999,1022663.9609999999,1022663.9609999999,1022663.9609999999,1160283.7310559
1826,"Johnstown, PA Metro Area-Bus",2011,0,33,1064304.846,15701.30106,2298.292282,119.1863913,18554.42715,42369.39237,23333.032059999998,-2099.085576,-77.55992638,0.0,0.0,0.0,0.0,0.0,-62080.685860000005,196855.31203700005,-14666.716693000002,13908.027979100001,-5607.31792904,90453.54207299999,56227.356305715,22489.620493000002,-398.6215186000002,0.0,0.0,0.0,0.0,0.0,-406165.6578559,867449.5339629998,1078971.5626929998,1050396.8180209,1069912.1639290398,973851.3039269999,1008077.4896942849,1041815.2255069999,1064703.4675186,1064304.846,1064304.846,1064304.846,1064304.846,1064304.846,1470470.5038559
1827,"Johnstown, PA Metro Area-Bus",2012,0,33,1062893.502,30646.86927,2506.883133,-1497.180748,-10532.38534,2232.4232469999997,-2027.227854,2815.318683,322.9332889,0.0,0.0,0.0,0.0,0.0,-25653.51223,212556.61309700005,-12368.424411000002,14027.214370400001,12947.10922096,132822.934443,79560.388365715,20390.534917,-476.18144498000015,0.0,0.0,0.0,0.0,0.0,-468246.34371590003,850336.888903,1075261.926411,1048866.2876296001,1049946.3927790402,930070.5675570001,983333.113634285,1042502.9670830001,1063369.68344498,1062893.502,1062893.502,1062893.502,1062893.502,1062893.502,1531139.8457159002
1828,"Johnstown, PA Metro Area-Bus",2013,0,33,1054039.635,-1226.132791,-4073.891082,-1435.202337,-6278.071724,-8596.917262,-7891.471422,7199.952547,-402.99375699999996,0.0,0.0,0.0,0.0,0.0,13724.487119999998,243203.48236700005,-9861.541278000002,12530.0336224,2414.7238809599985,135055.35769,77533.160511715,23205.853600000002,-153.24815608000017,0.0,0.0,0.0,0.0,0.0,-493899.8559459,810836.1526329999,1063901.176278,1041509.6013776,1051624.91111904,918984.27731,976506.474488285,1030833.7814,1054192.88315608,1054039.635,1054039.635,1054039.635,1054039.635,1054039.635,1547939.4909459
1829,"Johnstown, PA Metro Area-Bus",2014,0,33,1019688.912,-1142.5587289999999,-3583.3782020000003,-2015.8218739999998,-4308.394732,-10010.61239,-850.0632127,-8857.452886,479.76428830000003,0.0,0.0,0.0,0.0,0.0,-4392.949256,241977.34957600004,-13935.432360000003,11094.8312854,-3863.347843040002,126458.440428,69641.689089715,30405.806147000003,-556.2419130800001,0.0,0.0,0.0,0.0,0.0,-480175.3688259,777711.562424,1033624.34436,1008594.0807146,1023552.25984304,893230.4715720001,950047.222910285,989283.105853,1020245.15391308,1019688.912,1019688.912,1019688.912,1019688.912,1019688.912,1499864.2808259
1830,"Johnstown, PA Metro Area-Bus",2015,0,33,1013913.45,7440.583884000001,-15242.84484,-1052.196062,-14197.77925,-60210.43196,-16288.33117,8490.499485,-850.3547424000001,0.0,0.0,0.0,0.0,0.0,84178.09779,240834.79084700003,-17518.810562000002,9079.0094114,-8171.742575040002,116447.828038,68791.625877015,21548.353261000004,-76.4776247800001,0.0,0.0,0.0,0.0,0.0,-484568.3180819,773078.659153,1031432.260562,1004834.4405886,1022085.1925750399,897465.6219619999,945121.8241229849,992365.096739,1013989.92762478,1013913.45,1013913.45,1013913.45,1013913.45,1013913.45,1498481.7680819
1831,"Johnstown, PA Metro Area-Bus",2016,0,33,965288.907,-2144.57769,-10404.47515,-1712.030152,-5124.206469,-19083.89995,-5985.698869,-12643.29553,461.5001643,0.0,0.0,0.0,0.0,0.0,6790.015426999999,248275.37473100002,-32761.655402000004,8026.8133494,-22369.52182504,56237.396078000005,52503.294707015004,30038.852746000004,-926.8323671800001,0.0,0.0,0.0,0.0,0.0,-400390.2202919,717013.532269,998050.562402,957262.0936506,987658.42882504,909051.510922,912785.612292985,935250.054254,966215.73936718,965288.907,965288.907,965288.907,965288.907,965288.907,1365679.1272919
