,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_log_FAC,FARE_per_UPT_2018_log_FAC,POP_EMP_log_FAC,WEIGHTED_POP_DENSITY_log_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,YEARS_SINCE_TNC_BUS_SQRD_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_2018_log_FAC_cumsum,POP_EMP_log_FAC_cumsum,WEIGHTED_POP_DENSITY_log_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,YEARS_SINCE_TNC_BUS_SQRD_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_2018_log_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_WEIGHTED_POP_DENSITY_log_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_SQRD_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum
1881,"Kansas City, MO-KS Metro Area-Bus",2005,0,24,13898092.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13898092.0,13898092.0,13898092.0,13898092.0,13898092.0,13898092.0,13898092.0,13898092.0,13898092.0,13898092.0,13898092.0,13898092.0,13898092.0,13898092.0
1882,"Kansas City, MO-KS Metro Area-Bus",2006,0,24,14590680.0,459681.4568,-412422.3614,36760.68058,1599.221945,230723.1687,60516.93465,2039.8691010000002,3162.618096,0.0,0.0,0.0,0.0,0.0,321412.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14590680.0,14590680.0,14590680.0,14590680.0,14590680.0,14590680.0,14590680.0,14590680.0,14590680.0,14590680.0,14590680.0,14590680.0,14590680.0,14590680.0
1883,"Kansas City, MO-KS Metro Area-Bus",2007,0,24,15241795.0,363146.7953,-94068.78704,14834.557869999999,-3180.905048,198007.1743,118096.1055,-25673.77045,-1106.572745,0.0,0.0,0.0,0.0,0.0,76626.42023999999,459681.4568,-412422.3614,36760.68058,1599.221945,230723.1687,60516.93465,2039.8691010000002,3162.618096,0.0,0.0,0.0,0.0,0.0,321412.65,14782113.5432,15654217.3614,15205034.31942,15240195.778055,15011071.8313,15181278.06535,15239755.130899,15238632.381904,15241795.0,15241795.0,15241795.0,15241795.0,15241795.0,14920382.35
1884,"Kansas City, MO-KS Metro Area-Bus",2008,0,24,17141347.0,-76563.11356,81653.76162,7092.047348,3397.54045,299900.5033,-242584.0496,40317.87545,-1155.954002,0.0,0.0,0.0,0.0,0.0,1792448.507,822828.2520999999,-506491.14844,51595.23845,-1581.683103,428730.343,178613.04015000002,-23633.901349,2056.045351,0.0,0.0,0.0,0.0,0.0,398039.07024000003,16318518.7479,17647838.14844,17089751.76155,17142928.683103,16712616.657,16962733.95985,17164980.901349,17139290.954649,17141347.0,17141347.0,17141347.0,17141347.0,17141347.0,16743307.92976
1885,"Kansas City, MO-KS Metro Area-Bus",2009,0,24,15534698.0,-368914.209,-695298.4184,31264.66893,10534.27246,-1009734.5329999999,497500.3332,30215.09233,-6499.104392,0.0,0.0,0.0,0.0,0.0,-108629.9834,746265.13854,-424837.38682,58687.285798,1815.857347,728630.8463,-63971.00944999998,16683.974101,900.0913490000003,0.0,0.0,0.0,0.0,0.0,2190487.57724,14788432.86146,15959535.38682,15476010.714202,15532882.142653,14806067.1537,15598669.00945,15518014.025899,15533797.908651,15534698.0,15534698.0,15534698.0,15534698.0,15534698.0,13344210.42276
1886,"Kansas City, MO-KS Metro Area-Bus",2010,0,24,15075656.0,-508023.4018,-3879.1967310000005,6770.174876000001,-5163.618845,457582.0861,132065.8418,53670.42863,2356.6042429999998,0.0,0.0,0.0,0.0,0.0,-579126.8279,377350.92954,-1120135.80522,89951.954728,12350.129807,-281103.68669999996,433529.32375,46899.066431,-5599.013043,0.0,0.0,0.0,0.0,0.0,2081857.59384,14698305.07046,16195791.80522,14985704.045272,15063305.870193,15356759.6867,14642126.67625,15028756.933569,15081255.013043,15075656.0,15075656.0,15075656.0,15075656.0,15075656.0,12993798.40616
1887,"Kansas City, MO-KS Metro Area-Bus",2011,0,24,16016905.0,71233.10703,189249.38600000003,12987.55152,63608.5473,622008.1289,636.922982,-57416.4692,-2286.6209719999997,0.0,0.0,0.0,0.0,0.0,28763.75991,-130672.47226000001,-1124015.001951,96722.129604,7186.510961999999,176478.39940000005,565595.16555,100569.495061,-3242.4088,0.0,0.0,0.0,0.0,0.0,1502730.7659399998,16147577.47226,17140920.001951,15920182.870396,16009718.489038,15840426.6006,15451309.834449999,15916335.504939,16020147.4088,16016905.0,16016905.0,16016905.0,16016905.0,16016905.0,14514174.23406
1888,"Kansas City, MO-KS Metro Area-Bus",2012,0,24,16550779.0,-5465.299997,182670.2852,17732.87734,-76161.81508,-14770.372330000002,33812.400839999995,74217.90041,1214.831306,0.0,0.0,0.0,87803.09222,0.0,231684.6667,-59439.36523000001,-934765.6159509999,109709.681124,70795.05826199999,798486.5283000001,566232.0885320001,43153.025860999995,-5529.029772,0.0,0.0,0.0,0.0,0.0,1531494.5258499999,16610218.36523,17485544.615951,16441069.318876,16479983.941738,15752292.4717,15984546.911468,16507625.974139,16556308.029772,16550779.0,16550779.0,16550779.0,16550779.0,16550779.0,15019284.47415
1889,"Kansas City, MO-KS Metro Area-Bus",2013,0,24,16239968.0,187325.7798,-102842.4661,-5616.909359,26935.80125,-110185.5519,-63644.4517,-99291.38464,1255.323951,0.0,0.0,0.0,0.0,0.0,-143413.3884,-64904.66522700001,-752095.3307509999,127442.558464,-5366.756818000009,783716.1559700001,600044.4893720001,117370.926271,-4314.198466,0.0,0.0,0.0,87803.09222,0.0,1763179.1925499998,16304872.665227,16992063.330750998,16112525.441536,16245334.756818,15456251.84403,15639923.510628,16122597.073729,16244282.198466,16239968.0,16239968.0,16239968.0,16152164.90778,16239968.0,14476788.80745
1890,"Kansas City, MO-KS Metro Area-Bus",2014,0,24,16363351.0,42436.05327,235721.7361,25826.07484,32649.69735,-201862.4277,42881.87027,25045.1931,-7388.538034,0.0,0.0,0.0,0.0,0.0,-69922.52958,122421.11457299997,-854937.7968509998,121825.649105,21569.04443199999,673530.6040700001,536400.0376720001,18079.541631,-3058.8745149999995,0.0,0.0,0.0,87803.09222,0.0,1619765.8041499997,16240929.885427,17218288.796851,16241525.350895,16341781.955568,15689820.39593,15826950.962328,16345271.458369,16366409.874515,16363351.0,16363351.0,16363351.0,16275547.90778,16363351.0,14743585.19585
