,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_log_FAC,FARE_per_UPT_2018_log_FAC,POP_EMP_log_FAC,WEIGHTED_POP_DENSITY_log_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,YEARS_SINCE_TNC_BUS_SQRD_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_2018_log_FAC_cumsum,POP_EMP_log_FAC_cumsum,WEIGHTED_POP_DENSITY_log_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,YEARS_SINCE_TNC_BUS_SQRD_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_2018_log_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_WEIGHTED_POP_DENSITY_log_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_SQRD_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum
1967,"Lafayette, IN Metro Area-Bus",2003,0,31,3886672.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3886672.0,3886672.0,3886672.0,3886672.0,3886672.0,3886672.0,3886672.0,3886672.0,3886672.0,3886672.0,3886672.0,3886672.0,3886672.0,3886672.0
1968,"Lafayette, IN Metro Area-Bus",2004,0,31,4233369.0,174140.858,113223.62199999999,22265.30239,-859.8810247000001,90870.35024,104695.8375,-15938.929219999998,0.0,0.0,0.0,0.0,0.0,0.0,-164725.8376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4233369.0,4233369.0,4233369.0,4233369.0,4233369.0,4233369.0,4233369.0,4233369.0,4233369.0,4233369.0,4233369.0,4233369.0,4233369.0,4233369.0
1969,"Lafayette, IN Metro Area-Bus",2005,0,31,4231208.0,27948.059660000003,-40954.67306,26064.023709999998,988.4072193,134181.3144,109073.2242,-11478.46084,0.0,0.0,0.0,0.0,0.0,0.0,-251180.9689,174140.858,113223.62199999999,22265.30239,-859.8810247000001,90870.35024,104695.8375,-15938.929219999998,0.0,0.0,0.0,0.0,0.0,0.0,-164725.8376,4057067.142,4117984.378,4208942.69761,4232067.8810247,4140337.64976,4126512.1625,4247146.92922,4231208.0,4231208.0,4231208.0,4231208.0,4231208.0,4231208.0,4395933.8376
1970,"Lafayette, IN Metro Area-Bus",2006,0,31,4326202.0,-21321.14743,-5529.465712,26456.6073,803.9542115,70242.57121000001,153938.0763,-35556.27726,-1283.451308,0.0,0.0,0.0,0.0,0.0,-93221.73161,202088.91766,72268.94893999999,48329.3261,128.52619459999983,225051.66464,213769.0617,-27417.390059999998,0.0,0.0,0.0,0.0,0.0,0.0,-415906.8065,4124113.08234,4253933.05106,4277872.6739,4326073.4738054,4101150.33536,4112432.9383,4353619.39006,4326202.0,4326202.0,4326202.0,4326202.0,4326202.0,4326202.0,4742108.8065
1971,"Lafayette, IN Metro Area-Bus",2007,0,31,4646245.0,31035.33312,-4728.391775,17133.76829,-6461.212529,58710.01444,-2880.42438,62994.28608,-5902.062321,0.0,0.0,0.0,0.0,0.0,168555.8034,180767.77023,66739.48322799998,74785.9334,932.4804060999999,295294.23585,367707.138,-62973.66732,-1283.451308,0.0,0.0,0.0,0.0,0.0,-509128.53811,4465477.22977,4579505.516772,4571459.0666,4645312.5195939,4350950.76415,4278537.862,4709218.66732,4647528.451308,4646245.0,4646245.0,4646245.0,4646245.0,4646245.0,5155373.53811
1972,"Lafayette, IN Metro Area-Bus",2008,0,31,5007283.0,203848.2023,59260.11142000001,-599.3328835,17439.02552,91420.41432000001,-13013.99305,-27534.82492,6347.343457999999,0.0,0.0,0.0,0.0,0.0,17509.331019999998,211803.10335,62011.091452999986,91919.70168999999,-5528.732122900001,354004.25029,364826.71362,20.618759999997565,-7185.513629,0.0,0.0,0.0,0.0,0.0,-340572.73471,4795479.89665,4945271.908547,4915363.29831,5012811.7321229,4653278.74971,4642456.28638,5007262.38124,5014468.513629,5007283.0,5007283.0,5007283.0,5007283.0,5007283.0,5347855.73471
1973,"Lafayette, IN Metro Area-Bus",2009,0,31,4720438.0,107578.5216,-135204.5648,633.5093022000001,-24932.23459,-294960.8664,141219.6676,-60262.17292999999,379.7864908,0.0,0.0,0.0,0.0,0.0,-14554.46107,415651.30565,121271.202873,91320.36880649999,11910.293397099998,445424.66461,351812.72057,-27514.20616,-838.1701710000007,0.0,0.0,0.0,0.0,0.0,-323063.40369,4304786.6943500005,4599166.797127,4629117.6311935,4708527.7066029,4275013.33539,4368625.27943,4747952.20616,4721276.170171,4720438.0,4720438.0,4720438.0,4720438.0,4720438.0,5043501.40369
1974,"Lafayette, IN Metro Area-Bus",2010,0,31,4923149.0,64267.60264,25718.14271,20974.94716,6928.524329999999,139042.7974,-56544.615229999996,-346.37904910000003,3223.2496579999997,0.0,0.0,0.0,0.0,0.0,-1960.349804,523229.82725,-13933.36192699999,91953.87810869998,-13021.941192900002,150463.79820999998,493032.38817,-87776.37909,-458.38368020000064,0.0,0.0,0.0,0.0,0.0,-337617.86476,4399919.17275,4937082.361927,4831195.1218913,4936170.9411929,4772685.20179,4430116.61183,5010925.37909,4923607.3836802,4923149.0,4923149.0,4923149.0,4923149.0,4923149.0,5260766.86476
1975,"Lafayette, IN Metro Area-Bus",2011,0,31,5304804.0,1430.296019,48813.10179,11259.85392,94486.95977,203124.7395,21504.23779,30803.65835,-8580.507651,0.0,0.0,0.0,0.0,0.0,-32294.89095,587497.42989,11784.78078300001,112928.82526869998,-6093.416862900002,289506.59560999996,436487.77294,-88122.7581391,2764.865977799999,0.0,0.0,0.0,0.0,0.0,-339578.214564,4717306.57011,5293019.219217,5191875.1747313,5310897.4168629,5015297.40439,4868316.22706,5392926.7581391,5302039.1340222,5304804.0,5304804.0,5304804.0,5304804.0,5304804.0,5644382.214564
1976,"Lafayette, IN Metro Area-Bus",2012,0,31,5258842.0,350977.1671,-94613.87044,1834.176174,-298570.8609,-4891.951984,6301.014029999999,34758.70177,7649.918415000001,0.0,0.0,0.0,0.0,0.0,-28601.47838,588927.725909,60597.88257300001,124188.67918869997,88393.5429071,492631.33511,457992.01073,-57319.0997891,-5815.641673200001,0.0,0.0,0.0,0.0,0.0,-371873.10551400005,4669914.274091,5198244.117427,5134653.3208113,5170448.4570929,4766210.66489,4800849.98927,5316161.0997891,5264657.6416732,5258842.0,5258842.0,5258842.0,5258842.0,5258842.0,5630715.105514
