,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_log_FAC,FARE_per_UPT_2018_log_FAC,POP_EMP_log_FAC,WEIGHTED_POP_DENSITY_log_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,YEARS_SINCE_TNC_BUS_SQRD_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_2018_log_FAC_cumsum,POP_EMP_log_FAC_cumsum,WEIGHTED_POP_DENSITY_log_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,YEARS_SINCE_TNC_BUS_SQRD_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_2018_log_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_WEIGHTED_POP_DENSITY_log_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_SQRD_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum
2040,"Las Vegas-Paradise, NV Metro Area-Bus",2002,0,21,45783824.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45783824.0,45783824.0,45783824.0,45783824.0,45783824.0,45783824.0,45783824.0,45783824.0,45783824.0,45783824.0,45783824.0,45783824.0,45783824.0,45783824.0
2041,"Las Vegas-Paradise, NV Metro Area-Bus",2003,0,21,48726745.0,-3787721.666,1507452.824,253288.1449,-36.01494358,1353936.9119999998,-606021.1035,-127489.8295,0.0,0.0,0.0,0.0,0.0,0.0,4535876.908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48726745.0,48726745.0,48726745.0,48726745.0,48726745.0,48726745.0,48726745.0,48726745.0,48726745.0,48726745.0,48726745.0,48726745.0,48726745.0,48726745.0
2042,"Las Vegas-Paradise, NV Metro Area-Bus",2004,0,21,51946030.0,2389474.212,-196276.8645,285868.026,1460.653422,987889.3535,-450282.3944,-128552.8285,0.0,0.0,0.0,0.0,0.0,0.0,316653.6484,-3787721.666,1507452.824,253288.1449,-36.01494358,1353936.9119999998,-606021.1035,-127489.8295,0.0,0.0,0.0,0.0,0.0,0.0,4535876.908,55733751.666,50438577.176,51692741.8551,51946066.01494358,50592093.088,52552051.1035,52073519.8295,51946030.0,51946030.0,51946030.0,51946030.0,51946030.0,51946030.0,47410153.092
2043,"Las Vegas-Paradise, NV Metro Area-Bus",2005,0,21,55786925.0,2698744.833,970731.0008,304544.724,-4281.915672,1305274.504,-413544.225,-102818.4889,0.0,0.0,0.0,0.0,0.0,0.0,-1037964.0329999999,-1398247.4540000004,1311175.9595,539156.1709,1424.6384784200002,2341826.2654999997,-1056303.4978999998,-256042.658,0.0,0.0,0.0,0.0,0.0,0.0,4852530.5564,57185172.454,54475749.0405,55247768.8291,55785500.36152158,53445098.7345,56843228.4979,56042967.658,55786925.0,55786925.0,55786925.0,55786925.0,55786925.0,55786925.0,50934394.4436
2044,"Las Vegas-Paradise, NV Metro Area-Bus",2006,0,21,61515553.0,2556464.963,-166907.9876,345123.0227,8155.123031,949457.0803,-355748.3068,-187993.4529,-16921.834580000002,0.0,0.0,0.0,0.0,0.0,2578901.527,1300497.3789999997,2281906.9603000004,843700.8949,-2857.27719358,3647100.7694999995,-1469847.7229,-358861.1469,0.0,0.0,0.0,0.0,0.0,0.0,3814566.5234000003,60215055.621,59233646.0397,60671852.1051,61518410.27719358,57868452.2305,62985400.7229,61874414.1469,61515553.0,61515553.0,61515553.0,61515553.0,61515553.0,61515553.0,57700986.4766
2045,"Las Vegas-Paradise, NV Metro Area-Bus",2007,0,21,64280105.0,-2067823.1830000002,407615.6791,234839.8012,-4782.575249,625320.2671,-389450.1894,162722.0681,9331.871996,0.0,0.0,0.0,0.0,0.0,3819582.1580000003,3856962.3419999997,2114998.9727000003,1188823.9175999998,5297.84583742,4596557.8498,-1825596.0296999998,-546854.5998,-16921.834580000002,0.0,0.0,0.0,0.0,0.0,6393468.0504,60423142.658,62165106.0273,63091281.0824,64274807.15416258,59683547.1502,66105701.029699996,64826959.5998,64297026.83458,64280105.0,64280105.0,64280105.0,64280105.0,64280105.0,57886636.949599996
2046,"Las Vegas-Paradise, NV Metro Area-Bus",2008,0,21,67339542.0,1907490.31,115611.0865,101040.2714,-18859.86574,1346947.106,371453.5213,-305872.0916,-4875.071775,0.0,0.0,0.0,0.0,0.0,-505168.4467,1789139.1589999995,2522614.6518,1423663.7188,515.2705884199995,5221878.1169,-2215046.2191,-384132.53169999993,-7589.962584000003,0.0,0.0,0.0,0.0,0.0,10213050.2084,65550402.841,64816927.3482,65915878.2812,67339026.72941159,62117663.8831,69554588.2191,67723674.5317,67347131.962584,67339542.0,67339542.0,67339542.0,67339542.0,67339542.0,57126491.791600004
2047,"Las Vegas-Paradise, NV Metro Area-Bus",2009,0,21,58089997.0,-1257367.709,-4788617.442,-62716.84715,139004.1849,-3509896.292,1296862.996,356726.768,-25531.640730000003,0.0,0.0,0.0,0.0,0.0,-1573034.178,3696629.4689999996,2638225.7383000003,1524703.9902,-18344.59515158,6568825.2228999995,-1843592.6977999997,-690004.6232999999,-12465.034359000003,0.0,0.0,0.0,0.0,0.0,9707881.7617,54393367.531,55451771.2617,56565293.0098,58108341.59515158,51521171.7771,59933589.6978,58780001.6233,58102462.034359,58089997.0,58089997.0,58089997.0,58089997.0,58089997.0,48382115.238299996
2048,"Las Vegas-Paradise, NV Metro Area-Bus",2010,0,21,55190260.0,-1101925.085,-2949329.0110000004,108873.2737,8876.037783,1467236.729,1592239.0559999999,98125.29791000001,0.0,0.0,0.0,0.0,0.0,0.0,-2002897.259,2439261.76,-2150391.7036999995,1461987.1430499998,120659.58974842,3058928.9308999996,-546729.7017999997,-333277.8552999999,-37996.675089000004,0.0,0.0,0.0,0.0,0.0,8134847.5837,52750998.24,57340651.7037,53728272.85695,55069600.41025158,52131331.0691,55736989.701799996,55523537.8553,55228256.675089,55190260.0,55190260.0,55190260.0,55190260.0,55190260.0,47055412.4163
2049,"Las Vegas-Paradise, NV Metro Area-Bus",2011,0,21,57776926.0,-2353052.551,918416.2919,71872.23162,192444.8026,1971270.081,1028260.33,341244.8983,29308.708130000003,0.0,0.0,0.0,0.0,0.0,451101.6537,1337336.6749999998,-5099720.7147,1570860.4167499999,129535.62753142,4526165.659899999,1045509.3542000002,-235152.55738999986,-37996.675089000004,0.0,0.0,0.0,0.0,0.0,6131950.3247,56439589.325,62876646.7147,56206065.58325,57647390.37246858,53250760.3401,56731416.6458,58012078.55739,57814922.675089,57776926.0,57776926.0,57776926.0,57776926.0,57776926.0,51644975.6753
