,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_log_FAC,FARE_per_UPT_2018_log_FAC,POP_EMP_log_FAC,WEIGHTED_POP_DENSITY_log_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,YEARS_SINCE_TNC_BUS_SQRD_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_2018_log_FAC_cumsum,POP_EMP_log_FAC_cumsum,WEIGHTED_POP_DENSITY_log_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,YEARS_SINCE_TNC_BUS_SQRD_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_2018_log_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_WEIGHTED_POP_DENSITY_log_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_SQRD_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum
2231,"Lynchburg, VA Metro Area-Bus",2006,0,33,1024984.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1024984.0,1024984.0,1024984.0,1024984.0,1024984.0,1024984.0,1024984.0,1024984.0,1024984.0,1024984.0,1024984.0,1024984.0,1024984.0,1024984.0
2232,"Lynchburg, VA Metro Area-Bus",2007,0,33,2236758.0,60369.96386,257843.2363,-1168.781338,-490.65195149999994,8067.1640019999995,3675.686812,-9582.399723,0.0,0.0,0.0,0.0,0.0,0.0,877821.2931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2236758.0,2236758.0,2236758.0,2236758.0,2236758.0,2236758.0,2236758.0,2236758.0,2236758.0,2236758.0,2236758.0,2236758.0,2236758.0,2236758.0
2233,"Lynchburg, VA Metro Area-Bus",2008,0,33,2919619.0,111069.8226,77572.33958,7697.9436319999995,-3717.472427,58103.98711,-24127.91084,-16353.539780000001,-508.875747,0.0,0.0,0.0,0.0,0.0,468389.5535,60369.96386,257843.2363,-1168.781338,-490.65195149999994,8067.1640019999995,3675.686812,-9582.399723,0.0,0.0,0.0,0.0,0.0,0.0,877821.2931,2859249.03614,2661775.7637,2920787.781338,2920109.6519515,2911551.835998,2915943.313188,2929201.399723,2919619.0,2919619.0,2919619.0,2919619.0,2919619.0,2919619.0,2041797.7069
2234,"Lynchburg, VA Metro Area-Bus",2009,0,33,2853226.0,76256.87621,-38294.55228,-8315.252749,22233.84158,-177083.961,61602.854439999996,42078.183730000004,1107.38705,0.0,0.0,0.0,0.0,0.0,-38247.267210000005,171439.78646,335415.57588,6529.162294,-4208.1243785,66171.151112,-20452.224028,-25935.939503,-508.875747,0.0,0.0,0.0,0.0,0.0,1346210.8466,2681786.21354,2517810.42412,2846696.837706,2857434.1243785,2787054.848888,2873678.224028,2879161.939503,2853734.875747,2853226.0,2853226.0,2853226.0,2853226.0,2853226.0,1507015.1534
2235,"Lynchburg, VA Metro Area-Bus",2010,0,33,2676606.0,-74215.4918,-16528.63096,9654.999472,-33976.37064,79289.71897999999,76632.14281,21436.20659,-1081.794425,0.0,0.0,0.0,0.0,0.0,-234996.3247,247696.66267,297121.0236,-1786.0904549999996,18025.7172015,-110912.809888,41150.630412,16142.244227000003,598.511303,0.0,0.0,0.0,0.0,0.0,1307963.57939,2428909.33733,2379484.9764,2678392.090455,2658580.2827985,2787518.809888,2635455.369588,2660463.755773,2676007.488697,2676606.0,2676606.0,2676606.0,2676606.0,2676606.0,1368642.42061
2236,"Lynchburg, VA Metro Area-Bus",2011,0,33,2511564.0,526918.4833,-66005.51497,2385.0103289999997,41257.00166,108574.7144,-24697.48603,-32600.767139999996,812.1406022000001,0.0,0.0,0.0,0.0,0.0,-723378.8051,173481.17086999997,280592.39264000003,7868.909017,-15950.653438500001,-31623.090908000013,117782.773222,37578.450817000004,-483.28312200000005,0.0,0.0,0.0,0.0,0.0,1072967.25469,2338082.82913,2230971.60736,2503695.090983,2527514.6534385,2543187.0909080002,2393781.226778,2473985.549183,2512047.283122,2511564.0,2511564.0,2511564.0,2511564.0,2511564.0,1438596.74531
2237,"Lynchburg, VA Metro Area-Bus",2012,0,33,2330451.0,-476934.62700000004,-41344.74581,2195.795512,29860.50181,-965.2683379000001,-16055.082769999999,4427.13972,-380.944943,0.0,0.0,0.0,0.0,0.0,314240.2179,700399.65417,214586.87767000002,10253.919345999999,25306.3482215,76951.62349199998,93085.287192,4977.683677000008,328.85748020000005,0.0,0.0,0.0,0.0,0.0,349588.4495900001,1630051.34583,2115864.12233,2320197.080654,2305144.6517785,2253499.376508,2237365.712808,2325473.316323,2330122.1425198,2330451.0,2330451.0,2330451.0,2330451.0,2330451.0,1980862.55041
2238,"Lynchburg, VA Metro Area-Bus",2013,0,33,2389926.0,-243472.9991,-6833.901203,2964.88935,75069.99388,-15491.98539,-28117.30779,5650.216824,-530.1914617,0.0,0.0,0.0,0.0,0.0,274741.3804,223465.02716999996,173242.13186000002,12449.714858,55166.8500315,75986.35515409999,77030.20442200001,9404.823397000007,-52.08746279999997,0.0,0.0,0.0,0.0,0.0,663828.6674900001,2166460.97283,2216683.86814,2377476.285142,2334759.1499685,2313939.6448459,2312895.795578,2380521.176603,2389978.0874628,2389926.0,2389926.0,2389926.0,2389926.0,2389926.0,1726097.3325099999
2239,"Lynchburg, VA Metro Area-Bus",2014,0,33,2762412.0,33099.50615,91356.76903,-1893.2311559999998,8244.063896,-24343.39634,63609.32219,-32398.29808,362.5503214,0.0,0.0,0.0,0.0,0.0,233691.0573,-20007.97193000003,166408.23065700004,15414.604207999999,130236.8439115,60494.36976409999,48912.89663200001,15055.040221000007,-582.2789244999999,0.0,0.0,0.0,0.0,0.0,938570.0478900002,2782419.97193,2596003.769343,2746997.395792,2632175.1560885,2701917.6302359,2713499.103368,2747356.959779,2762994.2789245,2762412.0,2762412.0,2762412.0,2762412.0,2762412.0,1823841.95211
2240,"Lynchburg, VA Metro Area-Bus",2015,0,33,2394565.0,314139.7278,-9085.381002,2174.752923,25270.28921,-170380.848,-64042.56939,13614.965919999999,-1675.5893720000001,0.0,0.0,0.0,0.0,0.0,-456233.6468,13091.534219999972,257764.99968700003,13521.373051999999,138480.90780749999,36150.97342409999,112522.21882200001,-17343.257858999994,-219.72860309999993,0.0,0.0,0.0,0.0,0.0,1172261.10519,2381473.46578,2136800.000313,2381043.626948,2256084.0921925,2358414.0265759,2282042.781178,2411908.257859,2394784.7286031,2394565.0,2394565.0,2394565.0,2394565.0,2394565.0,1222303.89481
