,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_log_FAC,FARE_per_UPT_2018_log_FAC,POP_EMP_log_FAC,WEIGHTED_POP_DENSITY_log_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,YEARS_SINCE_TNC_BUS_SQRD_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_2018_log_FAC_cumsum,POP_EMP_log_FAC_cumsum,WEIGHTED_POP_DENSITY_log_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,YEARS_SINCE_TNC_BUS_SQRD_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_2018_log_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_WEIGHTED_POP_DENSITY_log_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_SQRD_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum
2342,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area-Bus",2002,0,10,73240005.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73240005.0,73240005.0,73240005.0,73240005.0,73240005.0,73240005.0,73240005.0,73240005.0,73240005.0,73240005.0,73240005.0,73240005.0,73240005.0,73240005.0
2343,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area-Bus",2003,0,10,72131794.0,-259446.1472,962713.9053,182622.3731,-510.2814256,1313422.844,269035.4444,134484.4436,0.0,0.0,0.0,0.0,0.0,0.0,-3737411.3419999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72131794.0,72131794.0,72131794.0,72131794.0,72131794.0,72131794.0,72131794.0,72131794.0,72131794.0,72131794.0,72131794.0,72131794.0,72131794.0,72131794.0
2344,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area-Bus",2004,0,10,58688797.0,3129999.375,-11176.56112,184555.5913,3122.175563,1686440.581,482370.0315,132449.5292,0.0,0.0,0.0,0.0,0.0,0.0,-19180110.43,-259446.1472,962713.9053,182622.3731,-510.2814256,1313422.844,269035.4444,134484.4436,0.0,0.0,0.0,0.0,0.0,0.0,-3737411.3419999997,58948243.1472,57726083.0947,58506174.6269,58689307.2814256,57375374.156,58419761.5556,58554312.5564,58688797.0,58688797.0,58688797.0,58688797.0,58688797.0,58688797.0,62426208.342
2345,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area-Bus",2005,0,10,70216577.0,-3504156.87,1064319.615,146872.6035,-5869.891351,1860206.3569999998,389418.3062,99136.78752,0.0,0.0,0.0,0.0,0.0,0.0,11626703.05,2870553.2278,951537.34418,367177.9644,2611.8941373999996,2999863.425,751405.4759,266933.9728,0.0,0.0,0.0,0.0,0.0,0.0,-22917521.772,67346023.7722,69265039.65582,69849399.0356,70213965.1058626,67216713.575,69465171.5241,69949643.0272,70216577.0,70216577.0,70216577.0,70216577.0,70216577.0,70216577.0,93134098.772
2346,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area-Bus",2006,0,10,73610411.0,-1004072.1190000001,-672859.5187,184241.29100000003,9507.021831999999,1165670.1609999998,610790.6889,134095.0104,-15974.68884,0.0,0.0,0.0,0.0,0.0,3004435.9080000003,-633603.6422000001,2015856.95918,514050.5679,-3257.9972136000006,4860069.782,1140823.7821,366070.76032,0.0,0.0,0.0,0.0,0.0,0.0,-11290818.722,74244014.6422,71594554.04082,73096360.4321,73613668.9972136,68750341.218,72469587.2179,73244340.23968,73610411.0,73610411.0,73610411.0,73610411.0,73610411.0,73610411.0,84901229.722
2347,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area-Bus",2007,0,10,77286162.0,1369385.894,709678.1684,66074.94301,592.2982737000001,998952.0353,186147.397,54036.081739999994,-16746.80626,0.0,0.0,0.0,0.0,0.0,253443.3293,-1637675.7612,1342997.4404799999,698291.8589000001,6249.024618399998,6025739.943,1751614.471,500165.77072000003,-15974.68884,0.0,0.0,0.0,0.0,0.0,-8286382.813999999,78923837.7612,75943164.55952,76587870.1411,77279912.9753816,71260422.057,75534547.529,76785996.22928,77302136.68884,77286162.0,77286162.0,77286162.0,77286162.0,77286162.0,85572544.814
2348,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area-Bus",2008,0,10,80906141.0,764460.7203,-38771.86726,27477.29778,-41626.95512,1520697.456,-14431.51555,96473.23236000001,17587.06264,0.0,0.0,0.0,0.0,0.0,1271759.267,-268289.8672,2052675.6088799997,764366.8019100002,6841.322892099998,7024691.9783,1937761.8679999998,554201.85246,-32721.4951,0.0,0.0,0.0,0.0,0.0,-8032939.484699999,81174430.8672,78853465.39112,80141774.19809,80899299.6771079,73881449.0217,78968379.132,80351939.14754,80938862.4951,80906141.0,80906141.0,80906141.0,80906141.0,80906141.0,88939080.4847
2349,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area-Bus",2009,0,10,77038939.0,1089412.217,-1677716.292,-14803.15956,160110.8952,-4765887.098999999,1902435.03,142613.4434,-6136.008092,0.0,0.0,0.0,0.0,0.0,-572825.051,496170.85310000007,2013903.7416199998,791844.0996900002,-34785.6322279,8545389.4343,1923330.35245,650675.08482,-15134.43246,0.0,0.0,0.0,0.0,0.0,-6761180.217699999,76542768.1469,75025035.25838,76247094.90031,77073724.6322279,68493549.5657,75115608.64755,76388263.91518,77054073.43246,77038939.0,77038939.0,77038939.0,77038939.0,77038939.0,83800119.2177
2350,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area-Bus",2010,0,10,78266736.0,1187748.8059999999,948920.7582,31597.47723,-111406.3661,2269219.422,494393.1373,101825.1137,-17526.816769999998,0.0,0.0,0.0,422319.8593,0.0,-4233666.028,1585583.0701000001,336187.44961999985,777040.9401300002,125325.2629721,3779502.3353000004,3825765.38245,793288.52822,-21270.440552,0.0,0.0,0.0,0.0,0.0,-7334005.268699999,76681152.9299,77930548.55038,77489695.05987,78141410.7370279,74487233.6647,74440970.61755,77473447.47178,78288006.440552,78266736.0,78266736.0,78266736.0,78266736.0,78266736.0,85600741.2687
2351,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area-Bus",2011,0,10,81398030.0,-1078101.247,847789.9388,112399.2338,152831.9425,3229215.764,280853.7916,160978.0824,17810.199819999998,0.0,0.0,0.0,0.0,0.0,-600947.9682,2773331.8761,1285108.20782,808638.4173600002,13918.896872099998,6048721.757300001,4320158.51975,895113.64192,-38797.257322,0.0,0.0,0.0,422319.8593,0.0,-11567671.296699999,78624698.1239,80112921.79218,80589391.58264,81384111.1031279,75349308.2427,77077871.48025,80502916.35808,81436827.257322,81398030.0,81398030.0,81398030.0,80975710.1407,81398030.0,92965701.2967
