,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_log_FAC,FARE_per_UPT_2018_log_FAC,POP_EMP_log_FAC,WEIGHTED_POP_DENSITY_log_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,YEARS_SINCE_TNC_BUS_SQRD_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_2018_log_FAC_cumsum,POP_EMP_log_FAC_cumsum,WEIGHTED_POP_DENSITY_log_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,YEARS_SINCE_TNC_BUS_SQRD_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_2018_log_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_WEIGHTED_POP_DENSITY_log_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_SQRD_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum
2431,"Mount Vernon-Anacortes, WA Metro Area-Bus",2005,0,33,269053.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,269053.0,269053.0,269053.0,269053.0,269053.0,269053.0,269053.0,269053.0,269053.0,269053.0,269053.0,269053.0,269053.0,269053.0
2432,"Mount Vernon-Anacortes, WA Metro Area-Bus",2006,0,33,372486.0,79430.84112000001,7602.9817379999995,949.5632783,-91.40755071,4579.106588000001,7404.911126000001,-1751.4417399999998,-122.4083892,0.0,0.0,0.0,0.0,0.0,-552.9079556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,372486.0,372486.0,372486.0,372486.0,372486.0,372486.0,372486.0,372486.0,372486.0,372486.0,372486.0,372486.0,372486.0,372486.0
2433,"Mount Vernon-Anacortes, WA Metro Area-Bus",2007,0,33,422258.0,43801.95861,-36584.90285,590.1799397000001,368.4985413,3786.409024,-12676.92352,-1745.242454,-254.17050640000002,0.0,0.0,0.0,0.0,0.0,56973.86587,79430.84112000001,7602.9817379999995,949.5632783,-91.40755071,4579.106588000001,7404.911126000001,-1751.4417399999998,-122.4083892,0.0,0.0,0.0,0.0,0.0,-552.9079556,342827.15888,414655.018262,421308.4367217,422349.40755071,417678.893412,414853.088874,424009.44174,422380.4083892,422258.0,422258.0,422258.0,422258.0,422258.0,422810.9079556
2434,"Mount Vernon-Anacortes, WA Metro Area-Bus",2008,0,33,503321.0,-2.067917172,-9925.704717,576.8943256,-667.6411895,8848.137241,-6276.785878,-2348.3686199999997,544.788237,0.0,0.0,0.0,0.0,0.0,90472.24643,123232.79973000001,-28981.921112,1539.743218,277.09099059,8365.515612000001,-5272.012393999999,-3496.6841939999995,-376.5788956,0.0,0.0,0.0,0.0,0.0,56420.9579144,380088.20027,532302.921112,501781.256782,503043.90900941,494955.484388,508593.012394,506817.684194,503697.5788956,503321.0,503321.0,503321.0,503321.0,503321.0,446900.04208559997
2435,"Mount Vernon-Anacortes, WA Metro Area-Bus",2009,0,33,508212.0,29560.906619999998,-18738.3033,-374.014859,548.0385565,-26234.28166,2336.907011,3260.7384859999997,-228.9909901,0.0,0.0,0.0,0.0,0.0,16541.15256,123230.73181282802,-38907.625829,2116.6375436,-390.55019891,17213.652853,-11548.798272,-5845.052813999999,168.20934139999997,0.0,0.0,0.0,0.0,0.0,146893.2043444,384981.268187172,547119.625829,506095.3624564,508602.55019891,490998.347147,519760.798272,514057.052814,508043.7906586,508212.0,508212.0,508212.0,508212.0,508212.0,361318.7956556
2436,"Mount Vernon-Anacortes, WA Metro Area-Bus",2010,0,33,554281.0,16000.661030000001,1611.026133,-852.7147337000001,2288.044366,12836.41506,2452.667556,1942.9533390000001,231.32144219999998,0.0,0.0,0.0,0.0,0.0,8670.70694,152791.638432828,-57645.929129,1742.6226846,157.48835759000002,-9020.628807000001,-9211.891261,-2584.314327999999,-60.781648700000034,0.0,0.0,0.0,0.0,0.0,163434.3569044,401489.361567172,611926.929129,552538.3773154,554123.51164241,563301.628807,563492.891261,556865.314328,554341.7816487,554281.0,554281.0,554281.0,554281.0,554281.0,390846.6430956
2437,"Mount Vernon-Anacortes, WA Metro Area-Bus",2011,0,33,624704.0,56189.89676,7953.8596450000005,-203.66701880000002,-8252.749723,19797.65182,1150.703358,-1381.187055,-1217.7871109999999,0.0,0.0,0.0,0.0,0.0,-5210.604615,168792.299462828,-56034.902996,889.9079508999998,2445.53272359,3815.7862529999984,-6759.223705,-641.3609889999989,170.53979349999994,0.0,0.0,0.0,0.0,0.0,172105.0638444,455911.70053717203,680738.902996,623814.0920491,622258.46727641,620888.213747,631463.223705,625345.360989,624533.4602065,624704.0,624704.0,624704.0,624704.0,624704.0,452598.9361556
2438,"Mount Vernon-Anacortes, WA Metro Area-Bus",2012,0,33,697473.0,54880.07344,3503.069296,256.13264330000004,19950.40468,3007.888069,21484.53527,2388.315748,758.5403902,0.0,0.0,0.0,0.0,0.0,-39510.532680000004,224982.196222828,-48081.043351,686.2409320999998,-5807.21699941,23613.438072999998,-5608.520347000001,-2022.548043999999,-1047.2473175,0.0,0.0,0.0,0.0,0.0,166894.4592294,472490.803777172,745554.043351,696786.7590679,703280.21699941,673859.5619270001,703081.520347,699495.548044,698520.2473175,697473.0,697473.0,697473.0,697473.0,697473.0,530578.5407706
2439,"Mount Vernon-Anacortes, WA Metro Area-Bus",2013,0,33,754865.0,112146.6428,14833.9953,437.5525058999999,-8158.905273,-6869.407434999999,4345.678668,-102.3554046,158.7153641,0.0,0.0,0.0,0.0,0.0,-59871.36821,279862.269662828,-44577.974055,942.3735753999998,14143.18768059,26621.326141999998,15876.014922999999,365.767704000001,-288.70692729999996,0.0,0.0,0.0,0.0,0.0,127383.9265494,475002.730337172,799442.974055,753922.6264246,740721.81231941,728243.673858,738988.985077,754499.232296,755153.7069273,754865.0,754865.0,754865.0,754865.0,754865.0,627481.0734506
2440,"Mount Vernon-Anacortes, WA Metro Area-Bus",2014,0,33,835739.0,57636.64802000001,16280.374380000001,1080.081576,25102.64365,-7418.31272,13866.792969999999,3831.8065869999996,-972.6557723999999,0.0,0.0,0.0,0.0,0.0,-33571.74468,392008.912462828,-29743.978754999996,1379.9260812999996,5984.282407589999,19751.918706999997,20221.693591,263.412299400001,-129.99156319999997,0.0,0.0,0.0,0.0,0.0,67512.5583394,443730.087537172,865482.978755,834359.0739187,829754.71759241,815987.081293,815517.306409,835475.5877006,835868.9915632,835739.0,835739.0,835739.0,835739.0,835739.0,768226.4416606
