,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_log_FAC,FARE_per_UPT_2018_log_FAC,POP_EMP_log_FAC,WEIGHTED_POP_DENSITY_log_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,YEARS_SINCE_TNC_BUS_SQRD_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_2018_log_FAC_cumsum,POP_EMP_log_FAC_cumsum,WEIGHTED_POP_DENSITY_log_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,YEARS_SINCE_TNC_BUS_SQRD_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_2018_log_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_WEIGHTED_POP_DENSITY_log_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_SQRD_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum
2726,"Pensacola-Ferry Pass-Brent, FL Metro Area-Bus",2002,0,34,1368144.264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1368144.264,1368144.264,1368144.264,1368144.264,1368144.264,1368144.264,1368144.264,1368144.264,1368144.264,1368144.264,1368144.264,1368144.264,1368144.264,1368144.264
2727,"Pensacola-Ferry Pass-Brent, FL Metro Area-Bus",2003,0,34,1395493.6030000001,67897.32798999999,29878.33928,8305.921151,77.60495229,26492.43455,24185.33148,10379.983479999999,0.0,0.0,0.0,0.0,0.0,0.0,-147714.4147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1395493.6030000001,1395493.6030000001,1395493.6030000001,1395493.6030000001,1395493.6030000001,1395493.6030000001,1395493.6030000001,1395493.6030000001,1395493.6030000001,1395493.6030000001,1395493.6030000001,1395493.6030000001,1395493.6030000001,1395493.6030000001
2728,"Pensacola-Ferry Pass-Brent, FL Metro Area-Bus",2004,0,34,1406702.494,-23836.05796,15824.395390000001,7871.663284,147.6544266,38395.82351,29641.474560000002,11206.696820000001,0.0,0.0,0.0,0.0,0.0,0.0,-69076.38405,67897.32798999999,29878.33928,8305.921151,77.60495229,26492.43455,24185.33148,10379.983479999999,0.0,0.0,0.0,0.0,0.0,0.0,-147714.4147,1338805.16601,1376824.15472,1398396.5728489999,1406624.88904771,1380210.05945,1382517.16252,1396322.51052,1406702.494,1406702.494,1406702.494,1406702.494,1406702.494,1406702.494,1554416.9087
2729,"Pensacola-Ferry Pass-Brent, FL Metro Area-Bus",2005,0,34,1193417.501,-48860.41555,-133733.6779,8917.52917,-760.2701128,47661.82017,28591.767939999998,10048.60584,0.0,0.0,0.0,0.0,0.0,0.0,-119614.6121,44061.27002999999,45702.734670000005,16177.584435,225.25937889,64888.25806000001,53826.80604,21586.6803,0.0,0.0,0.0,0.0,0.0,0.0,-216790.79875,1149356.23097,1147714.76633,1177239.9165649998,1193192.24162111,1128529.24294,1139590.69496,1171830.8207,1193417.501,1193417.501,1193417.501,1193417.501,1193417.501,1193417.501,1410208.29975
2730,"Pensacola-Ferry Pass-Brent, FL Metro Area-Bus",2006,0,34,1092234.173,59865.44742999999,-132816.1571,7041.973704999999,1450.519696,19358.2091,32725.202,13740.116430000002,-2170.347855,0.0,0.0,0.0,0.0,0.0,-90287.99034,-4799.1455200000055,-88030.94323,25095.113605,-535.01073391,112550.07823000001,82418.57398,31635.28614,0.0,0.0,0.0,0.0,0.0,0.0,-336405.41085,1097033.31852,1180265.11623,1067139.0593949999,1092769.1837339099,979684.09477,1009815.59902,1060598.88686,1092234.173,1092234.173,1092234.173,1092234.173,1092234.173,1092234.173,1428639.58385
2731,"Pensacola-Ferry Pass-Brent, FL Metro Area-Bus",2007,0,34,1049237.148,-25636.95767,44900.47144,2866.696151,-1587.836809,8596.458288,2511.282368,-5596.082547,745.8086357000001,0.0,0.0,0.0,0.0,0.0,-68837.70547,55066.30190999999,-220847.10033000002,32137.08731,915.5089620900001,131908.28733000002,115143.77598,45375.402570000006,-2170.347855,0.0,0.0,0.0,0.0,0.0,-426693.40119,994170.84609,1270084.24833,1017100.0606900001,1048321.63903791,917328.8606700001,934093.37202,1003861.74543,1051407.495855,1049237.148,1049237.148,1049237.148,1049237.148,1049237.148,1475930.5491900002
2732,"Pensacola-Ferry Pass-Brent, FL Metro Area-Bus",2008,0,34,1118868.9070000001,-124574.046,32996.19612,-1337.221867,-467.8293453,27255.90418,-5289.036768,-1769.376699,-397.81598010000005,0.0,0.0,0.0,0.0,0.0,148965.7686,29429.344239999988,-175946.62889000002,35003.783461,-672.3278469099998,140504.74561800002,117655.058348,39779.32002300001,-1424.5392192999998,0.0,0.0,0.0,0.0,0.0,-495531.10666,1089439.5627600001,1294815.5358900002,1083865.123539,1119541.2348469102,978364.1613820001,1001213.8486520001,1079089.586977,1120293.4462193002,1118868.9070000001,1118868.9070000001,1118868.9070000001,1118868.9070000001,1118868.9070000001,1614400.0136600002
2733,"Pensacola-Ferry Pass-Brent, FL Metro Area-Bus",2009,0,34,1109147.1409999998,68660.34292000001,19130.289269999997,-1307.490497,8858.998058,-67862.87455,21440.45565,9481.915018000002,-2627.552223,0.0,0.0,0.0,0.0,0.0,-62070.84978,-95144.70176000001,-142950.43277,33666.561594,-1140.1571922099997,167760.64979800003,112366.02158,38009.94332400001,-1822.3551994,0.0,0.0,0.0,0.0,0.0,-346565.33806,1204291.84276,1252097.57377,1075480.5794059997,1110287.2981922098,941386.4912019998,996781.1194199999,1071137.1976759997,1110969.4961994,1109147.1409999998,1109147.1409999998,1109147.1409999998,1109147.1409999998,1109147.1409999998,1455712.4790599998
2734,"Pensacola-Ferry Pass-Brent, FL Metro Area-Bus",2010,0,34,1163710.358,26952.046960000003,-15408.950869999999,-412.1488142,-19163.872369999997,30822.64255,67.5901304,2689.145507,925.7291301000001,0.0,0.0,0.0,0.0,0.0,28818.781660000004,-26484.35884,-123820.14350000002,32359.071097,7718.84086579,99897.77524800003,133806.47723,47491.85834200001,-4449.9074224,0.0,0.0,0.0,0.0,0.0,-408636.18783999997,1190194.71684,1287530.5015,1131351.286903,1155991.51713421,1063812.582752,1029903.88077,1116218.499658,1168160.2654224,1163710.358,1163710.358,1163710.358,1163710.358,1163710.358,1572346.54584
2735,"Pensacola-Ferry Pass-Brent, FL Metro Area-Bus",2011,0,34,1341653.825,15191.019409999999,45828.10592,1358.313079,36962.00745,47205.12459,-13899.45467,-6556.838629,529.6828062,0.0,0.0,0.0,0.0,0.0,47062.476819999996,467.6881200000025,-139229.09437,31946.9222828,-11445.031504209997,130720.41779800004,133874.0673604,50181.00384900001,-3524.1782922999996,0.0,0.0,0.0,0.0,0.0,-379817.40618,1341186.13688,1480882.91937,1309706.9027171999,1353098.85650421,1210933.4072019998,1207779.7576396,1291472.821151,1345178.0032923,1341653.825,1341653.825,1341653.825,1341653.825,1341653.825,1721471.23118
