,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_log_FAC,FARE_per_UPT_2018_log_FAC,POP_EMP_log_FAC,WEIGHTED_POP_DENSITY_log_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,YEARS_SINCE_TNC_BUS_SQRD_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_2018_log_FAC_cumsum,POP_EMP_log_FAC_cumsum,WEIGHTED_POP_DENSITY_log_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,YEARS_SINCE_TNC_BUS_SQRD_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_2018_log_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_WEIGHTED_POP_DENSITY_log_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_SQRD_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum
2996,"Raleigh-Cary, NC Metro Area-Bus",2002,0,24,2992941.162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2992941.162,2992941.162,2992941.162,2992941.162,2992941.162,2992941.162,2992941.162,2992941.162,2992941.162,2992941.162,2992941.162,2992941.162,2992941.162,2992941.162
2997,"Raleigh-Cary, NC Metro Area-Bus",2003,0,24,3224511.559,98508.23126,189399.7536,23562.203230000003,-144.29112680000003,57954.632379999995,26551.25115,1757.5225300000002,0.0,0.0,0.0,0.0,0.0,0.0,-184396.5333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3224511.559,3224511.559,3224511.559,3224511.559,3224511.559,3224511.559,3224511.559,3224511.559,3224511.559,3224511.559,3224511.559,3224511.559,3224511.559,3224511.559
2998,"Raleigh-Cary, NC Metro Area-Bus",2004,0,24,3450475.5939999996,-33819.72288,122460.0775,23580.853769999998,211.54661370000002,88719.7021,39623.138419999996,1893.505888,0.0,0.0,0.0,0.0,0.0,0.0,-21788.85568,98508.23126,189399.7536,23562.203230000003,-144.29112680000003,57954.632379999995,26551.25115,1757.5225300000002,0.0,0.0,0.0,0.0,0.0,0.0,-184396.5333,3351967.36274,3261075.8403999996,3426913.3907699995,3450619.8851267993,3392520.9616199997,3423924.3428499997,3448718.0714699994,3450475.5939999996,3450475.5939999996,3450475.5939999996,3450475.5939999996,3450475.5939999996,3450475.5939999996,3634872.1273
2999,"Raleigh-Cary, NC Metro Area-Bus",2005,0,24,3652257.1789999995,192346.1971,4155.528464999999,25369.568209999998,-8.310194948,116908.8332,36129.168289999994,2279.555342,0.0,0.0,0.0,0.0,0.0,0.0,-188550.9242,64688.50838,311859.8311,47143.057,67.2554869,146674.33448,66174.38957,3651.028418,0.0,0.0,0.0,0.0,0.0,0.0,-206185.38898000002,3587568.6706199995,3340397.3478999995,3605114.1219999995,3652189.9235130996,3505582.8445199993,3586082.7894299994,3648606.1505819997,3652257.1789999995,3652257.1789999995,3652257.1789999995,3652257.1789999995,3652257.1789999995,3652257.1789999995,3858442.5679799994
3000,"Raleigh-Cary, NC Metro Area-Bus",2006,0,24,3929720.2139999997,47741.59883,-27249.90817,30143.72158,-907.7127088,59242.60211,71307.48054,0.0,-553.9611583,0.0,0.0,0.0,0.0,0.0,95026.85238,257034.70548,316015.359565,72512.62521,58.94529195199999,263583.16767999995,102303.55786,5930.5837599999995,0.0,0.0,0.0,0.0,0.0,0.0,-394736.31318000006,3672685.5085199997,3613704.8544349996,3857207.5887899995,3929661.2687080475,3666137.0463199997,3827416.6561399996,3923789.63024,3929720.2139999997,3929720.2139999997,3929720.2139999997,3929720.2139999997,3929720.2139999997,3929720.2139999997,4324456.527179999
3001,"Raleigh-Cary, NC Metro Area-Bus",2007,0,24,4170578.16,582139.2006,95861.64854,21322.56436,3013.259399,30928.96811,-54566.74667000001,9527.671368000001,-2383.64061,0.0,0.0,0.0,0.0,0.0,-459899.4028,304776.30431000004,288765.451395,102656.34679,-848.767416848,322825.76978999993,173611.03840000002,5930.5837599999995,-553.9611583,0.0,0.0,0.0,0.0,0.0,-299709.46080000006,3865801.85569,3881812.7086050003,4067921.8132100003,4171426.927416848,3847752.3902100003,3996967.1216,4164647.5762400003,4171132.1211583,4170578.16,4170578.16,4170578.16,4170578.16,4170578.16,4470287.620800001
3002,"Raleigh-Cary, NC Metro Area-Bus",2008,0,24,4787362.191000001,95417.09611,2060.4185,14862.72286,-5344.233961999999,108338.5953,22101.90594,-14969.146480000001,1265.4443199999998,0.0,0.0,0.0,0.0,0.0,389656.5305,886915.50491,384627.09993499995,123978.91115,2164.4919821519998,353754.73789999995,119044.29173000001,15458.255128,-2937.6017683,0.0,0.0,0.0,0.0,0.0,-759608.8636,3900446.6860900004,4402735.091065001,4663383.2798500005,4785197.699017849,4433607.4531000005,4668317.899270001,4771903.935872001,4790299.7927683005,4787362.191000001,4787362.191000001,4787362.191000001,4787362.191000001,4787362.191000001,5546971.0546
3003,"Raleigh-Cary, NC Metro Area-Bus",2009,0,24,5043395.01,375386.0419,104156.2745,7531.273506999999,5253.4379659999995,-290368.387,45295.30552,-10527.49016,-2540.972421,0.0,0.0,0.0,0.0,0.0,41708.76507,982332.6010200001,386687.518435,138841.63401,-3179.7419798479996,462093.33319999994,141146.19767000002,489.10864799999945,-1672.1574483000002,0.0,0.0,0.0,0.0,0.0,-369952.33310000005,4061062.40898,4656707.491565,4904553.37599,5046574.751979847,4581301.6768,4902248.81233,5042905.9013519995,5045067.1674483,5043395.01,5043395.01,5043395.01,5043395.01,5043395.01,5413347.3431
3004,"Raleigh-Cary, NC Metro Area-Bus",2010,0,24,5385372.277000001,-120474.4928,-71592.15576000001,12480.832129999999,18480.96427,140153.4169,33060.0207,14454.212619999998,382.52547189999996,0.0,0.0,0.0,0.0,0.0,319045.0322,1357718.64292,490843.792935,146372.907517,2073.695986152,171724.94619999995,186441.50319000002,-10038.381512,-4213.1298693,0.0,0.0,0.0,0.0,0.0,-328243.56803,4027653.6340800007,4894528.484065001,5238999.369483001,5383298.581013849,5213647.330800001,5198930.773810001,5395410.658512001,5389585.406869301,5385372.277000001,5385372.277000001,5385372.277000001,5385372.277000001,5385372.277000001,5713615.84503
3005,"Raleigh-Cary, NC Metro Area-Bus",2011,0,24,6005157.844,36326.23316,31516.761280000002,13659.49489,-59066.80926,218453.9886,74732.14397,13056.92376,-2858.37626,0.0,0.0,0.0,0.0,0.0,289643.3592,1237244.15012,419251.637175,158853.739647,20554.660256152,311878.36309999996,219501.52389,4415.8311079999985,-3830.6043974,0.0,0.0,0.0,0.0,0.0,-9198.535830000008,4767913.693879999,5585906.206824999,5846304.1043529995,5984603.1837438475,5693279.4809,5785656.32011,6000742.012891999,6008988.4483974,6005157.844,6005157.844,6005157.844,6005157.844,6005157.844,6014356.37983
