,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_log_FAC,FARE_per_UPT_2018_log_FAC,POP_EMP_log_FAC,WEIGHTED_POP_DENSITY_log_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,YEARS_SINCE_TNC_BUS_SQRD_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_2018_log_FAC_cumsum,POP_EMP_log_FAC_cumsum,WEIGHTED_POP_DENSITY_log_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,YEARS_SINCE_TNC_BUS_SQRD_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_2018_log_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_WEIGHTED_POP_DENSITY_log_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_SQRD_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum
3112,"Rochester, NY Metro Area-Bus",2002,0,33,12517825.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12517825.0,12517825.0,12517825.0,12517825.0,12517825.0,12517825.0,12517825.0,12517825.0,12517825.0,12517825.0,12517825.0,12517825.0,12517825.0,12517825.0
3113,"Rochester, NY Metro Area-Bus",2003,0,33,14035137.0,-160390.5459,878164.4651,28828.51832,204.56623269999997,270871.9875,262918.7623,22065.19932,0.0,0.0,0.0,0.0,0.0,0.0,184495.1972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14035137.0,14035137.0,14035137.0,14035137.0,14035137.0,14035137.0,14035137.0,14035137.0,14035137.0,14035137.0,14035137.0,14035137.0,14035137.0,14035137.0
3114,"Rochester, NY Metro Area-Bus",2004,0,33,14156851.0,28635.470210000003,-216452.3801,37264.9438,340.6964853,325634.693,350813.5039,25771.53826,0.0,0.0,0.0,0.0,0.0,0.0,-431081.7598,-160390.5459,878164.4651,28828.51832,204.56623269999997,270871.9875,262918.7623,22065.19932,0.0,0.0,0.0,0.0,0.0,0.0,184495.1972,14317241.5459,13278686.5349,14128022.48168,14156646.4337673,13885979.0125,13893932.2377,14134785.80068,14156851.0,14156851.0,14156851.0,14156851.0,14156851.0,14156851.0,13972355.8028
3115,"Rochester, NY Metro Area-Bus",2005,0,33,14037110.0,-1015871.438,315752.9187,41047.2633,-1924.142793,429209.2694,333171.1522,25995.03141,0.0,0.0,0.0,0.0,0.0,0.0,-195238.8576,-131755.07569,661712.085,66093.46212,545.262718,596506.6805,613732.2662,47836.73758,0.0,0.0,0.0,0.0,0.0,0.0,-246586.5626,14168865.07569,13375397.915,13971016.53788,14036564.737282,13440603.3195,13423377.7338,13989273.26242,14037110.0,14037110.0,14037110.0,14037110.0,14037110.0,14037110.0,14283696.5626
3116,"Rochester, NY Metro Area-Bus",2006,0,33,13955990.0,-1477991.6809999999,599400.1779,42645.1629,4497.022147,262790.6512,482654.6949,24743.24653,-1064.5894050000002,0.0,0.0,0.0,0.0,0.0,87007.19501,-1147626.51369,977465.0037,107140.72542,-1378.880075,1025715.9499,946903.4184,73831.76899,0.0,0.0,0.0,0.0,0.0,0.0,-441825.4202,15103616.51369,12978524.9963,13848849.27458,13957368.880075,12930274.0501,13009086.5816,13882158.23101,13955990.0,13955990.0,13955990.0,13955990.0,13955990.0,13955990.0,14397815.4202
3117,"Rochester, NY Metro Area-Bus",2007,0,33,14872304.0,-164119.8047,-34130.236110000005,-10780.77468,-5594.106809000001,85736.38616000001,-60049.02732000001,29730.76495,-3175.070721,0.0,0.0,0.0,0.0,0.0,1079181.636,-2625618.19469,1576865.1816,149785.88832,3118.1420719999996,1288506.6011,1429558.1132999999,98575.01552,-1064.5894050000002,0.0,0.0,0.0,0.0,0.0,-354818.22519,17497922.19469,13295438.8184,14722518.11168,14869185.857928,13583797.3989,13442745.8867,14773728.98448,14873368.589405,14872304.0,14872304.0,14872304.0,14872304.0,14872304.0,15227122.22519
3118,"Rochester, NY Metro Area-Bus",2008,0,33,16087986.0,-28974.61623,758600.7685,5158.7551920000005,-663.8016283,359529.4234,-21835.373509999998,56858.54076,-2255.7772760000003,0.0,0.0,0.0,0.0,0.0,70455.12163,-2789737.99939,1542734.94549,139005.11364,-2475.964737000001,1374242.98726,1369509.0859799997,128305.78047,-4239.660126000001,0.0,0.0,0.0,0.0,0.0,724363.4108099999,18877723.99939,14545251.05451,15948980.88636,16090461.964737,14713743.01274,14718476.91402,15959680.21953,16092225.660126,16087986.0,16087986.0,16087986.0,16087986.0,16087986.0,15363622.58919
3119,"Rochester, NY Metro Area-Bus",2009,0,33,16844073.0,-74069.17808,187130.5576,-18411.14534,35376.37039,-940434.9189,155070.7299,-27129.90825,1220.222573,0.0,0.0,0.0,0.0,0.0,1452485.5259999998,-2818712.61562,2301335.71399,144163.868832,-3139.766365300001,1733772.41066,1347673.7124699997,185164.32123,-6495.437402000001,0.0,0.0,0.0,0.0,0.0,794818.5324399999,19662785.61562,14542737.28601,16699909.131168,16847212.7663653,15110300.58934,15496399.287530001,16658908.67877,16850568.437402,16844073.0,16844073.0,16844073.0,16844073.0,16844073.0,16049254.46756
3120,"Rochester, NY Metro Area-Bus",2010,0,33,16838790.0,-185575.4216,245857.915,26360.83827,-62946.62595,457137.4616,-239385.0344,64396.84202999999,-3832.1267789999997,0.0,0.0,0.0,0.0,0.0,-298948.2856,-2892781.7937,2488466.27159,125752.723492,32236.604024699995,793337.49176,1502744.4423699996,158034.41298,-5275.214829000001,0.0,0.0,0.0,0.0,0.0,2247304.05844,19731571.7937,14350323.72841,16713037.276508,16806553.3959753,16045452.50824,15336045.55763,16680755.58702,16844065.214829,16838790.0,16838790.0,16838790.0,16838790.0,16838790.0,14591485.94156
3121,"Rochester, NY Metro Area-Bus",2011,0,33,21061698.0,-208840.4395,1157055.37,-4913.620234,147898.0631,697638.0588,362901.0189,-18524.5811,2554.4342070000002,0.0,0.0,0.0,0.0,0.0,2011401.0219999999,-3078357.2153,2734324.18659,152113.561762,-30710.021925300007,1250474.95336,1263359.4079699996,222431.25501,-9107.341608,0.0,0.0,0.0,0.0,0.0,1948355.7728399998,24140055.2153,18327373.81341,20909584.438238,21092408.0219253,19811223.04664,19798338.59203,20839266.74499,21070805.341608,21061698.0,21061698.0,21061698.0,21061698.0,21061698.0,19113342.22716
