,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_log_FAC,FARE_per_UPT_2018_log_FAC,POP_EMP_log_FAC,WEIGHTED_POP_DENSITY_log_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,YEARS_SINCE_TNC_BUS_SQRD_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_2018_log_FAC_cumsum,POP_EMP_log_FAC_cumsum,WEIGHTED_POP_DENSITY_log_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,YEARS_SINCE_TNC_BUS_SQRD_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_2018_log_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_WEIGHTED_POP_DENSITY_log_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_SQRD_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum
3270,"Salt Lake City, UT Metro Area-Rail",2002,1,21,9650026.152999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9650026.152999999,9650026.152999999,9650026.152999999,9650026.152999999,9650026.152999999,9650026.152999999,9650026.152999999,9650026.152999999,9650026.152999999,9650026.152999999,9650026.152999999,9650026.152999999,9650026.152999999,9650026.152999999
3271,"Salt Lake City, UT Metro Area-Rail",2003,1,21,10076890.63,-319700.1282,498342.3006,39952.08443,-110.3828456,200931.3086,4370.2895579999995,-5663.387259,0.0,0.0,0.0,0.0,0.0,0.0,20421.14079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10076890.63,10076890.63,10076890.63,10076890.63,10076890.63,10076890.63,10076890.63,10076890.63,10076890.63,10076890.63,10076890.63,10076890.63,10076890.63,10076890.63
3272,"Salt Lake City, UT Metro Area-Rail",2004,1,21,11472446.5,996896.4029999999,326139.4229,45468.29941,-7.264861333,218516.7539,38101.91237,-3696.5972090000005,0.0,0.0,0.0,0.0,0.0,0.0,-300387.6427,-319700.1282,498342.3006,39952.08443,-110.3828456,200931.3086,4370.2895579999995,-5663.387259,0.0,0.0,0.0,0.0,0.0,0.0,20421.14079,11792146.6282,10974104.1994,11432494.41557,11472556.8828456,11271515.1914,11468076.210442,11478109.887259,11472446.5,11472446.5,11472446.5,11472446.5,11472446.5,11472446.5,11452025.35921
3273,"Salt Lake City, UT Metro Area-Rail",2005,1,21,12986405.71,642223.3832,-118544.748,61471.615710000005,567.5274247000001,355585.5306,33737.30609,-9256.753742,0.0,0.0,0.0,0.0,0.0,0.0,531967.502,677196.2748,824481.7235000001,85420.38384,-117.647706933,419448.0625,42472.201927999995,-9359.984468,0.0,0.0,0.0,0.0,0.0,0.0,-279966.50191000005,12309209.4352,12161923.9865,12900985.32616,12986523.357706934,12566957.6475,12943933.508072,12995765.694468,12986405.71,12986405.71,12986405.71,12986405.71,12986405.71,12986405.71,13266372.21191
3274,"Salt Lake City, UT Metro Area-Rail",2006,1,21,14824367.05,314478.0183,165764.8975,72271.32324,-1804.337873,220135.7407,111149.1914,14302.255030000002,984.9775722999999,0.0,0.0,0.0,0.0,0.0,916798.6588,1319419.658,705936.9755000001,146891.99955,449.8797177670001,775033.5930999999,76209.508018,-18616.738210000003,0.0,0.0,0.0,0.0,0.0,0.0,252001.00008999993,13504947.392,14118430.0745,14677475.05045,14823917.170282234,14049333.4569,14748157.541982,14842983.78821,14824367.05,14824367.05,14824367.05,14824367.05,14824367.05,14824367.05,14572366.049910001
3275,"Salt Lake City, UT Metro Area-Rail",2007,1,21,12374457.96,48854.69923,-518357.1812,50556.51274,3409.296716,165992.8424,-159256.0811,-94339.83163,-10115.59329,0.0,0.0,0.0,0.0,0.0,-1934298.741,1633897.6763,871701.873,219163.32279,-1354.4581552329998,995169.3337999999,187358.699418,-4314.483180000001,984.9775722999999,0.0,0.0,0.0,0.0,0.0,1168799.6588899998,10740560.2837,11502756.087000001,12155294.63721,12375812.418155234,11379288.626200002,12187099.260582,12378772.44318,12373472.982427701,12374457.96,12374457.96,12374457.96,12374457.96,12374457.96,11205658.301110001
3276,"Salt Lake City, UT Metro Area-Rail",2008,1,21,15320726.92,5643881.669,-912360.3113,17418.36102,-1377.917908,248258.4654,-35520.759560000006,68291.76527,3754.6802700000003,0.0,0.0,0.0,0.0,0.0,-1776094.2580000001,1682752.3755299998,353344.69180000003,269719.83553,2054.8385607669998,1161162.1761999999,28102.618317999993,-98654.31481,-9130.6157177,0.0,0.0,0.0,0.0,0.0,-765499.0821100001,13637974.544470001,14967382.2282,15051007.08447,15318672.081439232,14159564.7438,15292624.301682,15419381.23481,15329857.5357177,15320726.92,15320726.92,15320726.92,15320726.92,15320726.92,16086226.00211
3277,"Salt Lake City, UT Metro Area-Rail",2009,1,21,14489541.67,2209328.635,-50769.61029,-8966.525371,-4148.784258,-947752.3626,147345.2018,-7867.760422,-1161.940283,0.0,0.0,0.0,0.0,0.0,-2035324.741,7326634.04453,-559015.6194999999,287138.19655,676.9206527669999,1409420.6415999997,-7418.141242000012,-30362.549539999993,-5375.9354477,0.0,0.0,0.0,0.0,0.0,-2541593.34011,7162907.62547,15048557.2895,14202403.47345,14488864.749347232,13080121.0284,14496959.811242,14519904.21954,14494917.6054477,14489541.67,14489541.67,14489541.67,14489541.67,14489541.67,17031135.01011
3278,"Salt Lake City, UT Metro Area-Rail",2010,1,21,14867005.64,-653803.6093,-99698.34692000001,-12141.70616,44562.68339,468084.3006,221474.8584,14893.303469999999,7694.650248000001,0.0,0.0,0.0,0.0,0.0,411073.7816,9535962.679529998,-609785.2297899999,278171.671179,-3471.863605233,461668.27899999975,139927.060558,-38230.30996199999,-6537.8757307,0.0,0.0,0.0,0.0,0.0,-4576918.081110001,5331042.960470002,15476790.86979,14588833.968821,14870477.503605234,14405337.361000001,14727078.579442,14905235.949962001,14873543.515730701,14867005.64,14867005.64,14867005.64,14867005.64,14867005.64,19443923.72111
3279,"Salt Lake City, UT Metro Area-Rail",2011,1,21,16923649.99,2191339.115,-170722.6349,22637.49651,-57320.85439,522510.0084,82778.12342,68889.58535,-6763.894893000001,0.0,0.0,0.0,0.0,0.0,-660725.7255,8882159.070229998,-709483.5767099999,266029.965019,41090.819784767,929752.5795999998,361401.918958,-23337.006491999993,1156.7745173000012,0.0,0.0,0.0,0.0,0.0,-4165844.2995100007,8041490.9197700005,17633133.56671,16657620.024980998,16882559.17021523,15993897.4104,16562248.071041998,16946986.996492,16922493.215482697,16923649.99,16923649.99,16923649.99,16923649.99,16923649.99,21089494.28951
