,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_log_FAC,FARE_per_UPT_2018_log_FAC,POP_EMP_log_FAC,WEIGHTED_POP_DENSITY_log_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,YEARS_SINCE_TNC_BUS_SQRD_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_2018_log_FAC_cumsum,POP_EMP_log_FAC_cumsum,WEIGHTED_POP_DENSITY_log_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,YEARS_SINCE_TNC_BUS_SQRD_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_2018_log_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_WEIGHTED_POP_DENSITY_log_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_SQRD_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum
3338,"San Diego-Carlsbad-San Marcos, CA Metro Area-Rail",2005,1,10,33617655.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33617655.0,33617655.0,33617655.0,33617655.0,33617655.0,33617655.0,33617655.0,33617655.0,33617655.0,33617655.0,33617655.0,33617655.0,33617655.0,33617655.0
3339,"San Diego-Carlsbad-San Marcos, CA Metro Area-Rail",2006,1,10,35925621.0,1422927.085,301403.5779,119903.4409,-9442.874796,572150.5633,672246.3894,34554.43582,-50955.25426,0.0,0.0,0.0,0.0,0.0,-852314.3484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35925621.0,35925621.0,35925621.0,35925621.0,35925621.0,35925621.0,35925621.0,35925621.0,35925621.0,35925621.0,35925621.0,35925621.0,35925621.0,35925621.0
3340,"San Diego-Carlsbad-San Marcos, CA Metro Area-Rail",2007,1,10,38451482.0,-556898.6459,1365722.634,41984.516169999995,22056.175430000003,365192.5054,-258949.8907,163820.9884,8175.152323,0.0,0.0,0.0,0.0,0.0,1390039.164,1422927.085,301403.5779,119903.4409,-9442.874796,572150.5633,672246.3894,34554.43582,-50955.25426,0.0,0.0,0.0,0.0,0.0,-852314.3484,37028554.915,38150078.4221,38331578.5591,38460924.874796,37879331.4367,37779235.6106,38416927.56418,38502437.25426,38451482.0,38451482.0,38451482.0,38451482.0,38451482.0,39303796.3484
3341,"San Diego-Carlsbad-San Marcos, CA Metro Area-Rail",2008,1,10,39559606.0,2044411.8390000002,-996220.7362,33697.55326,-26455.535480000002,805725.3856,478019.3616,-129575.6465,11667.017759999999,0.0,0.0,0.0,0.0,0.0,-1096906.06,866028.4391,1667126.2119,161887.95707,12613.300634000003,937343.0687000001,413296.4987,198375.42422,-42780.101937,0.0,0.0,0.0,0.0,0.0,537724.8156000001,38693577.5609,37892479.7881,39397718.04293,39546992.699366,38622262.9313,39146309.5013,39361230.57578,39602386.101937,39559606.0,39559606.0,39559606.0,39559606.0,39559606.0,39021881.1844
3342,"San Diego-Carlsbad-San Marcos, CA Metro Area-Rail",2009,1,10,34750458.0,-453901.8286,-1194296.392,8987.568529,90.92004572,-2061940.285,500654.0364,-5805.442617000001,-23995.57176,0.0,0.0,0.0,0.0,0.0,-1633785.457,2910440.2781,670905.4757,195585.51033000002,-13842.234846,1743068.4543,891315.8603000001,68799.77771999998,-31113.084177,0.0,0.0,0.0,0.0,0.0,-559181.2444,31840017.7219,34079552.5243,34554872.48967,34764300.234846,33007389.5457,33859142.1397,34681658.22228,34781571.084177,34750458.0,34750458.0,34750458.0,34750458.0,34750458.0,35309639.2444
3343,"San Diego-Carlsbad-San Marcos, CA Metro Area-Rail",2010,1,10,33899078.0,-815519.6199,-1441338.1030000001,-3623.0456280000003,171127.5942,877726.8199,586810.3716,-17845.64659,18454.1807,0.0,0.0,0.0,0.0,0.0,-177103.448,2456538.4495,-523390.91630000004,204573.07885900003,-13751.314800279999,-318871.8306999998,1391969.8967,62994.33510299998,-55108.655937,0.0,0.0,0.0,0.0,0.0,-2192966.7013999997,31442539.550499998,34422468.9163,33694504.921141,33912829.31480028,34217949.8307,32507108.1033,33836083.664897,33954186.655937,33899078.0,33899078.0,33899078.0,33899078.0,33899078.0,36092044.7014
3344,"San Diego-Carlsbad-San Marcos, CA Metro Area-Rail",2011,1,10,36694624.0,451486.2652,744661.7172,44440.13536,-331583.6608,1210797.67,383452.7997,72215.9818,-10282.5992,0.0,0.0,0.0,0.0,0.0,169676.08,1641018.8296,-1964729.0193000003,200950.03323100004,157376.27939972,558854.9892000002,1978780.2682999999,45148.68851299999,-36654.475237000006,0.0,0.0,0.0,0.0,0.0,-2370070.1493999995,35053605.1704,38659353.0193,36493673.966769,36537247.72060028,36135769.0108,34715843.7317,36649475.311487,36731278.475237,36694624.0,36694624.0,36694624.0,36694624.0,36694624.0,39064694.149399996
3345,"San Diego-Carlsbad-San Marcos, CA Metro Area-Rail",2012,1,10,35279118.0,267808.4037,-634041.3221,67389.38708,590755.1873,176680.9909,75319.2203,-37678.41848,-8348.245182999999,0.0,0.0,0.0,0.0,0.0,-1904822.529,2092505.0948,-1220067.3021000004,245390.16859100002,-174207.38140028002,1769652.6592,2362233.068,117364.67031299998,-46937.074437,0.0,0.0,0.0,0.0,0.0,-2200394.0693999995,33186612.9052,36499185.3021,35033727.831409,35453325.38140028,33509465.3408,32916884.932,35161753.329687,35326055.074437,35279118.0,35279118.0,35279118.0,35279118.0,35279118.0,37479512.0694
3346,"San Diego-Carlsbad-San Marcos, CA Metro Area-Rail",2013,1,10,38102558.0,1662521.301,1083598.961,52032.26462,586927.9507,-347463.8237,-178350.4586,-38811.03585,5351.820755,0.0,-371809.1406,0.0,0.0,0.0,349909.1796,2360313.4985,-1854108.6242000004,312779.55567100004,416547.80589971994,1946333.6501000002,2437552.2883,79686.25183299999,-55285.31962,0.0,0.0,0.0,0.0,0.0,-4105216.5983999996,35742244.5015,39956666.6242,37789778.444329,37686010.19410028,36156224.3499,35665005.7117,38022871.748167,38157843.31962,38102558.0,38102558.0,38102558.0,38102558.0,38102558.0,42207774.5984
3347,"San Diego-Carlsbad-San Marcos, CA Metro Area-Rail",2014,1,10,44035646.0,1211094.9540000001,667080.423,73178.37152999999,549586.9472,-374446.6768,-232870.0338,-100523.6776,-31775.07425,0.0,-401565.5762,0.0,0.0,0.0,4583435.796,4022834.7995,-770509.6632000005,364811.82029100007,1003475.75659972,1598869.8264000001,2259201.8297,40875.21598299999,-49933.498865,0.0,-371809.1406,0.0,0.0,0.0,-3755307.4187999996,40012811.2005,44806155.6632,43670834.179709,43032170.24340028,42436776.1736,41776444.1703,43994770.784017,44085579.498865,44035646.0,44407455.1406,44035646.0,44035646.0,44035646.0,47790953.4188
