,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_log_FAC,FARE_per_UPT_2018_log_FAC,POP_EMP_log_FAC,WEIGHTED_POP_DENSITY_log_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,YEARS_SINCE_TNC_BUS_SQRD_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_2018_log_FAC_cumsum,POP_EMP_log_FAC_cumsum,WEIGHTED_POP_DENSITY_log_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,YEARS_SINCE_TNC_BUS_SQRD_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_2018_log_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_WEIGHTED_POP_DENSITY_log_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_SQRD_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum
3420,"Santa Barbara-Santa Maria-Goleta, CA Metro Area-Bus",2002,0,21,5548109.159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5548109.159,5548109.159,5548109.159,5548109.159,5548109.159,5548109.159,5548109.159,5548109.159,5548109.159,5548109.159,5548109.159,5548109.159,5548109.159,5548109.159
3421,"Santa Barbara-Santa Maria-Goleta, CA Metro Area-Bus",2003,0,21,7764250.732999999,300941.752,699513.5315,20928.17758,-119.1027216,164070.8251,149900.2796,49481.75857,0.0,0.0,0.0,0.0,0.0,0.0,711277.4805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7764250.732999999,7764250.732999999,7764250.732999999,7764250.732999999,7764250.732999999,7764250.732999999,7764250.732999999,7764250.732999999,7764250.732999999,7764250.732999999,7764250.732999999,7764250.732999999,7764250.732999999,7764250.732999999
3422,"Santa Barbara-Santa Maria-Goleta, CA Metro Area-Bus",2004,0,21,7700473.447000001,-55027.491879999994,-216601.2382,29980.54712,1836.594036,157412.9492,249887.9622,68097.21577000001,0.0,0.0,0.0,0.0,0.0,0.0,-293557.4534,300941.752,699513.5315,20928.17758,-119.1027216,164070.8251,149900.2796,49481.75857,0.0,0.0,0.0,0.0,0.0,0.0,711277.4805,7399531.695,7000959.9155,7679545.269420001,7700592.5497216005,7536402.621900001,7550573.167400001,7650991.688430001,7700473.447000001,7700473.447000001,7700473.447000001,7700473.447000001,7700473.447000001,7700473.447000001,6989195.966500001
3423,"Santa Barbara-Santa Maria-Goleta, CA Metro Area-Bus",2005,0,21,8156196.597,173464.7268,23826.23346,26464.57858,-4790.338707,193493.7406,223512.1961,56714.89187000001,0.0,0.0,0.0,0.0,0.0,0.0,-260554.6611,245914.26012,482912.2933,50908.7247,1717.4913144,321483.7743,399788.2418,117578.97434000002,0.0,0.0,0.0,0.0,0.0,0.0,417720.02709999995,7910282.33688,7673284.3037,8105287.8723,8154479.1056856,7834712.8227,7756408.3552,8038617.62266,8156196.597,8156196.597,8156196.597,8156196.597,8156196.597,8156196.597,7738476.5699000005
3424,"Santa Barbara-Santa Maria-Goleta, CA Metro Area-Bus",2006,0,21,8453229.375,614605.1319,-45458.89593,25217.96479,7557.140001000001,138813.1468,419653.9086,90877.88737000001,-8037.8123,0.0,0.0,0.0,0.0,0.0,-1006041.4079999999,419378.98692,506738.52676000004,77373.30328,-3072.8473925999997,514977.51489999995,623300.4379,174293.86621,0.0,0.0,0.0,0.0,0.0,0.0,157165.36599999995,8033850.38808,7946490.84824,8375856.07172,8456302.2223926,7938251.8601,7829928.9371,8278935.50879,8453229.375,8453229.375,8453229.375,8453229.375,8453229.375,8453229.375,8296064.009
3425,"Santa Barbara-Santa Maria-Goleta, CA Metro Area-Bus",2007,0,21,8987103.748,640454.6994,175067.1863,9463.459915000001,-2378.171155,85929.09261,-237101.34100000001,-43927.38933,-5768.1673710000005,0.0,0.0,0.0,0.0,0.0,-80317.94674,1033984.11882,461279.63083000004,102591.26806999999,4484.292608400001,653790.6616999999,1042954.3465,265171.75358,-8037.8123,0.0,0.0,0.0,0.0,0.0,-848876.042,7953119.629179999,8525824.11717,8884512.47993,8982619.455391599,8333313.0863,7944149.4015,8721931.99442,8995141.5603,8987103.748,8987103.748,8987103.748,8987103.748,8987103.748,9835979.79
3426,"Santa Barbara-Santa Maria-Goleta, CA Metro Area-Bus",2008,0,21,9552790.787999999,268435.91,33800.22064,5586.42266,-25471.36535,188318.8178,113141.2377,92137.53552,1363.338175,0.0,0.0,0.0,0.0,0.0,-130090.9191,1674438.81822,636346.8171300001,112054.72798499999,2106.121453400001,739719.75431,805853.0055,221244.36425,-13805.979671000001,0.0,0.0,0.0,0.0,0.0,-929193.9887400001,7878351.969779999,8916443.97087,9440736.060014999,9550684.666546598,8813071.033689998,8746937.782499999,9331546.423749998,9566596.767670998,9552790.787999999,9552790.787999999,9552790.787999999,9552790.787999999,9552790.787999999,10481984.77674
3427,"Santa Barbara-Santa Maria-Goleta, CA Metro Area-Bus",2009,0,21,9252055.389,-27095.908330000002,-392435.6683,-4866.2985,95374.9843,-497914.0631,189978.3186,-55915.39099,4348.117207,0.0,0.0,0.0,0.0,0.0,386122.6832,1942874.72822,670147.03777,117641.15064499999,-23365.243896599997,928038.57211,918994.2431999999,313381.89977,-12442.641496,0.0,0.0,0.0,0.0,0.0,-1059284.90784,7309180.6607800005,8581908.351230001,9134414.238355,9275420.6328966,8324016.81689,8333061.1458,8938673.48923,9264498.030496001,9252055.389,9252055.389,9252055.389,9252055.389,9252055.389,10311340.29684
3428,"Santa Barbara-Santa Maria-Goleta, CA Metro Area-Bus",2010,0,21,8944482.286,205679.2485,15858.27656,13499.64367,-155102.8188,233688.3489,209988.8286,61989.15535,701.7389767999999,0.0,0.0,0.0,0.0,0.0,-903216.1977,1915778.81989,277711.36947000003,112774.85214499998,72009.7404034,430124.5090099999,1108972.5617999998,257466.50878000003,-8094.524289,0.0,0.0,0.0,0.0,0.0,-673162.2246399999,7028703.46611,8666770.91653,8831707.433855,8872472.5455966,8514357.77699,7835509.724200001,8687015.77722,8952576.810289001,8944482.286,8944482.286,8944482.286,8944482.286,8944482.286,9617644.51064
3429,"Santa Barbara-Santa Maria-Goleta, CA Metro Area-Bus",2011,0,21,9025077.162,292263.393,-194661.014,6079.159789,127922.1846,319476.4858,-61906.29803,-62788.900129999995,-2034.9229129999999,0.0,0.0,0.0,0.0,0.0,-339584.8632,2121458.0683899997,293569.64603000006,126274.49581499999,-83093.0783966,663812.8579099999,1318961.3904,319455.66413000005,-7392.7853122,0.0,0.0,0.0,0.0,0.0,-1576378.42234,6903619.093610001,8731507.515970001,8898802.666185,9108170.2403966,8361264.304090001,7706115.771600001,8705621.49787,9032469.9473122,9025077.162,9025077.162,9025077.162,9025077.162,9025077.162,10601455.58434
3430,"Santa Barbara-Santa Maria-Goleta, CA Metro Area-Bus",2012,0,21,8999516.368999999,-97431.3599,94204.74456,16044.416619999998,266438.2064,43454.85529,75609.68949,44481.45967,6162.580014,0.0,0.0,0.0,0.0,0.0,-480185.3629,2413721.46139,98908.63203000007,132353.655604,44829.10620339999,983289.3437099999,1257055.09237,256666.76400000005,-9427.7082252,0.0,0.0,0.0,0.0,0.0,-1915963.28554,6585794.907609999,8900607.736969998,8867162.713396,8954687.2627966,8016227.025289999,7742461.276629999,8742849.604999999,9008944.077225199,8999516.368999999,8999516.368999999,8999516.368999999,8999516.368999999,8999516.368999999,10915479.654539999
3431,"Santa Barbara-Santa Maria-Goleta, CA Metro Area-Bus",2013,0,21,,,,,,,,,,,,,,,,2316290.10149,193113.37659000006,148398.072224,311267.31260340003,1026744.1989999999,1332664.78186,301148.22367000004,-3265.1282112,0.0,0.0,0.0,0.0,0.0,-2396148.64844,,,,,,,,,,,,,,
3432,"Santa Barbara-Santa Maria-Goleta, CA Metro Area-Bus",2014,0,21,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
3433,"Santa Barbara-Santa Maria-Goleta, CA Metro Area-Bus",2015,0,21,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
