,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_log_FAC,FARE_per_UPT_2018_log_FAC,POP_EMP_log_FAC,WEIGHTED_POP_DENSITY_log_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,YEARS_SINCE_TNC_BUS_SQRD_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_2018_log_FAC_cumsum,POP_EMP_log_FAC_cumsum,WEIGHTED_POP_DENSITY_log_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,YEARS_SINCE_TNC_BUS_SQRD_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_2018_log_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_WEIGHTED_POP_DENSITY_log_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_SQRD_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum
3909,"Tulsa, OK Metro Area-Bus",2002,0,32,2655675.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2655675.0,2655675.0,2655675.0,2655675.0,2655675.0,2655675.0,2655675.0,2655675.0,2655675.0,2655675.0,2655675.0,2655675.0,2655675.0,2655675.0
3910,"Tulsa, OK Metro Area-Bus",2003,0,32,2130681.0,-546506.0037,-36444.82054,3655.367839,-10.2528592,47624.57638,34056.88645,5071.633821,0.0,0.0,0.0,0.0,0.0,0.0,-21048.550730000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2130681.0,2130681.0,2130681.0,2130681.0,2130681.0,2130681.0,2130681.0,2130681.0,2130681.0,2130681.0,2130681.0,2130681.0,2130681.0,2130681.0
3911,"Tulsa, OK Metro Area-Bus",2004,0,32,1723243.0,-17200.058240000002,-81877.91299,5529.455515,-53.29195171,49815.29924,35075.08347,4382.359085,0.0,0.0,0.0,0.0,0.0,0.0,-400564.8784,-546506.0037,-36444.82054,3655.367839,-10.2528592,47624.57638,34056.88645,5071.633821,0.0,0.0,0.0,0.0,0.0,0.0,-21048.550730000003,2269749.0037000002,1759687.82054,1719587.632161,1723253.2528592,1675618.42362,1689186.11355,1718171.366179,1723243.0,1723243.0,1723243.0,1723243.0,1723243.0,1723243.0,1744291.55073
3912,"Tulsa, OK Metro Area-Bus",2005,0,32,2037912.0,129408.8921,102557.8042,5038.581684000001,158.8119684,54620.09356,24365.62302,2151.055481,0.0,0.0,0.0,0.0,0.0,0.0,-24616.47393,-563706.06194,-118322.73353,9184.823354,-63.544810909999995,97439.87562,69131.96992,9453.992906,0.0,0.0,0.0,0.0,0.0,0.0,-421613.42913,2601618.06194,2156234.73353,2028727.176646,2037975.54481091,1940472.12438,1968780.03008,2028458.007094,2037912.0,2037912.0,2037912.0,2037912.0,2037912.0,2037912.0,2459525.42913
3913,"Tulsa, OK Metro Area-Bus",2006,0,32,2326531.0,63918.61567000001,8817.28577,5918.25149,-344.89006489999997,33831.515439999996,52538.513080000004,8091.428261,-927.1687187000001,0.0,0.0,0.0,0.0,0.0,111463.72300000001,-434297.16984000005,-15764.929329999999,14223.405038,95.26715749000002,152059.96918000001,93497.59294,11605.048386999999,0.0,0.0,0.0,0.0,0.0,0.0,-446229.90306,2760828.16984,2342295.92933,2312307.594962,2326435.73284251,2174471.03082,2233033.40706,2314925.951613,2326531.0,2326531.0,2326531.0,2326531.0,2326531.0,2326531.0,2772760.90306
3914,"Tulsa, OK Metro Area-Bus",2007,0,32,2431953.0,20925.88624,-5745.586095000001,649.3477462999999,351.5177253,31572.88278,-40429.39365,-16331.892440000001,352.93333839999997,0.0,0.0,0.0,0.0,0.0,114783.5353,-370378.55417,-6947.643559999999,20141.656528,-249.62290740999995,185891.48462,146036.10602,19696.476648,-927.1687187000001,0.0,0.0,0.0,0.0,0.0,-334766.18006,2802331.55417,2438900.64356,2411811.343472,2432202.62290741,2246061.5153799998,2285916.89398,2412256.523352,2432880.1687187,2431953.0,2431953.0,2431953.0,2431953.0,2431953.0,2766719.18006
3915,"Tulsa, OK Metro Area-Bus",2008,0,32,2699414.0,-52902.783460000006,80327.34905,3768.8301119999996,601.9305079,47851.577110000006,-15708.40213,20429.75155,-184.4419114,0.0,0.0,0.0,0.0,0.0,184375.3524,-349452.66793,-12693.229655,20791.0042743,101.89481789000004,217464.3674,105606.71237000001,3364.5842079999984,-574.2353803000001,0.0,0.0,0.0,0.0,0.0,-219982.64476,3048866.66793,2712107.229655,2678622.9957257,2699312.10518211,2481949.6326,2593807.28763,2696049.415792,2699988.2353803,2699414.0,2699414.0,2699414.0,2699414.0,2699414.0,2919396.64476
3916,"Tulsa, OK Metro Area-Bus",2009,0,32,2630421.0,152389.1775,-63828.78457,-467.3371581999999,-2719.1467620000003,-159012.6806,28079.265669999997,-8109.338936,614.272489,0.0,0.0,0.0,0.0,0.0,-6720.517917,-402355.45139,67634.119395,24559.8343863,703.82532579,265315.94451,89898.31024,23794.335758,-758.6772917000001,0.0,0.0,0.0,0.0,0.0,-35607.29235999999,3032776.45139,2562786.880605,2605861.1656137,2629717.17467421,2365105.05549,2540522.68976,2606626.664242,2631179.6772917,2630421.0,2630421.0,2630421.0,2630421.0,2630421.0,2666028.29236
3917,"Tulsa, OK Metro Area-Bus",2010,0,32,2473815.0,-150499.5165,-4153.148472999999,6312.64152,10562.582779999999,77480.33006000001,40959.24592,-6747.159395000001,-2193.601348,0.0,0.0,0.0,0.0,0.0,-122595.7337,-249966.27389,3805.334824999998,24092.4972281,-2015.3214362100002,106303.26391000001,117977.57591,15684.996822000001,-144.40480270000012,0.0,0.0,0.0,0.0,0.0,-42327.81027699999,2723781.27389,2470009.665175,2449722.5027719,2475830.32143621,2367511.73609,2355837.42409,2458130.003178,2473959.4048027,2473815.0,2473815.0,2473815.0,2473815.0,2473815.0,2516142.810277
3918,"Tulsa, OK Metro Area-Bus",2011,0,32,2594403.0,-80194.05221000001,57294.060770000004,1953.048143,-8240.968601999999,102067.4019,-7433.681829000001,-6345.457293,2064.723898,0.0,0.0,0.0,0.0,0.0,62825.02664,-400465.79039,-347.8136480000012,30405.138748100002,8547.261343789998,183783.59397000002,158936.82183,8937.837427,-2338.0061507,0.0,0.0,0.0,0.0,0.0,-164923.543977,2994868.7903899997,2594750.813648,2563997.8612519,2585855.73865621,2410619.40603,2435466.17817,2585465.162573,2596741.0061507,2594403.0,2594403.0,2594403.0,2594403.0,2594403.0,2759326.543977
3919,"Tulsa, OK Metro Area-Bus",2012,0,32,2921255.0,70461.62118,20339.46604,3528.7226200000005,-1792.106104,-2392.490826,928.8341852,7626.41122,0.0,0.0,0.0,0.0,0.0,0.0,227324.5587,-480659.8426,56946.247122,32358.186891100002,306.2927417899991,285850.99587,151503.140001,2592.380134,-273.28225269999984,0.0,0.0,0.0,0.0,0.0,-102098.517337,3401914.8426,2864308.752878,2888896.8131089,2920948.70725821,2635404.0041300002,2769751.859999,2918662.619866,2921528.2822527,2921255.0,2921255.0,2921255.0,2921255.0,2921255.0,3023353.517337
3920,"Tulsa, OK Metro Area-Bus",2013,0,32,3067146.0,159887.7138,-92880.49965,2501.651538,1850.6231089999999,-19448.032890000002,826.4218282,5578.821075,-664.6028852000001,0.0,0.0,0.0,0.0,0.0,93578.98547999999,-410198.22141999996,77285.713162,35886.909511100006,-1485.8133622100008,283458.505044,152431.97418619998,10218.791354,-273.28225269999984,0.0,0.0,0.0,0.0,0.0,125226.041363,3477344.22142,2989860.286838,3031259.0904889,3068631.81336221,2783687.494956,2914714.0258138,3056927.208646,3067419.2822527,3067146.0,3067146.0,3067146.0,3067146.0,3067146.0,2941919.958637
3921,"Tulsa, OK Metro Area-Bus",2014,0,32,3085119.0,4407.425221,-28456.000589999996,3032.419246,24639.577980000002,-38124.554039999995,-38393.976,2927.320132,-465.21361110000004,0.0,0.0,0.0,0.0,0.0,88305.69912,-250310.50761999996,-15594.786487999998,38388.561049100004,364.80974678999905,264010.47215399996,153258.39601439997,15797.612429,-937.8851378999999,0.0,0.0,0.0,0.0,0.0,218805.02684299997,3335429.50762,3100713.786488,3046730.4389509,3084754.19025321,2821108.527846,2931860.6039856,3069321.387571,3086056.8851379,3085119.0,3085119.0,3085119.0,3085119.0,3085119.0,2866313.973157
