,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_log_FAC,FARE_per_UPT_2018_log_FAC,POP_EMP_log_FAC,WEIGHTED_POP_DENSITY_log_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,YEARS_SINCE_TNC_BUS_SQRD_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_2018_log_FAC_cumsum,POP_EMP_log_FAC_cumsum,WEIGHTED_POP_DENSITY_log_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,YEARS_SINCE_TNC_BUS_SQRD_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_2018_log_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_WEIGHTED_POP_DENSITY_log_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_SQRD_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum
3981,"Waco, TX Metro Area-Bus",2006,0,34,600952.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600952.0,600952.0,600952.0,600952.0,600952.0,600952.0,600952.0,600952.0,600952.0,600952.0,600952.0,600952.0,600952.0,600952.0
3982,"Waco, TX Metro Area-Bus",2007,0,34,614088.0,9127.353258,13679.866369999998,273.3980987,-1113.5101029999998,4924.76744,-11371.6317,4603.801845,-592.2293951,0.0,0.0,0.0,0.0,0.0,-6334.64037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,614088.0,614088.0,614088.0,614088.0,614088.0,614088.0,614088.0,614088.0,614088.0,614088.0,614088.0,614088.0,614088.0,614088.0
3983,"Waco, TX Metro Area-Bus",2008,0,34,692215.0,65473.757710000005,-14827.53096,524.7525429,-124.76336670000002,14833.15379,11431.9816,3253.090547,232.9184386,0.0,0.0,0.0,0.0,0.0,-3982.016941,9127.353258,13679.866369999998,273.3980987,-1113.5101029999998,4924.76744,-11371.6317,4603.801845,-592.2293951,0.0,0.0,0.0,0.0,0.0,-6334.64037,683087.646742,678535.13363,691941.6019013,693328.510103,687290.23256,703586.6317,687611.198155,692807.2293951,692215.0,692215.0,692215.0,692215.0,692215.0,698549.64037
3984,"Waco, TX Metro Area-Bus",2009,0,34,625786.0,-6936.772782999999,-14656.29015,810.7266945,5778.707171999999,-42232.84165,20523.52134,-2433.900737,630.2905627,0.0,0.0,0.0,0.0,0.0,-27204.53665,74601.11096800001,-1147.6645900000021,798.1506416,-1238.2734696999999,19757.92123,60.34989999999925,7856.892392,-359.31095650000003,0.0,0.0,0.0,0.0,0.0,-10316.657310999999,551184.889032,626933.6645900001,624987.8493584,627024.2734697,606028.07877,625725.6501,617929.107608,626145.3109565,625786.0,625786.0,625786.0,625786.0,625786.0,636102.657311
3985,"Waco, TX Metro Area-Bus",2010,0,34,741512.0,15157.310980000002,39484.71587,253.0429501,-13779.75689,17938.8838,-13481.395540000001,-2703.4809149999996,-142.3700365,0.0,0.0,0.0,0.0,0.0,73576.01077000001,67664.33818500002,-15803.954740000003,1608.8773360999999,4540.4337023,-22474.920420000002,20583.87124,5422.991655,270.9796062,0.0,0.0,0.0,0.0,0.0,-37521.193961,673847.661815,757315.95474,739903.1226639,736971.5662977,763986.92042,720928.12876,736089.008345,741241.0203938,741512.0,741512.0,741512.0,741512.0,741512.0,779033.193961
3986,"Waco, TX Metro Area-Bus",2011,0,34,875054.0,-19290.80392,24766.78876,749.8795597,29201.991289999998,30025.338939999998,11736.059459999999,1089.060888,-843.1082372999999,0.0,0.0,0.0,0.0,0.0,54031.92845,82821.64916500001,23680.76113,1861.9202862,-9239.3231877,-4536.036620000003,7102.475699999999,2719.51074,128.60956969999998,0.0,0.0,0.0,0.0,0.0,36054.81680900001,792232.3508349999,851373.23887,873192.0797138,884293.3231877,879590.03662,867951.5243,872334.48926,874925.3904303,875054.0,875054.0,875054.0,875054.0,875054.0,838999.183191
3987,"Waco, TX Metro Area-Bus",2012,0,34,934740.0,1763.18908,-247.5936623,32.74680182,-17394.87202,-1164.594686,-10525.22526,8776.632523,863.2035764000001,0.0,0.0,0.0,0.0,0.0,77680.69527000001,63530.84524500001,48447.549889999995,2611.7998459,19962.6681023,25489.302319999995,18838.53516,3808.571628,-714.4986676,0.0,0.0,0.0,0.0,0.0,90086.74525900002,871209.154755,886292.45011,932128.2001541,914777.3318977,909250.69768,915901.46484,930931.428372,935454.4986676,934740.0,934740.0,934740.0,934740.0,934740.0,844653.254741
3988,"Waco, TX Metro Area-Bus",2013,0,34,989820.0,17475.14211,-169210.8097,5955.832006000001,-1770.200529,-7910.714427,6404.888088000001,-12942.12636,-212.65890890000003,0.0,0.0,0.0,0.0,0.0,218806.9804,65294.034325000015,48199.95622769999,2644.5466477200002,2567.7960822999994,24324.707633999995,8313.3099,12585.204151,148.7049088000001,0.0,0.0,0.0,0.0,0.0,167767.440529,924525.965675,941620.0437723,987175.45335228,987252.2039177,965495.292366,981506.6901,977234.795849,989671.2950912,989820.0,989820.0,989820.0,989820.0,989820.0,822052.559471
3989,"Waco, TX Metro Area-Bus",2014,0,34,1086056.0,34937.15142,37130.55543,2213.719525,-9421.020137000001,-12005.89335,-9199.539727,-653.4924636,-1275.399093,0.0,0.0,0.0,0.0,0.0,55126.08082999999,82769.17643500002,-121010.85347230002,8600.378653720001,797.5955532999994,16413.993206999996,14718.197988,-356.9222090000003,-63.95400009999992,0.0,0.0,0.0,0.0,0.0,386574.420929,1003286.823565,1207066.8534723,1077455.62134628,1085258.4044467,1069642.006793,1071337.802012,1086412.922209,1086119.9540001,1086056.0,1086056.0,1086056.0,1086056.0,1086056.0,699481.579071
3990,"Waco, TX Metro Area-Bus",2015,0,34,1055231.0,22052.19156,-41044.23424,408.5649439,-33360.47229,-68045.36744,1413.606933,3832.161393,411.93195069999996,-17427.14232,0.0,-2076.909545,0.0,0.0,98548.68987999999,117706.32785500001,-83880.29804230001,10814.098178720002,-8623.424583700002,4408.099856999996,5518.6582610000005,-1010.4146726000002,-1339.3530931,0.0,0.0,0.0,0.0,0.0,441700.501759,937524.672145,1139111.2980423,1044416.90182128,1063854.4245837,1050822.900143,1049712.341739,1056241.4146726,1056570.3530931,1055231.0,1055231.0,1055231.0,1055231.0,1055231.0,613530.498241
