,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_log_FAC,FARE_per_UPT_2018_log_FAC,POP_EMP_log_FAC,WEIGHTED_POP_DENSITY_log_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,YEARS_SINCE_TNC_BUS_SQRD_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_2018_log_FAC_cumsum,POP_EMP_log_FAC_cumsum,WEIGHTED_POP_DENSITY_log_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,YEARS_SINCE_TNC_BUS_SQRD_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_2018_log_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_WEIGHTED_POP_DENSITY_log_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_SQRD_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum
3994,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area-Bus",2002,0,10,192541.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192541.0,192541.0,192541.0,192541.0,192541.0,192541.0,192541.0,192541.0,192541.0,192541.0,192541.0,192541.0,192541.0,192541.0
3995,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area-Bus",2003,0,10,360366.0,105597.5141,27946.2079,501.17689749999994,-12.1017797,3728.32016,93.16777931,-437.4982216,0.0,0.0,0.0,0.0,0.0,0.0,12083.66464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360366.0,360366.0,360366.0,360366.0,360366.0,360366.0,360366.0,360366.0,360366.0,360366.0,360366.0,360366.0,360366.0,360366.0
3996,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area-Bus",2004,0,10,179225222.8,21654006.2,-11402.84313,1066.25108,2.683215045,9915.165004,1334.860661,-792.4509084,0.0,0.0,0.0,0.0,0.0,0.0,157223025.3,105597.5141,27946.2079,501.17689749999994,-12.1017797,3728.32016,93.16777931,-437.4982216,0.0,0.0,0.0,0.0,0.0,0.0,12083.66464,179119625.28590003,179197276.59210002,179224721.62310252,179225234.9017797,179221494.47984,179225129.63222072,179225660.29822162,179225222.8,179225222.8,179225222.8,179225222.8,179225222.8,179225222.8,179213139.13536
3997,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area-Bus",2005,0,10,170976462.2,-16159383.88,-4563054.257,562921.2522,41503.48054,6072499.605,588784.2335,-407241.6589,0.0,0.0,0.0,0.0,0.0,0.0,5957980.257999999,21759603.7141,16543.36477,1567.4279775,-9.418564655,13643.485164000002,1428.02844031,-1229.94913,0.0,0.0,0.0,0.0,0.0,0.0,157235108.96464002,149216858.48589998,170959918.83523,170974894.7720225,170976471.61856464,170962818.714836,170975034.1715597,170977692.14913,170976462.2,170976462.2,170976462.2,170976462.2,170976462.2,170976462.2,13741353.235359967
3998,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area-Bus",2006,0,10,180195547.4,590343.705,408202.6293,593178.8299,-122045.8683,2773378.222,1236741.594,-401016.0469,0.0,0.0,0.0,0.0,0.0,0.0,4094761.2739999997,5600219.834099999,-4546510.89223,564488.6801775,41494.061975344994,6086143.090164,590212.26194031,-408471.60803,0.0,0.0,0.0,0.0,0.0,0.0,163193089.22264,174595327.5659,184742058.29223,179631058.7198225,180154053.33802468,174109404.309836,179605335.1380597,180604019.00803,180195547.4,180195547.4,180195547.4,180195547.4,180195547.4,180195547.4,17002458.17736
3999,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area-Bus",2007,0,10,181069472.7,10358742.73,944195.498,145378.6193,222307.4751,1418233.878,-1031187.418,-290670.8467,-40995.55865,0.0,0.0,0.0,0.0,0.0,-10924015.33,6190563.539099999,-4138308.26293,1157667.5100775,-80551.80632465502,8859521.312164001,1826953.85594031,-809487.65493,0.0,0.0,0.0,0.0,0.0,0.0,167287850.49664,174878909.1609,185207780.96293,179911805.18992248,181150024.50632465,172209951.38783598,179242518.84405968,181878960.35492998,181069472.7,181069472.7,181069472.7,181069472.7,181069472.7,181069472.7,13781622.203359991
4000,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area-Bus",2008,0,10,187509191.9,2698776.645,3026216.683,238973.6858,-146105.9823,4703619.393999999,1149732.939,-239010.0727,-27463.962669999997,0.0,0.0,0.0,992604.9764,0.0,-6272305.079,16549306.2691,-3194112.76493,1303046.1293775,141755.668775345,10277755.190164002,795766.4379403101,-1100158.5016299998,-40995.55865,0.0,0.0,0.0,0.0,0.0,156363835.16663998,170959885.6309,190703304.66493002,186206145.7706225,187367436.23122466,177231436.709836,186713425.4620597,188609350.40163,187550187.45865,187509191.9,187509191.9,187509191.9,187509191.9,187509191.9,31145356.733360022
4001,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area-Bus",2009,0,10,180238636.2,-1065076.486,-5858666.574,182276.6579,-376156.4151,-11373014.92,1439553.706,675437.1144,14221.975869999998,0.0,0.0,0.0,0.0,0.0,8821346.179,19248082.9141,-167896.08192999987,1542019.8151775,-4350.313524655008,14981374.584164001,1945499.37694031,-1339168.5743299997,-68459.52132,0.0,0.0,0.0,992604.9764,0.0,150091530.08764,160990553.2859,180406532.28193,178696616.3848225,180242986.51352465,165257261.615836,178293136.82305968,181577804.77433,180307095.72131997,180238636.2,180238636.2,180238636.2,179246031.2236,180238636.2,30147106.11236
4002,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area-Bus",2010,0,10,172451013.6,-497972.30100000004,-395167.3266,484293.4021,2195630.111,5008741.268,494812.2521,0.0,-54671.74228,0.0,0.0,0.0,0.0,0.0,-15083009.78,18183006.428099997,-6026562.655929999,1724296.4730775,-380506.728624655,3608359.664164001,3385053.0829403102,-663731.4599299998,-54237.545450000005,0.0,0.0,0.0,992604.9764,0.0,158912876.26663998,154268007.1719,178477576.25593,170726717.1269225,172831520.32862464,168842653.935836,169065960.51705968,173114745.05993,172505251.14545,172451013.6,172451013.6,172451013.6,171458408.6236,172451013.6,13538137.333360016
4003,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area-Bus",2011,0,10,182906563.3,3574466.245,-7532206.467,348251.0536,-3693331.0,6995358.877,272988.8874,900826.5879,39242.559069999996,0.0,0.0,0.0,0.0,0.0,9936356.166000001,17685034.1271,-6421729.98253,2208589.8751775,1815123.382375345,8617100.932164002,3879865.3350403104,-663731.4599299998,-108909.28773000001,0.0,0.0,0.0,992604.9764,0.0,143829866.48663998,165221529.17290002,189328293.28253,180697973.4248225,181091439.91762465,174289462.367836,179026697.9649597,183570294.75993,183015472.58773002,182906563.3,182906563.3,182906563.3,181913958.32360002,182906563.3,39076696.813360035
