,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_log_FAC,FARE_per_UPT_2018_log_FAC,POP_EMP_log_FAC,WEIGHTED_POP_DENSITY_log_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,YEARS_SINCE_TNC_BUS_SQRD_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_2018_log_FAC_cumsum,POP_EMP_log_FAC_cumsum,WEIGHTED_POP_DENSITY_log_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,YEARS_SINCE_TNC_BUS_SQRD_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_2018_log_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_WEIGHTED_POP_DENSITY_log_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_SQRD_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum
4069,"Williamsport, PA Metro Area-Bus",2002,0,33,1173788.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1173788.0,1173788.0,1173788.0,1173788.0,1173788.0,1173788.0,1173788.0,1173788.0,1173788.0,1173788.0,1173788.0,1173788.0,1173788.0,1173788.0
4070,"Williamsport, PA Metro Area-Bus",2003,0,33,1244014.0,22975.91238,-13392.44132,2938.20169,98.69808717,25399.48341,28732.26996,6564.476497,0.0,0.0,0.0,0.0,0.0,0.0,-4430.928252000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1244014.0,1244014.0,1244014.0,1244014.0,1244014.0,1244014.0,1244014.0,1244014.0,1244014.0,1244014.0,1244014.0,1244014.0,1244014.0,1244014.0
4071,"Williamsport, PA Metro Area-Bus",2004,0,33,1260665.0,-63759.927670000005,-21925.966790000002,4319.060381,-37.80192258,28862.854489999998,36068.27183,7232.643321,0.0,0.0,0.0,0.0,0.0,0.0,28592.8836,22975.91238,-13392.44132,2938.20169,98.69808717,25399.48341,28732.26996,6564.476497,0.0,0.0,0.0,0.0,0.0,0.0,-4430.928252000001,1237689.08762,1274057.44132,1257726.79831,1260566.30191283,1235265.51659,1231932.73004,1254100.523503,1260665.0,1260665.0,1260665.0,1260665.0,1260665.0,1260665.0,1265095.928252
4072,"Williamsport, PA Metro Area-Bus",2005,0,33,1241854.0,-17997.2033,10887.3161,2917.010931,-306.5369637,38221.00717,34084.538389999994,6678.289421,0.0,0.0,0.0,0.0,0.0,0.0,-94248.30943,-40784.01529,-35318.408110000004,7257.262071,60.89616458999999,54262.3379,64800.54179,13797.119818,0.0,0.0,0.0,0.0,0.0,0.0,24161.955348,1282638.01529,1277172.40811,1234596.737929,1241793.10383541,1187591.6621,1177053.45821,1228056.880182,1241854.0,1241854.0,1241854.0,1241854.0,1241854.0,1241854.0,1217692.044652
4073,"Williamsport, PA Metro Area-Bus",2006,0,33,1253593.0,169810.1699,-15194.4378,4144.977678,1067.976309,23248.91815,52324.21114,10524.15883,659.4847792,0.0,0.0,0.0,0.0,0.0,-246367.4602,-58781.218590000004,-24431.092010000004,10174.273002,-245.64079911000002,92483.34507,98885.08017999999,20475.409239,0.0,0.0,0.0,0.0,0.0,0.0,-70086.35408199999,1312374.21859,1278024.09201,1243418.726998,1253838.64079911,1161109.65493,1154707.91982,1233117.590761,1253593.0,1253593.0,1253593.0,1253593.0,1253593.0,1253593.0,1323679.354082
4074,"Williamsport, PA Metro Area-Bus",2007,0,33,1246824.0,-20399.06997,4787.434228,-314.2995273,-1994.6316329999997,7701.247531,-14241.195380000001,-4407.764822,-95.07383119,0.0,0.0,0.0,0.0,0.0,22147.04029,111028.95131,-39625.52981000001,14319.250680000001,822.3355098899999,115732.26322,151209.29132,30999.568069,659.4847792,0.0,0.0,0.0,0.0,0.0,-316453.814282,1135795.04869,1286449.52981,1232504.74932,1246001.66449011,1131091.73678,1095614.70868,1215824.431931,1246164.5152208,1246824.0,1246824.0,1246824.0,1246824.0,1246824.0,1563277.814282
4075,"Williamsport, PA Metro Area-Bus",2008,0,33,1330615.0,-17194.44662,27965.721289999998,504.8492634,1701.4465879999998,30141.255439999997,-1009.864675,15929.278330000001,-94.560463,0.0,0.0,0.0,0.0,0.0,25411.570969999997,90629.88134,-34838.09558200001,14004.951152700001,-1172.2961231099998,123433.510751,136968.09594,26591.803247,564.4109480100001,0.0,0.0,0.0,0.0,0.0,-294306.77399200003,1239985.11866,1365453.095582,1316610.0488473,1331787.29612311,1207181.489249,1193646.90406,1304023.196753,1330050.58905199,1330615.0,1330615.0,1330615.0,1330615.0,1330615.0,1624921.7739920001
4076,"Williamsport, PA Metro Area-Bus",2009,0,33,1267075.0,1615.780006,-62115.4002,-2066.7426370000003,3561.2073530000002,-77782.06728999999,6480.591302000001,-6720.285728,-907.9618788999999,0.0,0.0,0.0,0.0,0.0,70999.98445,73435.43472,-6872.374292000011,14509.8004161,529.15046489,153574.766191,135958.231265,42521.081577000004,469.85048501000006,0.0,0.0,0.0,0.0,0.0,-268895.20302200003,1193639.56528,1273947.374292,1252565.1995839,1266545.84953511,1113500.2338089999,1131116.768735,1224553.918423,1266605.14951499,1267075.0,1267075.0,1267075.0,1267075.0,1267075.0,1535970.203022
4077,"Williamsport, PA Metro Area-Bus",2010,0,33,1328817.0,3570.083283,19557.95896,-1107.994542,-13992.28011,34387.61214,3117.722276,-12398.20731,480.59094239999996,0.0,0.0,0.0,0.0,0.0,28452.78125,75051.214726,-68987.77449200001,12443.0577791,4090.35781789,75792.69890100001,142438.822567,35800.795849,-438.1113938899998,0.0,0.0,0.0,0.0,0.0,-197895.21857200004,1253765.785274,1397804.774492,1316373.9422209,1324726.64218211,1253024.301099,1186378.177433,1293016.204151,1329255.11139389,1328817.0,1328817.0,1328817.0,1328817.0,1328817.0,1526712.218572
4078,"Williamsport, PA Metro Area-Bus",2011,0,33,1372842.0,-12822.68622,15957.74039,2593.360725,37842.887310000006,55053.43985,-280.7744301,7725.684276000001,302.3825638,0.0,0.0,0.0,0.0,0.0,-64749.14665,78621.298009,-49429.81553200001,11335.0632371,-9901.922292109999,110180.31104100001,145556.54484299998,23402.588539000004,42.47954851000014,0.0,0.0,0.0,0.0,0.0,-169442.43732200004,1294220.701991,1422271.815532,1361506.9367629,1382743.92229211,1262661.688959,1227285.455157,1349439.411461,1372799.52045149,1372842.0,1372842.0,1372842.0,1372842.0,1372842.0,1542284.437322
4079,"Williamsport, PA Metro Area-Bus",2012,0,33,1385824.0,5828.754284000001,-9983.019933,1768.518328,-46331.5263,2879.592635,-42711.65627,-8235.949684000001,208.2592969,0.0,0.0,0.0,0.0,0.0,107690.0004,65798.611789,-33472.07514200001,13928.4239621,27940.965017890005,165233.750891,145275.7704129,31128.272815000004,344.86211231000016,0.0,0.0,0.0,0.0,0.0,-234191.58397200005,1320025.388211,1419296.075142,1371895.5760379,1357883.03498211,1220590.249109,1240548.2295871,1354695.727185,1385479.13788769,1385824.0,1385824.0,1385824.0,1385824.0,1385824.0,1620015.583972
4080,"Williamsport, PA Metro Area-Bus",2013,0,33,1334787.0,7413.087981000001,-766.4717995,-1140.461808,-30938.66298,-11208.85041,52136.46049,-2133.919553,-525.4321521,0.0,0.0,0.0,0.0,0.0,-62545.14145,71627.366073,-43455.095075000005,15696.9422901,-18390.561282109993,168113.343526,102564.11414289998,22892.323131000005,553.1214092100001,0.0,0.0,0.0,0.0,0.0,-126501.58357200005,1263159.633927,1378242.095075,1319090.0577099,1353177.56128211,1166673.656474,1232222.8858571001,1311894.676869,1334233.87859079,1334787.0,1334787.0,1334787.0,1334787.0,1334787.0,1461288.583572
4081,"Williamsport, PA Metro Area-Bus",2014,0,33,1320273.0,43307.96507,52067.72062,436.6346556,12899.55499,-12676.976120000001,-12538.20971,37442.06061,810.129827,0.0,0.0,0.0,0.0,0.0,-139388.4476,79040.454054,-44221.56687450001,14556.4804821,-49329.224262109994,156904.49311600003,154700.57463289998,20758.403578000005,27.689257110000085,0.0,0.0,0.0,0.0,0.0,-189046.72502200006,1241232.545946,1364494.5668745,1305716.5195179,1369602.22426211,1163368.506884,1165572.4253671,1299514.596422,1320245.31074289,1320273.0,1320273.0,1320273.0,1320273.0,1320273.0,1509319.725022
4082,"Williamsport, PA Metro Area-Bus",2015,0,33,1299039.0,2687.275332,-15335.69926,-904.259082,19770.3611,-77959.27434,-39969.62911,-12918.74464,-400.4780923,0.0,0.0,0.0,0.0,0.0,101072.3933,122348.41912400001,7846.1537454999925,14993.1151377,-36429.66927211,144227.51699600002,142162.3649229,58200.464188000005,837.8190841100001,0.0,0.0,0.0,0.0,0.0,-328435.1726220001,1176690.580876,1291192.8462545,1284045.8848623,1335468.66927211,1154811.483004,1156876.6350771,1240838.535812,1298201.18091589,1299039.0,1299039.0,1299039.0,1299039.0,1299039.0,1627474.172622
4083,"Williamsport, PA Metro Area-Bus",2016,0,33,1305808.0,3729.8006090000003,-4653.332359,-2872.883171,-41674.092730000004,-24450.53895,6977.458452,-17139.77266,-1870.612436,0.0,0.0,0.0,0.0,0.0,87192.86114,125035.69445600001,-7489.545514500007,14088.8560557,-16659.30817211,66268.24265600002,102192.73581289998,45281.71954800001,437.34099181000005,0.0,0.0,0.0,0.0,0.0,-227362.7793220001,1180772.305544,1313297.5455145,1291719.1439443,1322467.30817211,1239539.757344,1203615.2641871,1260526.280452,1305370.65900819,1305808.0,1305808.0,1305808.0,1305808.0,1305808.0,1533170.7793220002
