,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_log_FAC,FARE_per_UPT_2018_log_FAC,POP_EMP_log_FAC,WEIGHTED_POP_DENSITY_log_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,YEARS_SINCE_TNC_BUS_SQRD_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_2018_log_FAC_cumsum,POP_EMP_log_FAC_cumsum,WEIGHTED_POP_DENSITY_log_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,YEARS_SINCE_TNC_BUS_SQRD_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_2018_log_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_WEIGHTED_POP_DENSITY_log_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_SQRD_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum
4113,"Worcester, MA Metro Area-Bus",2004,0,24,3448098.688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3448098.688,3448098.688,3448098.688,3448098.688,3448098.688,3448098.688,3448098.688,3448098.688,3448098.688,3448098.688,3448098.688,3448098.688,3448098.688,3448098.688
4114,"Worcester, MA Metro Area-Bus",2005,0,24,3551146.796,80735.36454,299302.4405,6293.12175,823.6432906,99421.88004,37774.05543,1518.489526,0.0,0.0,0.0,0.0,0.0,0.0,-447800.4506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3551146.796,3551146.796,3551146.796,3551146.796,3551146.796,3551146.796,3551146.796,3551146.796,3551146.796,3551146.796,3551146.796,3551146.796,3551146.796,3551146.796
4115,"Worcester, MA Metro Area-Bus",2006,0,24,3532888.025,-128880.8197,-254505.8889,10471.19589,-2374.522777,67353.22679,65737.95202000001,-2604.9209100000003,-538.6251012,0.0,0.0,0.0,0.0,0.0,231121.0644,80735.36454,299302.4405,6293.12175,823.6432906,99421.88004,37774.05543,1518.489526,0.0,0.0,0.0,0.0,0.0,0.0,-447800.4506,3452152.66046,3233585.5845,3526594.90325,3532064.3817094,3433466.1449599997,3495113.9695699997,3531369.535474,3532888.025,3532888.025,3532888.025,3532888.025,3532888.025,3532888.025,3980688.4756
4116,"Worcester, MA Metro Area-Bus",2007,0,24,3490203.7369999997,24328.59419,52359.7385,-1105.648656,3782.690601,24495.11443,-32684.47569,14808.07366,-267.9379988,0.0,0.0,0.0,0.0,0.0,-128693.3209,-48145.45516,44796.551600000035,16764.31764,-1550.8794864000001,166775.10683,103512.00745,-1086.4313840000002,-538.6251012,0.0,0.0,0.0,0.0,0.0,-216679.38619999998,3538349.1921599996,3445407.1854,3473439.4193599997,3491754.6164864,3323428.63017,3386691.72955,3491290.1683839997,3490742.3621011996,3490203.7369999997,3490203.7369999997,3490203.7369999997,3490203.7369999997,3490203.7369999997,3706883.1232
4117,"Worcester, MA Metro Area-Bus",2008,0,24,3560871.655,-165198.8592,19028.45963,18.5667187,-1718.521289,80784.18167,-20013.4441,-34404.90894,-264.7007768,0.0,0.0,0.0,0.0,0.0,195392.7341,-23816.860969999998,97156.29010000004,15658.668984000002,2231.8111145999997,191270.22126000002,70827.53176000001,13721.642276,-806.5631000000001,0.0,0.0,0.0,0.0,0.0,-345372.7071,3584688.5159699996,3463715.3649,3545212.9860159997,3558639.8438854,3369601.43374,3490044.1232399996,3547150.0127239996,3561678.2180999997,3560871.655,3560871.655,3560871.655,3560871.655,3560871.655,3906244.3620999996
4118,"Worcester, MA Metro Area-Bus",2009,0,24,3567015.236,-43839.330010000005,-27137.75885,4114.662439,-7760.567985,-207839.6971,76802.68851,42847.856060000006,-1080.1183449999999,0.0,0.0,0.0,0.0,0.0,173735.5113,-189015.72017000002,116184.74973000004,15677.235702700002,513.2898255999996,272054.40293000004,50814.08766000001,-20683.266664000002,-1071.2638768000002,0.0,0.0,0.0,0.0,0.0,-149979.973,3756030.95617,3450830.48627,3551338.0002973,3566501.9461744,3294960.83307,3516201.14834,3587698.5026640003,3568086.4998768,3567015.236,3567015.236,3567015.236,3567015.236,3567015.236,3716995.209
4119,"Worcester, MA Metro Area-Bus",2010,0,24,3727442.083,-152515.77800000002,2136.101079,3237.602282,42890.448489999995,105015.8708,26990.19215,36569.73395,541.1140429999999,0.0,0.0,0.0,0.0,0.0,100481.9678,-232855.05018000002,89046.99088000004,19791.898141700003,-7247.2781594,64214.70583000005,127616.77617000003,22164.589396000003,-2151.3822218,0.0,0.0,0.0,0.0,0.0,23755.538300000015,3960297.13318,3638395.09212,3707650.1848583003,3734689.3611594,3663227.37717,3599825.30683,3705277.493604,3729593.4652218,3727442.083,3727442.083,3727442.083,3727442.083,3727442.083,3703686.5447
4120,"Worcester, MA Metro Area-Bus",2011,0,24,3996376.588,29312.34987,-33646.87997,1642.629135,-72126.64445,160694.6717,36730.8368,-17192.26974,-565.3649326000001,0.0,0.0,0.0,0.0,0.0,167285.6435,-385370.82818000007,91183.09195900004,23029.500423700003,35643.1703306,169230.57663000005,154606.96832,58734.323346000005,-1610.2681788,0.0,0.0,0.0,0.0,0.0,124237.50610000001,4381747.41618,3905193.496041,3973347.0875763,3960733.4176694,3827146.01137,3841769.61968,3937642.264654,3997986.8561788,3996376.588,3996376.588,3996376.588,3996376.588,3996376.588,3872139.0819
4121,"Worcester, MA Metro Area-Bus",2012,0,24,3834743.869,212501.1751,-164635.6106,2870.497292,78060.68,6084.178811,-10650.07802,-9958.385025,1212.587766,0.0,0.0,0.0,0.0,0.0,-268800.0513,-356058.4783100001,57536.21198900004,24672.129558700002,-36483.47411940001,329925.2483300001,191337.80512,41542.053606,-2175.6331114,0.0,0.0,0.0,0.0,0.0,291523.1496,4190802.34731,3777207.657011,3810071.7394413,3871227.3431194,3504818.62067,3643406.06388,3793201.815394,3836919.5021114,3834743.869,3834743.869,3834743.869,3834743.869,3834743.869,3543220.7194
4122,"Worcester, MA Metro Area-Bus",2013,0,24,4118295.9680000003,235893.3003,44926.34102,45216.42441,45927.76725,-26888.98686,47184.8554,-20207.25531,-2907.31832,0.0,0.0,0.0,0.0,0.0,-94918.52453,-143557.3032100001,-107099.39861099998,27542.626850700002,41577.205880599984,336009.4271410001,180687.72710000002,31583.668581,-963.0453453999999,0.0,0.0,0.0,0.0,0.0,22723.098300000012,4261853.271210001,4225395.366611,4090753.3411493003,4076718.7621194003,3782286.5408590003,3937608.2409000006,4086712.2994190003,4119259.0133454003,4118295.9680000003,4118295.9680000003,4118295.9680000003,4118295.9680000003,4118295.9680000003,4095572.8697
