,UZA Name,RailBus,UZA,Year,UPT,VRM,VRH,FARE_TOTAL,FARE_per_UPT,UZA_Clean,UA,UANAME,UZA_NAME,CBSA,MNAME,MEMI,POPPT,HUPT,AREAPT,AREALANDPT,UAPOP,UAHU,UAAREA,UAAREALAND,MPOP,MHU,MAREA,MAREALAND,UAPOPPCT,UAHUPCT,UAAREAPCT,UAAREALANDPCT,MPOPPCT,MHUPCT,MAREAPCT,MAREALANDPCT,_merge
2954,"Danville, IL-IN",Bus,492,2005,0.0,0.0,0.0,130275.0,inf,DanvilleILIN,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
2955,"Danville, IL-IN",Bus,492,2006,433767.0,395458.0,20575.0,149525.0,0.3447127144296362,DanvilleILIN,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
2956,"Danville, IL-IN",Bus,492,2007,455351.0,442868.0,22529.0,202003.0,0.4436204158989439,DanvilleILIN,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
2957,"Danville, IL-IN",Bus,492,2008,521972.0,463182.0,25137.0,225781.0,0.4325538534634042,DanvilleILIN,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
2958,"Danville, IL-IN",Bus,492,2009,518106.0,517017.0,28125.0,263957.0,0.5094652445638538,DanvilleILIN,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
2959,"Danville, IL-IN",Bus,492,2010,552558.0,544904.0,29441.0,257170.0,0.46541720507168477,DanvilleILIN,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
2960,"Danville, IL-IN",Bus,492,2011,618987.0,555264.0,29781.0,288541.0,0.46615033918321386,DanvilleILIN,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
2961,"Danville, IL-IN",Bus,492,2012,639121.0,549724.0,26749.0,359704.0,0.5628104850255272,DanvilleILIN,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
2962,"Danville, IL-IN",Bus,492,2013,308358.0,273912.0,12104.0,322868.0,1.0470556950038592,DanvilleILIN,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
2963,"Danville, IL-IN",Bus,492,2014,0.0,0.0,0.0,316651.0,inf,DanvilleILIN,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
2964,"Danville, IL-IN",Bus,492,2015,0.0,0.0,0.0,330439.0,inf,DanvilleILIN,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
2965,"Danville, IL-IN",Bus,492,2016,0.0,0.0,0.0,332903.0,inf,DanvilleILIN,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
2966,"Danville, IL-IN",Bus,492,2017,0.0,0.0,0.0,312806.0,inf,DanvilleILIN,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
