UZA Name,RailBus,UZA Area SQ Miles,UZA Population,Service Area SQ Miles,Service Area Population,NTD_ID,UZA,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
"Aberdeen-Bel Air South-Bel Air North, MD",Bus,131,"213,751",133,"250,290",33148,338.0,150133.0,184686.0,191340.0,196460.0,197662.0,186192.0,199971.0,225977.0,243076.0,217294.0,244500.0,234177.0,221995.0
"Aberdeen-Bel Air South-Bel Air North, MD",DemandResponse,131,"213,751",133,"250,290",33148,338.0,43964.0,49186.0,58143.0,52809.0,50503.0,40897.0,55929.0,67304.0,65182.0,75007.0,62384.0,69744.0,76400.0
"Abilene, TX",Bus,55,"110,421",110,"120,099",66080,564.0,213965.0,201795.0,217336.0,254879.0,248600.0,295374.0,375006.0,368226.0,390511.0,408104.0,294009.0,166398.0,191017.0
"Abilene, TX",DemandResponse,55,"110,421",110,"120,099",66080,564.0,201802.0,93789.0,98383.0,109095.0,101458.0,50000.0,426089.0,296153.0,323930.0,363579.0,108234.0,234140.0,233051.0
"Akron, OH",Bus,325,"569,499",420,"541,968",110040,284.0,2941705.0,3064344.0,3343425.0,3469604.0,3255262.0,3456866.0,3659193.0,4162341.0,4220521.0,4350225.0,3822439.0,3472901.0,3537154.0
"Akron, OH",Bus,325,"569,499",492,"161,494",55042,142.0,81175.0,98692.0,101588.0,132402.0,132228.0,140962.0,142821.0,2300649.0,2484412.0,2544730.0,2458149.0,2404967.0,2402502.0
"Akron, OH",DemandResponse,325,"569,499",420,"541,968",65040,284.0,646665.0,467764.0,412442.0,470590.0,577405.0,624638.0,630802.0,712446.0,778354.0,591458.0,605615.0,627658.0,605280.0
"Akron, OH",DemandResponse,325,"569,499",492,"161,494",55042,142.0,68383.0,70646.0,83689.0,94024.0,97877.0,101613.0,101061.0,118132.0,530131.0,384637.0,398064.0,387902.0,282197.0
"Albany, GA",Bus,71,"95,779",17,"75,616",44042,618.0,344119.0,366673.0,377696.0,373954.0,431925.0,420551.0,471112.0,523278.0,525669.0,535879.0,542312.0,488610.0,466615.0
"Albany, GA",DemandResponse,71,"95,779",17,"75,616",44042,618.0,33568.0,30922.0,38589.0,35037.0,40983.0,36663.0,32731.0,22636.0,34021.0,41248.0,39173.0,33843.0,26419.0
