,NTD_ID,4 digit NTDID,Legacy NTD ID,Agency_x,HQ City,HQ State,UZA Name,UZA,UZA Area SQ Miles,UZA Population,MODE,SERVICE_ID,RailBus,Service Area SQ Miles,Service Area Population,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
0,1,1,1,King County Department of Transportation - Metro Transit Division,Seattle,WA,"Seattle, WA",14,"1,010","3,059,393",DR,PT,DemandResponse,"2,134","2,117,125",675488.0,659606.0,758136.0,831048.0,850905.0,308539.0,874036.0,1005687.0,750659.0,957280.0,983881.0,957269.0,863494.0
2,1,1,1,King County Department of Transportation - Metro Transit Division,Seattle,WA,"Seattle, WA",14,"1,010","3,059,393",DR,PT,DemandResponse,"2,134","2,117,125",675488.0,659606.0,758136.0,831048.0,850905.0,308539.0,874036.0,1005687.0,750659.0,957280.0,983881.0,957269.0,863494.0
9,1,0,0,0,Seattle,WA,"Seattle, WA",14,"1,010","3,059,393",LR,DO,Rail,"2,134","2,117,125",211571.0,0.0,0.0,275185.0,342835.0,288470.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,1,0,0,0,Seattle,WA,"Seattle, WA",14,"1,010","3,059,393",LR,DO,Rail,"2,134","2,117,125",211571.0,0.0,0.0,275185.0,342835.0,288470.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,1,1,1,King County Department of Transportation - Metro Transit Division,Seattle,WA,"Seattle, WA",14,"1,010","3,059,393",MB,DO,Bus,"2,134","2,117,125",58136140.0,59418649.0,64550864.0,85113515.0,93937578.0,99604752.0,103418068.0,117457509.0,122535567.0,130249639.0,136162762.0,139001364.0,139520130.0
20,1,1,1,King County Department of Transportation - Metro Transit Division,Seattle,WA,"Seattle, WA",14,"1,010","3,059,393",MB,DO,Bus,"2,134","2,117,125",58136140.0,59418649.0,64550864.0,85113515.0,93937578.0,99604752.0,103418068.0,117457509.0,122535567.0,130249639.0,136162762.0,139001364.0,139520130.0
27,1,1,1,King County Department of Transportation - Metro Transit Division,Seattle,WA,"Seattle, WA",14,"1,010","3,059,393",MB,PT,Bus,"2,134","2,117,125",7872045.0,0.0,9607824.0,11342831.0,11238115.0,11109150.0,216978.0,266612.0,277338.0,1069328.0,1180841.0,1229557.0,1109846.0
29,1,1,1,King County Department of Transportation - Metro Transit Division,Seattle,WA,"Seattle, WA",14,"1,010","3,059,393",MB,PT,Bus,"2,134","2,117,125",7872045.0,0.0,9607824.0,11342831.0,11238115.0,11109150.0,216978.0,266612.0,277338.0,1069328.0,1180841.0,1229557.0,1109846.0
36,1,1,1,King County Department of Transportation - Metro Transit Division,Seattle,WA,"Seattle, WA",14,"1,010","3,059,393",TB,DO,Bus,"2,134","2,117,125",17007997.0,17360619.0,15141561.0,16212098.0,17892872.0,20112498.0,21573330.0,23547904.0,23166653.0,24787685.0,22028748.0,22872383.0,22808461.0
38,1,1,1,King County Department of Transportation - Metro Transit Division,Seattle,WA,"Seattle, WA",14,"1,010","3,059,393",TB,DO,Bus,"2,134","2,117,125",17007997.0,17360619.0,15141561.0,16212098.0,17892872.0,20112498.0,21573330.0,23547904.0,23166653.0,24787685.0,22028748.0,22872383.0,22808461.0
45,1,1,1,King County Department of Transportation - Metro Transit Division,Seattle,WA,"Seattle, WA",14,"1,010","3,059,393",VP,DO,DemandResponse,"2,134","2,117,125",5552340.0,6238455.0,6872296.0,8049283.0,9636603.0,8728042.0,9459661.0,10320050.0,11487561.0,11804793.0,7121362.0,7293271.0,7622086.0
